PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
Rob Gronkowski,497240,TE,TB,,,,,72,1176,11,,,,,,,,,,1,222.30
Jordan Reed,2540160,TE,FA,,,,,87,952,11,,,,3,,,,,,2,200.40
Greg Olsen,2495700,TE,FA,,,,,77,1104,7,,,,1,,,,,,3,194.00
Tyler Eifert,2540148,TE,FA,,,,,49,575,12,,,,,,,,,,4,156.50
Travis Kelce,2540258,TE,KC,,,,,72,875,5,,,2,2,,,,,,5,153.50
Zach Ertz,2540158,TE,ARI,,,,,75,853,2,,,,1,,,,,,6,141.40
Richard Rodgers,2550313,TE,FA,,,,11,58,510,8,,,1,,,,,,,7,133.80
Jason Witten,2505629,TE,FA,,,,,77,713,3,,,,1,,,,,,8,129.20
Eric Ebron,2543466,TE,PIT,,,,,44,510,5,,,,,0.79,,,,,9,103.80
Jimmy Graham,497236,TE,CHI,,,,,42,554,1,,,,,1.13,,,,,10,84.10
Vance McDonald,2540215,TE,FA,,,,,29,313,3,,,,2,,,,,,11,67.60
Cameron Brate,2550656,TE,TB,,,,,20,268,3,,,,,,,,,,12,54.80
Darren Fells,2540928,TE,DET,,,,,19,272,3,,,,,,,,,,13,54.70
Maxx Williams,2552468,TE,ARI,,,,,32,268,1,,,,1,,,,,,14,49.50
Ryan Griffin,2541316,TE,NYJ,,,,,20,251,2,,,,,0.68,,,,,15,47.10
Luke Willson,2541199,TE,FA,,,,,17,213,1,,,,,,,,,,16,40.90
Josh Hill,2541834,TE,FA,,,,,16,120,2,,,,,,,,,,17,38.90
Derek Carrier,2534241,TE,LV,,,,,17,141,1,,,,,1.90,,,,,18,35.40
Tyler Kroft,2552586,TE,NYJ,,,,,10,125,1,,,,,0.68,,,,,19,32.70
Marcedes Lewis,2495888,TE,GB,,,,,16,226,,,,,,4.16,,,,,20,30.60
Trey Burton,2550284,TE,FA,,,,,3,54,,,,,,,,,,,21,29.00
Blake Bell,2552478,TE,KC,,,,,15,186,,,,,,,,,,,22,26.10
Jack Doyle,2540232,TE,IND,,,,,12,72,1,,,,,2.96,,,,,23,22.60
Demetrius Harris,2541187,TE,ARI,,,,,7,74,1,,,,,,,,,,24,20.20
Lee Smith,2495347,TE,ATL,,,,,12,70,1,,,,,2.56,,,,,25,19.00
Jared Cook,71265,TE,LAC,,,,,12,103,,,,,,3.61,,,,,26,18.00
Jesse James,2552633,TE,CHI,,,,,8,56,1,,,1,,1.13,,,,,27,17.60
MyCole Pruitt,2552401,TE,TEN,,,,,10,89,,,,,,2.95,,,,,28,15.60
James O'Shaughnessy,2553318,TE,JAX,,,,,6,87,,,,,,2.83,,,,,29,13.40
Levine Toilolo,2540203,TE,NYG,,,,,7,44,,,,1,,2.23,,,,,30,13.30
Daniel Brown,2553900,TE,KC,,,,,6,64,,,,,,,,,,,31,9.40
Luke Stocker,2495234,TE,FA,,,,,6,36,,,,,,,,,,,32,8.30
Darren Waller,2552408,TE,LV,,,,,2,18,,,,,,1.90,,,,,33,7.90
Geoff Swaim,2553454,TE,TEN,,,,,1,,,,,,,2.95,,,,,34,0.50
Jordan Akins,2560951,TE,HOU,,,,,,,,,,,,,,,,,35,0.00
Mo Alie-Cox,2558832,TE,IND,,,,,,,,,,,,2.96,,,,,36,0.00
Stephen Anderson,2556463,TE,LAC,,,,,,,,,,,,3.61,,,,,37,0.00
Mark Andrews,2560957,TE,BAL,,,,,,,,,,,,,,,,,38,0.00
Dan Arnold,2559385,TE,JAX,,,,,,,,,,,,2.83,,,,,39,0.00
Devin Asiasi,2564586,TE,NE,,,,,,,,,,,,3.37,,,,,40,0.00
Antony Auclair,2559044,TE,HOU,,,,,,,,,,,,,,,,,41,0.00
John Bates,2566580,TE,WAS,,,,,,,,,,,,,,,,,42,0.00
Marcus Baugh,2560971,TE,FA,,,,,,,,,,,,,,,,,43,0.00
Evan Baylis,2559299,TE,FA,,,,,,,,,,,,,,,,,44,0.00
Andrew Beck,2562626,TE,DEN,,,,,,,,,,,,3.79,,,,,45,0.00
Nate Becker,2563191,TE,FA,,,,,,,,,,,,,,,,,46,0.00
Ryan Becker,2564886,TE,ATL,,,,,,,,,,,,2.56,,,,,47,0.00
Kelvin Benjamin,2543471,TE,FA,,,,,,,,,,,,,,,,,48,0.00
Kendall Blanton,2562234,TE,LA,,,,,,,,,,,,3.33,,,,,49,0.00
Jibri Blount,2565672,TE,FA,,,,,,,,,,,,,,,,,50,0.00
Nick Bowers,2564415,TE,LV,,,,,,,,,,,,1.90,,,,,51,0.00
