PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Antonio Brown,2508061,WR,TB,,,,28,,136,1834,10,1,,2,3,6.74,3,136,139,136,193,70,24,17,10,1,327.70
Julio Jones,2495454,WR,TEN,,,,,,136,1871,8,,1,,3,5.44,,136,136,136,203,67,22,13,9,2,307.80
DeAndre Hopkins,2540165,WR,ARI,,,,,,111,1521,11,,,1,1,,,,,,,,,,,3,280.40
Allen Robinson,2543509,WR,CHI,,,,,,80,1400,14,,,,,5.83,,80,80,80,151,53,21,14,13,4,265.70
Jarvis Landry,2543488,WR,CLE,9,,,113,1,110,1157,4,1,,1,1,8.83,18,110,128,110,166,66,23,13,16,5,218.36
Larry Fitzgerald,2506106,WR,FA,,,,,,94,1061,9,,,,1,,,,,,,,,,,6,213.60
Brandin Cooks,2543498,WR,HOU,,,,18,,84,1138,9,,,,1,9.52,8,84,92,84,129,65,10,6,2,7,213.00
A.J. Green,2495450,WR,ARI,,,,,,80,1236,8,,,,1,,,,,,,,,,,8,213.00
Emmanuel Sanders,497322,WR,BUF,,,,29,,76,1135,6,,,,2,5.96,3,76,79,76,137,55,8,4,2,9,193.20
Sammy Watkins,2543457,WR,BAL,,,,1,,60,1047,9,,,,,6.76,1,60,61,60,96,63,7,4,3,10,188.80
Amari Cooper,2552487,WR,DAL,,,,-3,,72,1070,6,,,,1,8.65,3,72,75,72,130,55,8,4,,11,177.50
T.Y. Hilton,2532865,WR,IND,,,,,,69,1124,5,,,,1,8.00,,69,69,69,134,51,16,8,5,12,176.60
Mike Evans,2543468,WR,TB,,,,,,65,1049,3,,,,1,6.74,,65,65,65,131,50,17,3,3,13,161.90
Willie Snead,2550256,WR,CAR,,,,,,69,984,3,,,,2,7.16,,69,69,69,101,68,9,6,5,14,152.30
John Brown,2543847,WR,JAX,,,,9,,52,815,7,,,,1,5.58,2,52,54,52,83,63,14,8,5,15,151.80
Donte Moncrief,2543614,WR,FA,,,,,,64,733,6,,,,,,,,,,,,,,,16,143.00
Golden Tate,497326,WR,FA,,,,26,,81,753,4,,,,1,,,,,,,,,,,17,140.40
Marvin Jones,2532884,WR,JAX,,,,3,,62,791,4,,,,,5.58,4,62,66,62,98,63,12,8,1,18,138.60
Alshon Jeffery,2533039,WR,FA,,,,,,51,784,4,,,,1,,,,,,,,,,,19,126.90
Tyler Lockett,2552430,WR,SEA,,,,20,,44,597,6,1,,,2,8.18,5,44,49,44,58,76,4,4,,20,125.10
Stefon Diggs,2552608,WR,BUF,,,,13,,52,720,4,,,,2,5.96,3,52,55,52,84,62,8,3,1,21,124.70
Danny Amendola,2649,WR,HOU,36,,,11,,65,648,3,,,,1,9.52,2,65,67,65,87,75,11,8,5,22,115.84
Cole Beasley,2535698,WR,BUF,,,,,,52,536,5,,,,2,5.96,,52,52,52,75,69,18,11,8,23,107.30
Jamison Crowder,2552415,WR,NYJ,,,,2,,59,604,2,,,2,4,4.86,2,59,61,59,78,76,12,5,7,24,104.20
Robert Woods,2540169,WR,LA,,,,,,47,552,3,,,,2,6.89,1,47,48,47,80,59,7,4,4,25,99.50
DeSean Jackson,1581,WR,LV,,,,,,30,528,4,,,,1,9.23,,30,30,30,49,61,4,1,2,26,91.50
Davante Adams,2543495,WR,GB,,,,,,50,483,1,,,1,,6.13,,50,50,50,94,53,13,6,4,27,83.00
DeVante Parker,2552409,WR,MIA,,,,,,26,494,3,,,,,5.98,,26,26,26,50,52,9,2,6,28,82.10
Dez Bryant,497278,WR,FA,,,,,,31,401,3,,,,,,,,,,,,,,,29,73.60
Mohamed Sanu,2533040,WR,SF,,,,71,2,32,386,,,,,2,7.03,10,32,42,32,48,67,9,9,5,30,71.40
Nelson Agholor,2552600,WR,NE,,,,,,23,283,1,,,,1,8.06,,23,23,23,44,52,6,2,1,31,47.20
Tavon Austin,2539336,WR,JAX,,,,176,,18,100,1,,,,1,5.58,22,18,40,18,33,55,3,1,2,32,42.30
Chris Conley,2552652,WR,HOU,,,,,,17,199,1,,,,,9.52,,17,17,17,31,55,4,3,2,33,41.20
