PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
Mike Evans,2543468,WR,TB,,,,,96,1321,12,,,2,,,,,,,1,257.80
Antonio Brown,2508061,WR,TB,,,,9,106,1284,12,,,,,,,,,,2,257.70
T.Y. Hilton,2532865,WR,IND,,,,,91,1448,6,,,1,,11.04,,,,,3,231.70
Julio Jones,2495454,WR,TEN,,,,,83,1409,6,,,,,8.36,,,,,4,221.80
Michael Thomas,2556370,WR,NO,,,,,92,1137,9,,,,2,11.16,,,,,5,217.93
Davante Adams,2543495,WR,GB,,,,,75,997,12,,,1,2,8.98,,,,,6,210.60
Brandin Cooks,2543498,WR,HOU,,,,30,78,1173,8,,,,1,,,,,,7,205.30
Tyreek Hill,2556214,WR,KC,,,,267,61,593,6,3,,,4,7.69,,,,,8,191.70
Amari Cooper,2552487,WR,DAL,,,,,83,1153,5,,,2,2,10.99,,,,,9,188.50
Jarvis Landry,2543488,WR,CLE,,,,17,94,1136,4,,,1,2,8.16,,,,,10,188.50
Larry Fitzgerald,2506106,WR,FA,,,,5,107,1023,6,,,,2,,,,,,11,188.30
Golden Tate,497326,WR,FA,,,,4,91,1077,4,,,1,2,,,,,,12,176.60
Emmanuel Sanders,497322,WR,BUF,,,,4,79,1032,5,,,,1,11.21,,,,,13,173.80
DeAndre Hopkins,2540165,WR,ARI,,,,,78,954,4,,,,,,,,,,14,168.60
Adam Thielen,2541785,WR,MIN,,,,15,69,967,5,,,,2,9.69,,,,,15,168.30
Jamison Crowder,2552415,WR,NYJ,,,,-2,67,847,7,1,,,2,6.07,,,,,16,163.70
Allen Robinson,2543509,WR,CHI,,,,,73,883,6,,,1,1,,,,,,17,163.50
Willie Snead,2550256,WR,FA,50,1,,,72,895,4,,,,2,,,,,,18,157.40
Dez Bryant,497278,WR,FA,10,1,,,50,796,8,,,,1,,,,,,19,156.70
Sterling Shepard,2555295,WR,NYG,,,,31,65,683,8,,,,,11.37,,,,,20,155.30
DeSean Jackson,1581,WR,LA,,,,,56,1005,4,,,,,10.54,,,,,21,154.20
A.J. Green,2495450,WR,ARI,,,,,66,964,4,,,,,,,,,,22,153.40
Stefon Diggs,2552608,WR,BUF,,,,10,84,903,3,,,,,11.21,,,,,23,153.00
Cole Beasley,2535698,WR,BUF,,,,7,75,833,5,,,,,11.21,,,,,24,151.50
Marvin Jones,2532884,WR,JAX,,,,3,55,930,4,,,,,5.74,,,,,25,144.80
