PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Rob Gronkowski,497240,TE,TB,,,,,8,90,2,,,,,25.00,,8,8,8,8,100,2,2,1,1,25.00
Travis Kelce,2540258,TE,KC,,,,,6,76,2,,,,,23.60,,6,6,6,7,86,2,2,,2,22.60
T.J. Hockenson,2562378,TE,DET,,,,,8,97,1,,,1,,22.40,,8,8,8,11,73,2,2,1,3,21.70
Darren Waller,2552408,TE,LV,,,,,10,105,1,,,,,21.50,,10,10,10,19,53,3,3,2,4,21.50
Juwan Johnson,2564676,TE,NO,,,,,3,21,2,,,,,18.90,,3,3,3,3,100,2,2,2,5,15.60
Dallas Goedert,2560995,TE,PHI,,,,,4,42,1,,,,,16.60,,4,4,4,5,80,3,2,1,6,12.20
Logan Thomas,2543767,TE,WAS,,,,,3,30,1,,,,,11.50,,3,3,3,3,100,1,1,,7,11.50
George Kittle,2558266,TE,SF,,,,,4,78,,,,,,9.80,,4,4,4,5,80,,,,8,9.80
Tyler Higbee,2555364,TE,LA,,,,,5,68,,,,,,9.30,,5,5,5,6,83,1,,1,9,9.30
Noah Fant,2562383,TE,DEN,,,,,6,62,,,,,,17.50,,6,6,6,8,75,2,1,,10,9.20
David Njoku,2557986,TE,CLE,,,,,3,76,,,,,,17.20,,3,3,3,5,60,1,1,,11,9.10
Gerald Everett,2557889,TE,SEA,,,,,2,20,1,,,,,14.20,,2,2,2,2,100,1,1,,12,9.00
Pharaoh Brown,2559018,TE,HOU,,,,,4,67,,,,,,8.70,,4,4,4,5,80,,,,13,8.70
Chris Manhertz,2552622,TE,JAX,,,,,1,22,1,,,,,16.50,,1,1,1,1,100,,,,14,8.70
Jared Cook,71265,TE,LAC,,,,,5,56,,,,,,11.20,,5,5,5,8,63,2,1,1,15,8.10
James O'Shaughnessy,2553318,TE,JAX,,,,,6,48,,,,,,16.50,,6,6,6,8,75,,,,16,7.80
Dalton Schultz,2560866,TE,DAL,,,,,6,45,,,,,,11.00,,6,6,6,6,100,,,,17,7.50
