PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Kyler Murray,2562382,QB,ARI,@TEN,289,1,4,20,,,,,,,,22.36,1,34.56,22.36,12.2
Patrick Mahomes,2558125,QB,KC,CLE,337,,3,18,,,,,,,,23.22,2,33.28,23.22,10.06
Jameis Winston,2552033,QB,NO,GB,148,,5,37,,,,,,,,,3,29.62,,
Jared Goff,2555334,QB,DET,SF,338,1,3,14,,,,,,2,,17.82,4,28.92,17.82,11.1
Jalen Hurts,2564832,QB,PHI,@ATL,264,,3,62,,,,,,,1,19.68,5,28.76,19.68,9.08
Tom Brady,2504211,QB,TB,DAL,379,2,4,,,,,,,,,21.02,6,27.16,21.02,6.14
Russell Wilson,2532975,QB,SEA,@IND,254,,4,9,,,,,,,,,7,27.06,,
Dak Prescott,2555260,QB,DAL,@TB,403,1,3,13,,,,,,,1,20.27,8,26.42,20.27,6.15
Matthew Stafford,79860,QB,LA,CHI,321,,3,-5,,,,,,,,18.66,9,24.34,18.66,5.68
Derek Carr,2543499,QB,LV,BAL,435,1,2,6,,,,,,,1,19.34,10,22.50,19.34,3.16
Kirk Cousins,2532820,QB,MIN,@CIN,351,,2,,,,,,,,,19.10,11,22.04,19.1,2.94
Tyrod Taylor,2495240,QB,HOU,JAX,291,,2,40,,,,,,,1,15.50,12,21.64,15.5,6.14
Daniel Jones,2562299,QB,NYG,DEN,267,,1,27,,,,,,,1,16.44,13,21.38,16.44,4.94
Teddy Bridgewater,2543465,QB,DEN,@NYG,264,,2,19,,,,,,,,16.73,14,20.46,16.73,3.73
Trevor Lawrence,2566163,QB,JAX,@HOU,332,3,3,-2,,,,,,,,17.31,15,19.08,17.31,1.77
Sam Darnold,2561036,QB,CAR,NYJ,279,,1,-1,,,,,,,1,16.62,16,18.89,16.62,2.27
Joe Burrow,2563722,QB,CIN,MIN,261,,2,2,,,,,,,,18.28,17,18.64,18.28,0.36
Lamar Jackson,2560757,QB,BAL,@LV,235,,1,86,,,,,,,3,21.14,18,18.57,21.14,-2.57
Carson Wentz,2555259,QB,IND,SEA,251,,2,23,,,,,,,1,17.31,19,18.34,17.31,1.03
Zach Wilson,2566391,QB,NYJ,@CAR,258,1,2,,,,,,,1,1,17.87,20,17.32,17.87,-0.55
Josh Allen,2560955,QB,BUF,PIT,270,,1,44,,,,,,,2,22.51,21,16.20,22.51,-6.31
Tua Tagovailoa,2564499,QB,MIA,@NE,202,1,1,1,,,,,,,,16.77,22,16.18,16.77,-0.59
Jimmy Garoppolo,2543801,QB,SF,@DET,314,,1,2,,,,,,,1,17.62,23,14.76,17.62,-2.86
Ryan Tannehill,2532956,QB,TEN,ARI,212,1,1,17,,,,,,,2,21.29,24,14.18,21.29,-7.11
Justin Herbert,2565045,QB,LAC,@WAS,337,1,1,-1,,,,,,,1,19.93,25,13.38,19.93,-6.55
Mac Jones,2566334,QB,NE,MIA,281,,1,,,,,,,,1,14.93,26,13.24,14.93,-1.69
Baker Mayfield,2560800,QB,CLE,@KC,321,1,,7,,11,,,,,,19.27,27,12.64,19.27,-6.63
Taylor Heinicke,2553656,QB,WAS,LAC,122,,1,17,,,,,,,,0.55,28,10.58,0.55,10.03
Ben Roethlisberger,2506109,QB,PIT,@BUF,188,,1,5,,,,,,,1,17.71,29,10.02,17.71,-7.69
Justin Fields,2565920,QB,CHI,@LA,10,,,3,,,,,,,,1.26,30,6.70,1.26,5.44
Andy Dalton,2495143,QB,CHI,@LA,206,1,,13,,,,,,,1,15.80,31,5.54,15.8,-10.26
Matt Ryan,310,QB,ATL,PHI,164,,,8,,,,,,,1,18.60,32,5.23,18.6,-13.37
Trey Lance,2566532,QB,SF,@DET,5,,1,2,,,,,,,,3.14,33,4.40,3.14,1.26
Marcus Mariota,2552466,QB,LV,BAL,,,,31,,,,,,,,0.42,34,3.10,0.42,2.68
Aaron Rodgers,2506363,QB,GB,@NO,133,2,,,,,,,,,,21.27,35,1.32,21.27,-19.95
Jordan Love,2564007,QB,GB,@NO,68,,,,,,,,,,1,0.84,36,0.72,0.84,-0.12
Jacoby Brissett,2555261,QB,MIA,@NE,,,,4,,,,,,,,0.51,37,0.40,0.51,-0.11
Taysom Hill,2558954,QB,NO,GB,3,,,1,,,,,,,,5.06,38,0.22,5.06,-4.84
Brandon Allen,2555365,QB,CIN,MIN,,,,,,,,,,,,0.66,39,0.00,0.66,-0.66
Kyle Allen,2561177,QB,WAS,LAC,,,,,,,,,,,,0.00,40,0.00,0.0,0.0
Kenji Bahar,2566608,QB,FA,Bye,,,,,,,,,,,,,41,0.00,,
Matt Barkley,2539308,QB,TEN,ARI,,,,,,,,,,,,0.00,42,0.00,0.0,0.0
C.J. Beathard,2557922,QB,JAX,@HOU,,,,,,,,,,,,1.23,43,0.00,1.23,-1.23
David Blough,2563043,QB,DET,SF,,,,,,,,,,,,0.38,44,0.00,0.38,-0.38
Ian Book,2566352,QB,NO,GB,,,,,,,,,,,,0.00,45,0.00,0.0,0.0
Blake Bortles,2543477,QB,GB,@NO,,,,,,,,,,,,0.00,46,0.00,0.0,0.0
Tim Boyle,2561187,QB,DET,SF,,,,,,,,,,,,,47,0.00,,
Drew Brees,2504775,QB,FA,Bye,,,,,,,,,,,,,48,0.00,,
Jake Browning,2562634,QB,CIN,MIN,,,,,,,,,,,,0.00,49,0.00,0.0,0.0
Shane Buechele,2566983,QB,KC,CLE,,,,,,,,,,,,0.00,50,0.00,0.0,0.0
Chase Daniel,81284,QB,LAC,@WAS,,,,,,,,,,,,0.00,51,0.00,0.0,0.0
Ben DiNucci,2563839,QB,DAL,@TB,,,,,,,,,,,,0.00,52,0.00,0.0,0.0
Joshua Dobbs,2558167,QB,PIT,@BUF,,,,,,,,,,,,,53,0.00,,
Jeff Driskel,2555262,QB,HOU,JAX,,,,,,,,,,,,0.00,54,0.00,0.0,0.0
Jacob Eason,2564115,QB,SEA,@IND,,,,,,,,,,,,1.39,55,0.00,1.39,-1.39
Sam Ehlinger,2566142,QB,IND,SEA,,,,,,,,,,,,0.00,56,0.00,0.0,0.0
Danny Etling,2560717,QB,FA,Bye,,,,,,,,,,,,,57,0.00,,
Ryan Finley,2562651,QB,FA,Bye,,,,,,,,,,,,,58,0.00,,
Joe Flacco,382,QB,NYJ,@CAR,,,,,,,,,,,,0.74,59,0.00,0.74,-0.74
Nick Foles,2532842,QB,CHI,@LA,,,,,,,,,,,,0.00,60,0.00,0.0,0.0
Feleipe Franks,2566683,QB,ATL,PHI,,,,,,,,,,,,0.00,61,0.00,0.0,0.0
Jake Fromm,2563608,QB,BUF,PIT,,,,,,,,,,,,,62,0.00,,
Blaine Gabbert,2495441,QB,TB,DAL,,,,,,,,,,,,0.61,63,0.00,0.61,-0.61
Garrett Gilbert,2549982,QB,NE,MIA,,,,,,,,,,,,0.00,64,0.00,0.0,0.0
Mike Glennon,2539275,QB,NYG,DEN,,,,,,,,,,,,0.81,65,0.00,0.81,-0.81
Anthony Gordon,2565153,QB,FA,Bye,,,,,,,,,,,,,66,0.00,,
Will Grier,2562404,QB,DAL,@TB,,,,,,,,,,,,0.00,67,0.00,0.0,0.0
Ryan Griffin,2541185,QB,TB,DAL,,,,,,,,,,,,0.00,68,0.00,0.0,0.0
Dwayne Haskins,2562660,QB,PIT,@BUF,,,,,,,,,,,,0.00,69,0.00,0.0,0.0
Chad Henne,252,QB,KC,CLE,,,,,,,,,,,,0.51,70,0.00,0.51,-0.51
Devlin Hodges,2563258,QB,FA,Bye,,,,,,,,,,,,,71,0.00,,
Brian Hoyer,81294,QB,NE,MIA,,,,,,,,,,,,1.24,72,0.00,1.24,-1.24
Brett Hundley,2552588,QB,IND,SEA,,,,,,,,,,,,0.00,73,0.00,0.0,0.0
Tyler Huntley,2563560,QB,BAL,@LV,,,,,,,,,,,,2.13,74,0.00,2.13,-2.13
Josh Johnson,264,QB,NYJ,@CAR,,,,,,,,,,,,0.00,75,0.00,0.0,0.0
Colin Kaepernick,2495186,QB,FA,Bye,,,,,,,,,,,,,76,0.00,,
Case Keenum,2532888,QB,CLE,@KC,,,,,,,,,,,,0.38,77,0.00,0.38,-0.38
DeShone Kizer,2557983,QB,FA,Bye,,,,,,,,,,,,,78,0.00,,
Kyle Lauletta,2560786,QB,JAX,@HOU,,,,,,,,,,,,0.00,79,0.00,0.0,0.0
Drew Lock,2562305,QB,DEN,@NYG,,,,,,,,,,,,1.00,80,0.00,1.0,-1.0
Jake Luton,2564205,QB,SEA,@IND,,,,,,,,,,,,0.00,81,0.00,0.0,0.0
Sean Mannion,2552576,QB,MIN,@CIN,,,,,,,,,,,,0.46,82,0.00,0.46,-0.46
AJ McCarron,2543497,QB,ATL,PHI,,,,,,,,,,,,,83,0.00,,
Josh McCown,2505076,QB,FA,Bye,,,,,,,,,,,,,84,0.00,,
Colt McCoy,497123,QB,ARI,@TEN,,,,,,,,,,,,0.00,85,0.00,0.0,0.0
Cole McDonald,2564052,QB,FA,Bye,,,,,,,,,,,,,86,0.00,,
Alex McGough,2561148,QB,FA,Bye,,,,,,,,,,,,,87,0.00,,
Trace McSorley,2562403,QB,BAL,@LV,,,,,,,,,,,,0.00,88,0.00,0.0,0.0
Davis Mills,2566136,QB,HOU,JAX,,,,,,,,,,,,1.64,89,0.00,1.64,-1.64
