PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Christian McCaffrey,2557997,RB,CAR,NYJ,,,,98,9,89,,,,,,18.09,1,23.20,18.09,5.11
Joe Mixon,2557976,RB,CIN,MIN,,,,127,4,23,,,,,,14.01,2,23.00,14.01,8.99
Nick Chubb,2561021,RB,CLE,@KC,,,,83,2,18,,,,,1,12.84,3,21.10,12.84,8.26
Jamaal Williams,2558204,RB,DET,SF,,,,54,8,56,,,,,,6.47,4,21.00,6.47,14.53
D'Andre Swift,2563965,RB,DET,SF,,,,39,8,65,1,,,,,15.17,5,20.40,15.17,5.23
Melvin Gordon,2552469,RB,DEN,@NYG,,,,101,3,17,,,,,,13.04,6,19.30,13.04,6.26
David Montgomery,2562502,RB,CHI,@LA,,,,108,1,10,,,,,,12.69,7,18.30,12.69,5.61
Dalvin Cook,2557991,RB,MIN,@CIN,,,,61,6,43,,,,,1,18.72,8,17.40,18.72,-1.32
Ty'Son Williams,2565542,RB,BAL,@LV,,,,65,3,29,,,,,,11.50,9,16.90,11.5,5.4
Alvin Kamara,2558019,RB,NO,GB,,,,83,3,8,1,,,,,20.26,10,16.60,20.26,-3.66
Josh Jacobs,2562377,RB,LV,BAL,,,,34,1,6,,,,,,8.83,11,16.50,8.83,7.67
Eli Mitchell,2566538,RB,SF,@DET,,,,104,,,,,,,,0.00,12,16.40,0.0,16.4
Kareem Hunt,2557917,RB,CLE,@KC,,,,33,3,28,,,,1,,,13,15.60,,
Miles Sanders,2562722,RB,PHI,@ATL,,,,74,4,39,,,,1,,,14,15.30,,
Darrell Henderson,2562574,RB,LA,CHI,,,,70,1,17,,,,,,10.33,15,15.20,10.33,4.87
Jonathan Taylor,2564148,RB,IND,SEA,,,,56,6,60,,,,,,13.62,16,14.60,13.62,0.98
Mark Ingram,2495466,RB,NO,GB,,,,85,,,,,,,,3.12,17,14.50,3.12,11.38
Chase Edmonds,2560711,RB,ARI,@TEN,,,,63,4,43,,,,,,11.03,18,13.40,11.03,2.37
Austin Ekeler,2559169,RB,LAC,@WAS,,,,57,,,,,,,,15.85,19,11.70,15.85,-4.15
Kenneth Gainwell,2566397,RB,PHI,@ATL,,,,37,2,6,,,,,,1.98,20,11.30,1.98,9.32
Chris Carson,2558865,RB,SEA,@IND,,,,91,3,26,,,,,1,,21,11.20,,
Nyheim Hines,2560742,RB,IND,SEA,,,,34,6,48,,,,,,6.98,22,11.20,6.98,4.22
Damien Harris,2562281,RB,NE,MIA,,,,100,2,17,,,,,1,10.72,23,10.70,10.72,-0.02
David Johnson,2553435,RB,HOU,JAX,,,,10,3,18,1,,,,,3.68,24,10.30,3.68,6.62
Myles Gaskin,2562270,RB,MIA,@NE,,,,49,5,27,,,,,,14.25,25,10.10,14.25,-4.15
Kenyan Drake,2555230,RB,LV,BAL,,,,11,5,59,,,,,,6.24,26,9.50,6.24,3.26
Cordarrelle Patterson,2540145,RB,ATL,PHI,,,,54,2,13,,,,,,3.94,27,9.50,3.94,5.56
