PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Devonta Freeman,2543583,RB,BAL,@MIA,,,,35,3,23,,,,,,7.40,10,3,13,3,4,75,1,,1,1,7.30
Myles Gaskin,2562270,RB,MIA,BAL,,,,31,1,14,,,,,,7.70,14,1,15,1,2,50,,4,1,2,5.00
Salvon Ahmed,2565090,RB,MIA,BAL,,,,6,1,9,,,,,,7.70,2,1,3,1,1,100,,,,3,2.00
Patrick Laird,2563296,RB,MIA,BAL,,,,,1,2,,,,,,7.70,,1,1,1,1,100,,,,4,0.70
Le'Veon Bell,2540175,RB,BAL,@MIA,,,,1,,,,,,,,7.40,3,,3,,,,,,,5,0.10
Ameer Abdullah,2552374,RB,CAR,@ARI,,,,,,,,,,,,0.00,,,,,,,,,,6,0.00
Josh Adams,2560949,RB,NO,@TEN,,,,,,,,,,,,0.00,,,,,,,,,,7,0.00
Cam Akers,2564319,RB,LA,@SF,,,,,,,,,,,,0.00,,,,,,,,,,8,0.00
Darius Anderson,2563824,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,9,0.00
Alex Armah,2558833,RB,NO,@TEN,,,,,,,,,,,,0.00,,,,,,,,,,10,0.00
Ryquell Armstead,2562622,RB,GB,SEA,,,,,,,,,,,,0.00,,,,,,,,,,11,0.00
Kalen Ballage,2560967,RB,PIT,DET,,,,,,,,,,,,0.00,,,,,,,,,,12,0.00
Peyton Barber,2556466,RB,LV,KC,,,,,,,,,,,,0.00,,,,,,,,,,13,0.00
Jake Bargas,2564508,RB,MIN,@LAC,,,,,,,,,,,,0.00,,,,,,,,,,14,0.00
Saquon Barkley,2560968,RB,NYG,Bye,,,,,,,,,,,,,,,,,,,,,,15,0.00
Nick Bawden,2560972,RB,NYJ,BUF,,,,,,,,,,,,0.00,,,,,,,,,,16,0.00
Levante Bellamy,2563878,RB,DEN,PHI,,,,,,,,,,,,0.00,,,,,,,,,,17,0.00
Nick Bellore,2495262,RB,SEA,@GB,,,,,,,,,,,,0.00,,,,,,,,,,18,0.00
Eno Benjamin,2564889,RB,ARI,CAR,,,,,,,,,,,,0.00,,,,,,,,,,19,0.00
Giovani Bernard,2540156,RB,TB,@WAS,,,,,,,,,,,,0.00,,,,,,,,,,20,0.00
Khari Blasingame,2562869,RB,TEN,NO,,,,,,,,,,,,0.00,,,,,,,,,,21,0.00
Brandon Bolden,2532797,RB,NE,CLE,,,,,,,,,,,,0.00,,,,,,,,,,22,0.00
Reggie Bonnafon,2561184,RB,CAR,@ARI,,,,,,,,,,,,0.00,,,,,,,,,,23,0.00
Devontae Booker,2555223,RB,NYG,Bye,,,,,,,,,,,,,,,,,,,,,,24,0.00
Mike Boone,2561099,RB,DEN,PHI,,,,,,,,,,,,0.00,,,,,,,,,,25,0.00
Darius Bradwell,2565015,RB,LAC,MIN,,,,,,,,,,,,0.00,,,,,,,,,,26,0.00
Matt Breida,2558918,RB,BUF,@NYJ,,,,,,,,,,,,0.00,,,,,,,,,,27,0.00
Gary Brightwell,2566364,RB,NYG,Bye,,,,,,,,,,,,,,,,,,,,,,28,0.00
Tony Brooks-James,2563300,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,29,0.00
Malcolm Brown,2552382,RB,MIA,BAL,,,,,,,,,,,,7.70,,,,,,,,,,30,0.00
Spencer Brown,2565558,RB,CAR,@ARI,,,,,,,,,,,,0.00,,,,,,,,,,31,0.00
Rex Burkhead,2539265,RB,HOU,Bye,,,,,,,,,,,,,,,,,,,,,,32,0.00
Michael Burton,2552636,RB,KC,@LV,,,,,,,,,,,,0.00,,,,,,,,,,33,0.00
Jason Cabinda,2560986,RB,DET,@PIT,,,,,,,,,,,,0.00,,,,,,,,,,34,0.00
Raymond Calais,2565207,RB,LA,@SF,,,,,,,,,,,,0.00,,,,,,,,,,35,0.00
Trenton Cannon,2561137,RB,SF,LA,,,,,,,,,,,,0.00,,,,,,,,,,36,0.00
Patrick Carr,2565138,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,37,0.00
Chris Carson,2558865,RB,SEA,@GB,,,,,,,,,,,,0.00,,,,,,,,,,38,0.00
Michael Carter,2566382,RB,NYJ,BUF,,,,,,,,,,,,0.00,,,,,,,,,,39,0.00
Nick Chubb,2561021,RB,CLE,@NE,,,,,,,,,,,,0.00,,,,,,,,,,40,0.00
Jordan Chunn,2561308,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,41,0.00
Darius Clark,2565561,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,42,0.00
Corey Clement,2559150,RB,DAL,ATL,,,,,,,,,,,,0.00,,,,,,,,,,43,0.00
Tarik Cohen,2558250,RB,CHI,Bye,,,,,,,,,,,,,,,,,,,,,,44,0.00
Tevin Coleman,2552453,RB,NYJ,BUF,,,,,,,,,,,,0.00,,,,,,,,,,45,0.00
Alex Collins,2555430,RB,SEA,@GB,,,,,,,,,,,,0.00,,,,,,,,,,46,0.00
James Conner,2557978,RB,ARI,CAR,,,,,,,,,,,,0.00,,,,,,,,,,47,0.00
Dalvin Cook,2557991,RB,MIN,@LAC,,,,,,,,,,,,0.00,,,,,,,,,,48,0.00
Nathan Cottrell,2564175,RB,JAX,@IND,,,,,,,,,,,,0.00,,,,,,,,,,49,0.00
Damarea Crockett,2563223,RB,DEN,PHI,,,,,,,,,,,,0.00,,,,,,,,,,50,0.00
DeeJay Dallas,2565144,RB,SEA,@GB,,,,,,,,,,,,0.00,,,,,,,,,,51,0.00
Mikey Daniel,2563476,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,52,0.00
Mike Davis,2553439,RB,ATL,@DAL,,,,,,,,,,,,0.00,,,,,,,,,,53,0.00
Matt Dayes,2557987,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,54,0.00
A.J. Dillon,2563986,RB,GB,SEA,,,,,,,,,,,,0.00,,,,,,,,,,55,0.00
Gerrid Doaks,2566277,RB,MIA,BAL,,,,,,,,,,,,7.70,,,,,,,,,,56,0.00
J.K. Dobbins,2563548,RB,BAL,@MIA,,,,,,,,,,,,7.40,,,,,,,,,,57,0.00
Rico Dowdle,2565295,RB,DAL,ATL,,,,,,,,,,,,0.00,,,,,,,,,,58,0.00
Kenyan Drake,2555230,RB,LV,KC,,,,,,,,,,,,0.00,,,,,,,,,,59,0.00
Chase Edmonds,2560711,RB,ARI,CAR,,,,,,,,,,,,0.00,,,,,,,,,,60,0.00
Trey Edmunds,2559325,RB,PIT,DET,,,,,,,,,,,,0.00,,,,,,,,,,61,0.00
Gus Edwards,2561324,RB,BAL,@MIA,,,,,,,,,,,,7.40,,,,,,,,,,62,0.00
Clyde Edwards-Helaire,2564271,RB,KC,@LV,,,,,,,,,,,,0.00,,,,,,,,,,63,0.00
Austin Ekeler,2559169,RB,LAC,MIN,,,,,,,,,,,,0.00,,,,,,,,,,64,0.00
Ezekiel Elliott,2555224,RB,DAL,ATL,,,,,,,,,,,,0.00,,,,,,,,,,65,0.00
Travis Etienne,2566157,RB,JAX,@IND,,,,,,,,,,,,0.00,,,,,,,,,,66,0.00
Chris Evans,2565944,RB,CIN,Bye,,,,,,,,,,,,,,,,,,,,,,67,0.00
Darrynton Evans,2564043,RB,TEN,NO,,,,,,,,,,,,0.00,,,,,,,,,,68,0.00
Tavien Feaster,2564187,RB,ARI,CAR,,,,,,,,,,,,0.00,,,,,,,,,,69,0.00
Demetric Felton,2565968,RB,CLE,@NE,,,,,,,,,,,,0.00,,,,,,,,,,70,0.00
D'Onta Foreman,2557994,RB,TEN,NO,,,,,,,,,,,,0.00,,,,,,,,,,71,0.00
D.J. Foster,2556528,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,72,0.00
Leonard Fournette,2557973,RB,TB,@WAS,,,,,,,,,,,,0.00,,,,,,,,,,73,0.00
Royce Freeman,2560733,RB,HOU,Bye,,,,,,,,,,,,,,,,,,,,,,74,0.00
Jake Funk,2566208,RB,LA,@SF,,,,,,,,,,,,0.00,,,,,,,,,,75,0.00
Tyler Gaffney,2543655,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,76,0.00
Kenneth Gainwell,2566397,RB,PHI,@DEN,,,,,,,,,,,,0.00,,,,,,,,,,77,0.00
Wayne Gallman,2557952,RB,ATL,@DAL,,,,,,,,,,,,0.00,,,,,,,,,,78,0.00
Antonio Gibson,2565276,RB,WAS,TB,,,,,,,,,,,,0.00,,,,,,,,,,79,0.00
Cullen Gillaspia,2562906,RB,NYG,Bye,,,,,,,,,,,,,,,,,,,,,,80,0.00
Melvin Gordon,2552469,RB,DEN,PHI,,,,,,,,,,,,0.00,,,,,,,,,,81,0.00
Derrick Gore,2563347,RB,KC,@LV,,,,,,,,,,,,0.00,,,,,,,,,,82,0.00
Garrett Groshek,2565645,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,83,0.00
Pete Guerrerio,2565539,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,84,0.00
Todd Gurley,2552475,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,85,0.00
C.J. Ham,2556803,RB,MIN,@LAC,,,,,,,,,,,,0.00,,,,,,,,,,86,0.00
Damien Harris,2562281,RB,NE,CLE,,,,,,,,,,,,0.00,,,,,,,,,,87,0.00
Najee Harris,2566448,RB,PIT,DET,,,,,,,,,,,,0.00,,,,,,,,,,88,0.00
JaMycal Hasty,2565108,RB,SF,LA,,,,,,,,,,,,0.00,,,,,,,,,,89,0.00
Javian Hawkins,2566689,RB,LA,@SF,,,,,,,,,,,,0.00,,,,,,,,,,90,0.00
Darrell Henderson,2562574,RB,LA,@SF,,,,,,,,,,,,0.00,,,,,,,,,,91,0.00
