PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Brandon Allen,2555365,QB,CIN,Bye,,,,,,,,,,,,,1,0.00,
Josh Allen,2560955,QB,BUF,@NYJ,,,,,,,,,,,,24.38,2,0.00,-24.38
Kyle Allen,2561177,QB,WAS,TB,,,,,,,,,,,,0.48,3,0.00,-0.48
Kenji Bahar,2566608,QB,FA,Bye,,,,,,,,,,,,,4,0.00,
Matt Barkley,2539308,QB,TEN,NO,,,,,,,,,,,,0.00,5,0.00,0.0
C.J. Beathard,2557922,QB,JAX,@IND,,,,,,,,,,,,0.63,6,0.00,-0.63
David Blough,2563043,QB,DET,@PIT,,,,,,,,,,,,0.00,7,0.00,0.0
Ian Book,2566352,QB,NO,@TEN,,,,,,,,,,,,0.00,8,0.00,0.0
Blake Bortles,2543477,QB,GB,SEA,,,,,,,,,,,,0.00,9,0.00,0.0
Tim Boyle,2561187,QB,DET,@PIT,,,,,,,,,,,,,10,0.00,
Tom Brady,2504211,QB,TB,@WAS,,,,,,,,,,,,21.32,11,0.00,-21.32
Drew Brees,2504775,QB,FA,Bye,,,,,,,,,,,,,12,0.00,
Teddy Bridgewater,2543465,QB,DEN,PHI,,,,,,,,,,,,16.89,13,0.00,-16.89
Jacoby Brissett,2555261,QB,MIA,BAL,,,,,,,,,,,,0.74,14,0.00,-0.74
Jake Browning,2562634,QB,CIN,Bye,,,,,,,,,,,,,15,0.00,
Shane Buechele,2566983,QB,KC,@LV,,,,,,,,,,,,0.00,16,0.00,0.0
Joe Burrow,2563722,QB,CIN,Bye,,,,,,,,,,,,,17,0.00,
Derek Carr,2543499,QB,LV,KC,,,,,,,,,,,,19.73,18,0.00,-19.73
Kirk Cousins,2532820,QB,MIN,@LAC,,,,,,,,,,,,18.15,19,0.00,-18.15
Andy Dalton,2495143,QB,CHI,Bye,,,,,,,,,,,,,20,0.00,
Chase Daniel,81284,QB,LAC,MIN,,,,,,,,,,,,0.51,21,0.00,-0.51
Sam Darnold,2561036,QB,CAR,@ARI,,,,,,,,,,,,15.45,22,0.00,-15.45
Ben DiNucci,2563839,QB,DAL,ATL,,,,,,,,,,,,0.00,23,0.00,0.0
Joshua Dobbs,2558167,QB,PIT,DET,,,,,,,,,,,,,24,0.00,
Jeff Driskel,2555262,QB,HOU,Bye,,,,,,,,,,,,,25,0.00,
Jacob Eason,2564115,QB,SEA,@GB,,,,,,,,,,,,0.00,26,0.00,0.0
Sam Ehlinger,2566142,QB,IND,JAX,,,,,,,,,,,,1.80,27,0.00,-1.8
Danny Etling,2560717,QB,FA,Bye,,,,,,,,,,,,,28,0.00,
Justin Fields,2565920,QB,CHI,Bye,,,,,,,,,,,,,29,0.00,
Ryan Finley,2562651,QB,FA,Bye,,,,,,,,,,,,,30,0.00,
Ryan Fitzpatrick,2506581,QB,WAS,TB,,,,,,,,,,,,,31,0.00,
Joe Flacco,382,QB,NYJ,BUF,,,,,,,,,,,,0.91,32,0.00,-0.91
Nick Foles,2532842,QB,CHI,Bye,,,,,,,,,,,,,33,0.00,
Feleipe Franks,2566683,QB,ATL,@DAL,,,,,,,,,,,,0.00,34,0.00,0.0
Jake Fromm,2563608,QB,BUF,@NYJ,,,,,,,,,,,,,35,0.00,
Blaine Gabbert,2495441,QB,TB,@WAS,,,,,,,,,,,,0.98,36,0.00,-0.98
Jimmy Garoppolo,2543801,QB,SF,LA,,,,,,,,,,,,15.04,37,0.00,-15.04
Garrett Gilbert,2549982,QB,NE,CLE,,,,,,,,,,,,0.00,38,0.00,0.0
Mike Glennon,2539275,QB,NYG,Bye,,,,,,,,,,,,,39,0.00,
Jared Goff,2555334,QB,DET,@PIT,,,,,,,,,,,,13.94,40,0.00,-13.94
Anthony Gordon,2565153,QB,FA,Bye,,,,,,,,,,,,,41,0.00,
Will Grier,2562404,QB,DAL,ATL,,,,,,,,,,,,0.65,42,0.00,-0.65
Ryan Griffin,2541185,QB,TB,@WAS,,,,,,,,,,,,0.00,43,0.00,0.0
Dwayne Haskins,2562660,QB,PIT,DET,,,,,,,,,,,,0.00,44,0.00,0.0
Taylor Heinicke,2553656,QB,WAS,TB,,,,,,,,,,,,16.66,45,0.00,-16.66
Chad Henne,252,QB,KC,@LV,,,,,,,,,,,,0.67,46,0.00,-0.67
Justin Herbert,2565045,QB,LAC,MIN,,,,,,,,,,,,19.79,47,0.00,-19.79
Taysom Hill,2558954,QB,NO,@TEN,,,,,,,,,,,,4.08,48,0.00,-4.08
Devlin Hodges,2563258,QB,FA,Bye,,,,,,,,,,,,,49,0.00,
Brian Hoyer,81294,QB,NE,CLE,,,,,,,,,,,,0.42,50,0.00,-0.42
Brett Hundley,2552588,QB,IND,JAX,,,,,,,,,,,,0.00,51,0.00,0.0
Tyler Huntley,2563560,QB,BAL,@MIA,,,,,,,,,,,,0.85,52,0.00,-0.85
Jalen Hurts,2564832,QB,PHI,@DEN,,,,,,,,,,,,19.00,53,0.00,-19.0
Lamar Jackson,2560757,QB,BAL,@MIA,,,,,,,,,,,,22.92,54,0.00,-22.92
Josh Johnson,264,QB,NYJ,BUF,,,,,,,,,,,,0.00,55,0.00,0.0
Daniel Jones,2562299,QB,NYG,Bye,,,,,,,,,,,,,56,0.00,
Mac Jones,2566334,QB,NE,CLE,,,,,,,,,,,,15.47,57,0.00,-15.47
Colin Kaepernick,2495186,QB,FA,Bye,,,,,,,,,,,,,58,0.00,
Case Keenum,2532888,QB,CLE,@NE,,,,,,,,,,,,0.53,59,0.00,-0.53
DeShone Kizer,2557983,QB,FA,Bye,,,,,,,,,,,,,60,0.00,
Trey Lance,2566532,QB,SF,LA,,,,,,,,,,,,2.07,61,0.00,-2.07
Kyle Lauletta,2560786,QB,JAX,@IND,,,,,,,,,,,,0.00,62,0.00,0.0
Trevor Lawrence,2566163,QB,JAX,@IND,,,,,,,,,,,,15.04,63,0.00,-15.04
Drew Lock,2562305,QB,DEN,PHI,,,,,,,,,,,,0.00,64,0.00,0.0
