PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Ameer Abdullah,2552374,RB,CAR,@ARI,,,,,,,,,,,,2.89,1,0.00,-2.89
Josh Adams,2560949,RB,FA,Bye,,,,,,,,,,,,,2,0.00,
Salvon Ahmed,2565090,RB,MIA,BAL,,,,,,,,,,,,5.31,3,0.00,-5.31
Cam Akers,2564319,RB,LA,@SF,,,,,,,,,,,,0.00,4,0.00,0.0
Darius Anderson,2563824,RB,FA,Bye,,,,,,,,,,,,,5,0.00,
Alex Armah,2558833,RB,NO,@TEN,,,,,,,,,,,,0.49,6,0.00,-0.49
Ryquell Armstead,2562622,RB,GB,SEA,,,,,,,,,,,,0.00,7,0.00,0.0
Kalen Ballage,2560967,RB,PIT,DET,,,,,,,,,,,,1.75,8,0.00,-1.75
Peyton Barber,2556466,RB,LV,KC,,,,,,,,,,,,0.00,9,0.00,0.0
Jake Bargas,2564508,RB,MIN,@LAC,,,,,,,,,,,,0.00,10,0.00,0.0
Saquon Barkley,2560968,RB,NYG,Bye,,,,,,,,,,,,,11,0.00,
Nick Bawden,2560972,RB,NYJ,BUF,,,,,,,,,,,,0.00,12,0.00,0.0
Le'Veon Bell,2540175,RB,BAL,@MIA,,,,,,,,,,,,3.82,13,0.00,-3.82
Levante Bellamy,2563878,RB,DEN,PHI,,,,,,,,,,,,,14,0.00,
Nick Bellore,2495262,RB,SEA,@GB,,,,,,,,,,,,0.00,15,0.00,0.0
Eno Benjamin,2564889,RB,ARI,CAR,,,,,,,,,,,,3.57,16,0.00,-3.57
Giovani Bernard,2540156,RB,TB,@WAS,,,,,,,,,,,,4.02,17,0.00,-4.02
Khari Blasingame,2562869,RB,TEN,NO,,,,,,,,,,,,,18,0.00,
Brandon Bolden,2532797,RB,NE,CLE,,,,,,,,,,,,3.95,19,0.00,-3.95
Reggie Bonnafon,2561184,RB,CAR,@ARI,,,,,,,,,,,,0.00,20,0.00,0.0
Devontae Booker,2555223,RB,NYG,Bye,,,,,,,,,,,,,21,0.00,
Mike Boone,2561099,RB,DEN,PHI,,,,,,,,,,,,1.36,22,0.00,-1.36
Darius Bradwell,2565015,RB,LAC,MIN,,,,,,,,,,,,0.00,23,0.00,0.0
Matt Breida,2558918,RB,BUF,@NYJ,,,,,,,,,,,,0.00,24,0.00,0.0
Gary Brightwell,2566364,RB,NYG,Bye,,,,,,,,,,,,,25,0.00,
Tony Brooks-James,2563300,RB,FA,Bye,,,,,,,,,,,,,26,0.00,
Malcolm Brown,2552382,RB,MIA,BAL,,,,,,,,,,,,,27,0.00,
Spencer Brown,2565558,RB,CAR,@ARI,,,,,,,,,,,,0.00,28,0.00,0.0
Rex Burkhead,2539265,RB,HOU,Bye,,,,,,,,,,,,,29,0.00,
Michael Burton,2552636,RB,KC,@LV,,,,,,,,,,,,0.44,30,0.00,-0.44
Jason Cabinda,2560986,RB,DET,@PIT,,,,,,,,,,,,0.27,31,0.00,-0.27
Raymond Calais,2565207,RB,LA,@SF,,,,,,,,,,,,,32,0.00,
Trenton Cannon,2561137,RB,SF,LA,,,,,,,,,,,,0.52,33,0.00,-0.52
Patrick Carr,2565138,RB,FA,Bye,,,,,,,,,,,,,34,0.00,
Chris Carson,2558865,RB,SEA,@GB,,,,,,,,,,,,,35,0.00,
Michael Carter,2566382,RB,NYJ,BUF,,,,,,,,,,,,13.01,36,0.00,-13.01
Nick Chubb,2561021,RB,CLE,@NE,,,,,,,,,,,,6.49,37,0.00,-6.49
Jordan Chunn,2561308,RB,FA,Bye,,,,,,,,,,,,,38,0.00,
Darius Clark,2565561,RB,FA,Bye,,,,,,,,,,,,,39,0.00,
Corey Clement,2559150,RB,DAL,ATL,,,,,,,,,,,,1.29,40,0.00,-1.29
Tarik Cohen,2558250,RB,CHI,Bye,,,,,,,,,,,,,41,0.00,
Tevin Coleman,2552453,RB,NYJ,BUF,,,,,,,,,,,,2.04,42,0.00,-2.04
Alex Collins,2555430,RB,SEA,@GB,,,,,,,,,,,,3.43,43,0.00,-3.43
James Conner,2557978,RB,ARI,CAR,,,,,,,,,,,,14.14,44,0.00,-14.14
Dalvin Cook,2557991,RB,MIN,@LAC,,,,,,,,,,,,15.92,45,0.00,-15.92
Nathan Cottrell,2564175,RB,JAX,@IND,,,,,,,,,,,,0.00,46,0.00,0.0
Damarea Crockett,2563223,RB,DEN,PHI,,,,,,,,,,,,0.00,47,0.00,0.0
DeeJay Dallas,2565144,RB,SEA,@GB,,,,,,,,,,,,0.00,48,0.00,0.0
Mikey Daniel,2563476,RB,FA,Bye,,,,,,,,,,,,,49,0.00,
Mike Davis,2553439,RB,ATL,@DAL,,,,,,,,,,,,6.35,50,0.00,-6.35
Matt Dayes,2557987,RB,FA,Bye,,,,,,,,,,,,,51,0.00,
A.J. Dillon,2563986,RB,GB,SEA,,,,,,,,,,,,7.34,52,0.00,-7.34
Gerrid Doaks,2566277,RB,MIA,BAL,,,,,,,,,,,,0.00,53,0.00,0.0
J.K. Dobbins,2563548,RB,BAL,@MIA,,,,,,,,,,,,,54,0.00,
Rico Dowdle,2565295,RB,DAL,ATL,,,,,,,,,,,,,55,0.00,
Kenyan Drake,2555230,RB,LV,KC,,,,,,,,,,,,10.35,56,0.00,-10.35
Chase Edmonds,2560711,RB,ARI,CAR,,,,,,,,,,,,0.00,57,0.00,0.0
Trey Edmunds,2559325,RB,PIT,DET,,,,,,,,,,,,0.00,58,0.00,0.0
Gus Edwards,2561324,RB,BAL,@MIA,,,,,,,,,,,,,59,0.00,
Clyde Edwards-Helaire,2564271,RB,KC,@LV,,,,,,,,,,,,,60,0.00,
Austin Ekeler,2559169,RB,LAC,MIN,,,,,,,,,,,,17.05,61,0.00,-17.05
Ezekiel Elliott,2555224,RB,DAL,ATL,,,,,,,,,,,,13.85,62,0.00,-13.85
Travis Etienne,2566157,RB,JAX,@IND,,,,,,,,,,,,,63,0.00,
Chris Evans,2565944,RB,CIN,Bye,,,,,,,,,,,,,64,0.00,
Darrynton Evans,2564043,RB,TEN,NO,,,,,,,,,,,,,65,0.00,
Tavien Feaster,2564187,RB,ARI,CAR,,,,,,,,,,,,0.00,66,0.00,0.0
Demetric Felton,2565968,RB,CLE,@NE,,,,,,,,,,,,0.00,67,0.00,0.0
D'Onta Foreman,2557994,RB,TEN,NO,,,,,,,,,,,,2.99,68,0.00,-2.99
D.J. Foster,2556528,RB,FA,Bye,,,,,,,,,,,,,69,0.00,
Leonard Fournette,2557973,RB,TB,@WAS,,,,,,,,,,,,14.83,70,0.00,-14.83
Devonta Freeman,2543583,RB,BAL,@MIA,,,,,,,,,,,,9.61,71,0.00,-9.61
Royce Freeman,2560733,RB,FA,Bye,,,,,,,,,,,,,72,0.00,
Jake Funk,2566208,RB,LA,@SF,,,,,,,,,,,,,73,0.00,
Tyler Gaffney,2543655,RB,FA,Bye,,,,,,,,,,,,,74,0.00,
Kenneth Gainwell,2566397,RB,PHI,@DEN,,,,,,,,,,,,6.81,75,0.00,-6.81
Wayne Gallman,2557952,RB,ATL,@DAL,,,,,,,,,,,,3.33,76,0.00,-3.33
Myles Gaskin,2562270,RB,MIA,BAL,,,,,,,,,,,,12.85,77,0.00,-12.85
Antonio Gibson,2565276,RB,WAS,TB,,,,,,,,,,,,10.88,78,0.00,-10.88
Cullen Gillaspia,2562906,RB,NYG,Bye,,,,,,,,,,,,,79,0.00,
Melvin Gordon,2552469,RB,DEN,PHI,,,,,,,,,,,,12.34,80,0.00,-12.34
Derrick Gore,2563347,RB,KC,@LV,,,,,,,,,,,,2.12,81,0.00,-2.12
Garrett Groshek,2565645,RB,FA,Bye,,,,,,,,,,,,,82,0.00,
Pete Guerrerio,2565539,RB,FA,Bye,,,,,,,,,,,,,83,0.00,
Todd Gurley,2552475,RB,FA,Bye,,,,,,,,,,,,,84,0.00,
C.J. Ham,2556803,RB,MIN,@LAC,,,,,,,,,,,,1.40,85,0.00,-1.4
Damien Harris,2562281,RB,NE,CLE,,,,,,,,,,,,11.56,86,0.00,-11.56
Najee Harris,2566448,RB,PIT,DET,,,,,,,,,,,,17.09,87,0.00,-17.09
JaMycal Hasty,2565108,RB,SF,LA,,,,,,,,,,,,3.37,88,0.00,-3.37
Javian Hawkins,2566689,RB,LA,@SF,,,,,,,,,,,,0.00,89,0.00,0.0
Darrell Henderson,2562574,RB,LA,@SF,,,,,,,,,,,,12.85,90,0.00,-12.85
Derrick Henry,2556075,RB,TEN,NO,,,,,,,,,,,,,91,0.00,
Khalil Herbert,2565926,RB,CHI,Bye,,,,,,,,,,,,,92,0.00,
Brian Hill,2558112,RB,FA,Bye,,,,,,,,,,,,,93,0.00,
Justice Hill,2562407,RB,BAL,@MIA,,,,,,,,,,,,,94,0.00,
Kylin Hill,2566076,RB,GB,SEA,,,,,,,,,,,,,95,0.00,
Dontrell Hilliard,2561461,RB,TEN,NO,,,,,,,,,,,,0.00,96,0.00,0.0
Nyheim Hines,2560742,RB,IND,JAX,,,,,,,,,,,,7.10,97,0.00,-7.1
Josh Hokit,2565111,RB,SF,LA,,,,,,,,,,,,0.00,98,0.00,0.0
Elijah Holyfield,2562664,RB,CIN,Bye,,,,,,,,,,,,,99,0.00,
Travis Homer,2562665,RB,SEA,@GB,,,,,,,,,,,,1.85,100,0.00,-1.85
Jordan Howard,2555418,RB,PHI,@DEN,,,,,,,,,,,,8.82,101,0.00,-8.82
Buddy Howell,2561344,RB,LA,@SF,,,,,,,,,,,,1.82,102,0.00,-1.82
Chuba Hubbard,2565899,RB,CAR,@ARI,,,,,,,,,,,,5.48,103,0.00,-5.48
Kareem Hunt,2557917,RB,CLE,@NE,,,,,,,,,,,,,104,0.00,
Caleb Huntley,2566692,RB,ATL,@DAL,,,,,,,,,,,,0.00,105,0.00,0.0
Jason Huntley,2563938,RB,PHI,@DEN,,,,,,,,,,,,0.00,106,0.00,0.0
Carlos Hyde,2543743,RB,JAX,@IND,,,,,,,,,,,,4.37,107,0.00,-4.37
Godwin Igwebuike,2560749,RB,DET,@PIT,,,,,,,,,,,,0.09,108,0.00,-0.09
Alec Ingold,2562288,RB,LV,KC,,,,,,,,,,,,1.65,109,0.00,-1.65
Mark Ingram,2495466,RB,NO,@TEN,,,,,,,,,,,,4.00,110,0.00,-4.0
Deon Jackson,2565603,RB,IND,JAX,,,,,,,,,,,,0.00,111,0.00,0.0
Justin Jackson,2560756,RB,LAC,MIN,,,,,,,,,,,,3.12,112,0.00,-3.12
Josh Jacobs,2562377,RB,LV,KC,,,,,,,,,,,,11.47,113,0.00,-11.47
Andy Janovich,2555432,RB,CLE,@NE,,,,,,,,,,,,0.00,114,0.00,0.0
Jermar Jefferson,2566058,RB,DET,@PIT,,,,,,,,,,,,2.16,115,0.00,-2.16
D'Ernest Johnson,2563327,RB,CLE,@NE,,,,,,,,,,,,2.98,116,0.00,-2.98
David Johnson,2553435,RB,HOU,Bye,,,,,,,,,,,,,117,0.00,
Duke Johnson,2552461,RB,MIA,BAL,,,,,,,,,,,,0.00,118,0.00,0.0
Jakob Johnson,2562890,RB,NE,CLE,,,,,,,,,,,,0.66,119,0.00,-0.66
Kerryon Johnson,2560765,RB,FA,Bye,,,,,,,,,,,,,120,0.00,
Ty Johnson,2562293,RB,NYJ,BUF,,,,,,,,,,,,6.36,121,0.00,-6.36
Aaron Jones,2558116,RB,GB,SEA,,,,,,,,,,,,14.79,122,0.00,-14.79
Ronald Jones,2560770,RB,TB,@WAS,,,,,,,,,,,,4.71,123,0.00,-4.71
Taiwan Jones,2495467,RB,BUF,@NYJ,,,,,,,,,,,,1.29,124,0.00,-1.29
Tony Jones,2564679,RB,NO,@TEN,,,,,,,,,,,,,125,0.00,
Xavier Jones,2564364,RB,LA,@SF,,,,,,,,,,,,,126,0.00,
Kyle Juszczyk,2540230,RB,SF,LA,,,,,,,,,,,,2.70,127,0.00,-2.7
Alvin Kamara,2558019,RB,NO,@TEN,,,,,,,,,,,,17.10,128,0.00,-17.1
Joshua Kelley,2565054,RB,LAC,MIN,,,,,,,,,,,,3.18,129,0.00,-3.18
John Kelly,2560777,RB,CLE,@NE,,,,,,,,,,,,0.00,130,0.00,0.0
Adrian Killins Jr.,2564841,RB,DEN,PHI,,,,,,,,,,,,,131,0.00,
Patrick Laird,2563296,RB,MIA,BAL,,,,,,,,,,,,1.33,132,0.00,-1.33
Benny LeMay,2563794,RB,FA,Bye,,,,,,,,,,,,,133,0.00,
Dion Lewis,2495469,RB,FA,Bye,,,,,,,,,,,,,134,0.00,
Phillip Lindsay,2559947,RB,HOU,Bye,,,,,,,,,,,,,135,0.00,
Marlon Mack,2558123,RB,IND,JAX,,,,,,,,,,,,3.46,136,0.00,-3.46
Ben Mason,2565845,RB,FA,Bye,,,,,,,,,,,,,137,0.00,
Alexander Mattison,2562682,RB,MIN,@LAC,,,,,,,,,,,,5.30,138,0.00,-5.3
Christian McCaffrey,2557997,RB,CAR,@ARI,,,,,,,,,,,,16.08,139,0.00,-16.08
LeSean McCoy,79607,RB,FA,Bye,,,,,,,,,,,,,140,0.00,
Nate McCrary,2566617,RB,BAL,@MIA,,,,,,,,,,,,0.00,141,0.00,0.0
Anthony McFarland,2564994,RB,PIT,DET,,,,,,,,,,,,2.48,142,0.00,-2.48
Elijah McGuire,2557934,RB,KC,@LV,,,,,,,,,,,,0.00,143,0.00,0.0
Jerick McKinnon,2543715,RB,KC,@LV,,,,,,,,,,,,6.79,144,0.00,-6.79
J.D. McKissic,2556440,RB,WAS,TB,,,,,,,,,,,,9.76,145,0.00,-9.76
Jeremy McNichols,2557977,RB,TEN,NO,,,,,,,,,,,,5.05,146,0.00,-5.05
Sony Michel,2560809,RB,LA,@SF,,,,,,,,,,,,7.13,147,0.00,-7.13
Lamar Miller,2533034,RB,NO,@TEN,,,,,,,,,,,,0.00,148,0.00,0.0
Dedrick Mills,2566905,RB,FA,Bye,,,,,,,,,,,,,149,0.00,
Eli Mitchell,2566538,RB,SF,LA,,,,,,,,,,,,9.26,150,0.00,-9.26
Joe Mixon,2557976,RB,CIN,Bye,,,,,,,,,,,,,151,0.00,
Taquan Mizzell,2558975,RB,FA,Bye,,,,,,,,,,,,,152,0.00,
David Montgomery,2562502,RB,CHI,Bye,,,,,,,,,,,,,153,0.00,
Ty Montgomery,2552429,RB,NO,@TEN,,,,,,,,,,,,1.74,154,0.00,-1.74
Alfred Morris,2533457,RB,FA,Bye,,,,,,,,,,,,,155,0.00,
Zack Moss,2563617,RB,BUF,@NYJ,,,,,,,,,,,,10.47,156,0.00,-10.47
Raheem Mostert,2553728,RB,SF,LA,,,,,,,,,,,,,157,0.00,
Khalfani Muhammad,2558861,RB,FA,Bye,,,,,,,,,,,,,158,0.00,
Latavius Murray,2541161,RB,BAL,@MIA,,,,,,,,,,,,0.00,159,0.00,0.0
Gabe Nabers,2565066,RB,LAC,MIN,,,,,,,,,,,,0.59,160,0.00,-0.59
Ryan Nall,2560817,RB,CHI,Bye,,,,,,,,,,,,,161,0.00,
Kene Nwangwu,2566313,RB,MIN,@LAC,,,,,,,,,,,,2.01,162,0.00,-2.01
Dare Ogunbowale,2559362,RB,JAX,@IND,,,,,,,,,,,,0.00,163,0.00,0.0
Qadree Ollison,2562797,RB,ATL,@DAL,,,,,,,,,,,,0.00,164,0.00,0.0
Sewo Olonilua,2563857,RB,DAL,ATL,,,,,,,,,,,,,165,0.00,
Devine Ozigbo,2562409,RB,JAX,@IND,,,,,,,,,,,,1.60,166,0.00,-1.6
Jacques Patrick,2563737,RB,FA,Bye,,,,,,,,,,,,,167,0.00,
Cordarrelle Patterson,2540145,RB,ATL,@DAL,,,,,,,,,,,,15.24,168,0.00,-15.24
Jaret Patterson,2567160,RB,WAS,TB,,,,,,,,,,,,2.47,169,0.00,-2.47
Elijhaa Penny,2556762,RB,NYG,Bye,,,,,,,,,,,,,170,0.00,
Rashaad Penny,2560835,RB,SEA,@GB,,,,,,,,,,,,2.97,171,0.00,-2.97
La'Mical Perine,2564808,RB,NYJ,BUF,,,,,,,,,,,,2.29,172,0.00,-2.29
Samaje Perine,2558138,RB,CIN,Bye,,,,,,,,,,,,,173,0.00,
Malcolm Perry,2564484,RB,NE,CLE,,,,,,,,,,,,,174,0.00,
Senorise Perry,2550633,RB,FA,Bye,,,,,,,,,,,,,175,0.00,
Adrian Peterson,2507164,RB,TEN,NO,,,,,,,,,,,,10.59,176,0.00,-10.59
Scottie Phillips,2564085,RB,HOU,Bye,,,,,,,,,,,,,177,0.00,
Artavis Pierce,2565417,RB,CHI,Bye,,,,,,,,,,,,,178,0.00,
Sandro Platzgummer,2565523,RB,NYG,Bye,,,,,,,,,,,,,179,0.00,
Tony Pollard,2562699,RB,DAL,ATL,,,,,,,,,,,,8.19,180,0.00,-8.19
C.J. Prosise,2555417,RB,FA,Bye,,,,,,,,,,,,,181,0.00,
Trey Ragas,2565654,RB,LV,KC,,,,,,,,,,,,0.00,182,0.00,0.0
