PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Davante Adams,2543495,WR,GB,SEA,,,,,,,,,,,,16.61,1,0.00,-16.61
Rodney Adams,2558047,WR,CHI,Bye,,,,,,,,,,,,,2,0.00,
Quincy Adeboyejo,2558906,WR,FA,Bye,,,,,,,,,,,,,3,0.00,
Nelson Agholor,2552600,WR,NE,CLE,,,,,,,,,,,,8.04,4,0.00,-8.04
Jamal Agnew,2558821,WR,JAX,@IND,,,,,,,,,,,,7.21,5,0.00,-7.21
Brandon Aiyuk,2565093,WR,SF,LA,,,,,,,,,,,,8.48,6,0.00,-8.48
Landen Akers,2566193,WR,LA,@SF,,,,,,,,,,,,0.00,7,0.00,0.0
Keenan Allen,2540154,WR,LAC,MIN,,,,,,,,,,,,11.73,8,0.00,-11.73
Geronimo Allison,2556460,WR,DET,@PIT,,,,,,,,,,,,0.95,9,0.00,-0.95
Danny Amendola,2649,WR,HOU,Bye,,,,,,,,,,,,,10,0.00,
Robby Anderson,2556462,WR,CAR,@ARI,,,,,,,,,,,,5.24,11,0.00,-5.24
J.J. Arcega-Whiteside,2562466,WR,PHI,@DEN,,,,,,,,,,,,0.58,12,0.00,-0.58
Marcell Ateman,2560961,WR,LV,KC,,,,,,,,,,,,0.00,13,0.00,0.0
Tutu Atwell,2566196,WR,LA,@SF,,,,,,,,,,,,,14,0.00,
Tavon Austin,2539336,WR,JAX,@IND,,,,,,,,,,,,1.49,15,0.00,-1.49
Andre Baccellia,2564250,WR,ARI,CAR,,,,,,,,,,,,0.00,16,0.00,0.0
Alex Bachman,2563301,WR,NYG,Bye,,,,,,,,,,,,,17,0.00,
Manasseh Bailey,2564817,WR,FA,Bye,,,,,,,,,,,,,18,0.00,
Kawaan Baker,2566349,WR,NO,@TEN,,,,,,,,,,,,0.00,19,0.00,0.0
Rashod Bateman,2565836,WR,BAL,@MIA,,,,,,,,,,,,4.71,20,0.00,-4.71
Cameron Batson,2561521,WR,TEN,NO,,,,,,,,,,,,,21,0.00,
Omar Bayless,2563623,WR,FA,Bye,,,,,,,,,,,,,22,0.00,
Cole Beasley,2535698,WR,BUF,@NYJ,,,,,,,,,,,,12.77,23,0.00,-12.77
Odell Beckham Jr.,2543496,WR,FA,Bye,,,,,,,,,,,,,24,0.00,
Chad Beebe,2561482,WR,MIN,@LAC,,,,,,,,,,,,,25,0.00,
Reggie Begelton,2563446,WR,FA,Bye,,,,,,,,,,,,,26,0.00,
Travis Benjamin,2532790,WR,SF,LA,,,,,,,,,,,,2.38,27,0.00,-2.38
Trinity Benson,2563035,WR,DET,@PIT,,,,,,,,,,,,4.30,28,0.00,-4.3
Braxton Berrios,2560975,WR,NYJ,BUF,,,,,,,,,,,,2.06,29,0.00,-2.06
Tarik Black,2565594,WR,IND,JAX,,,,,,,,,,,,0.00,30,0.00,0.0
Justin Blackmon,2533038,WR,FA,Bye,,,,,,,,,,,,,31,0.00,
Chris Blair,2565588,WR,GB,SEA,,,,,,,,,,,,0.00,32,0.00,0.0
Christian Blake,2561443,WR,ATL,@DAL,,,,,,,,,,,,4.03,33,0.00,-4.03
C.J. Board,2558911,WR,NYG,Bye,,,,,,,,,,,,,34,0.00,
Victor Bolden,2558912,WR,FA,Bye,,,,,,,,,,,,,35,0.00,
Kendrick Bourne,2558914,WR,NE,CLE,,,,,,,,,,,,5.54,36,0.00,-5.54
Lynn Bowden,2564412,WR,MIA,BAL,,,,,,,,,,,,,37,0.00,
Tyler Boyd,2555466,WR,CIN,Bye,,,,,,,,,,,,,38,0.00,
Miles Boykin,2562631,WR,BAL,@MIA,,,,,,,,,,,,0.69,39,0.00,-0.69
Ja'Marcus Bradley,2563761,WR,CLE,@NE,,,,,,,,,,,,0.00,40,0.00,0.0
A.J. Brown,2562238,WR,TEN,NO,,,,,,,,,,,,14.46,41,0.00,-14.46
Antonio Brown,2508061,WR,TB,@WAS,,,,,,,,,,,,0.00,42,0.00,0.0
Dyami Brown,2566586,WR,WAS,TB,,,,,,,,,,,,3.54,43,0.00,-3.54
Fred Brown,2559396,WR,FA,Bye,,,,,,,,,,,,,44,0.00,
John Brown,2543847,WR,JAX,@IND,,,,,,,,,,,,0.00,45,0.00,0.0
Marquise Brown,2562379,WR,BAL,@MIA,,,,,,,,,,,,12.75,46,0.00,-12.75
Noah Brown,2558091,WR,DAL,ATL,,,,,,,,,,,,1.61,47,0.00,-1.61
Tony Brown,2563764,WR,FA,Bye,,,,,,,,,,,,,48,0.00,
Dez Bryant,497278,WR,FA,Bye,,,,,,,,,,,,,49,0.00,
Ventell Bryant,2563267,WR,FA,Bye,,,,,,,,,,,,,50,0.00,
Rico Bussey,2565780,WR,PIT,DET,,,,,,,,,,,,,51,0.00,
Hakeem Butler,2562491,WR,FA,Bye,,,,,,,,,,,,,52,0.00,
Damiere Byrd,2553499,WR,CHI,Bye,,,,,,,,,,,,,53,0.00,
Lawrence Cager,2565492,WR,CLE,@NE,,,,,,,,,,,,,54,0.00,
Deon Cain,2560987,WR,PHI,@DEN,,,,,,,,,,,,0.00,55,0.00,0.0
Antonio Callaway,2560988,WR,FA,Bye,,,,,,,,,,,,,56,0.00,
Marquez Callaway,2565310,WR,NO,@TEN,,,,,,,,,,,,9.38,57,0.00,-9.38
Jalen Camp,2566148,WR,HOU,Bye,,,,,,,,,,,,,58,0.00,
Parris Campbell,2562495,WR,IND,JAX,,,,,,,,,,,,,59,0.00,
Dylan Cantrell,2560990,WR,WAS,TB,,,,,,,,,,,,,60,0.00,
DeAndre Carter,2553502,WR,WAS,TB,,,,,,,,,,,,2.60,61,0.00,-2.6
Quintez Cephus,2563926,WR,DET,@PIT,,,,,,,,,,,,,62,0.00,
D.J. Chark,2561018,WR,JAX,@IND,,,,,,,,,,,,,63,0.00,
Ja'Marr Chase,2565941,WR,CIN,Bye,,,,,,,,,,,,,64,0.00,
Dan Chisena,2564514,WR,MIN,@LAC,,,,,,,,,,,,0.77,65,0.00,-0.77
Chase Claypool,2564970,WR,PIT,DET,,,,,,,,,,,,10.87,66,0.00,-10.87
Tyrie Cleveland,2563881,WR,DEN,PHI,,,,,,,,,,,,0.81,67,0.00,-0.81
Randall Cobb,2495448,WR,GB,SEA,,,,,,,,,,,,3.85,68,0.00,-3.85
Keelan Cole,2559153,WR,NYJ,BUF,,,,,,,,,,,,4.37,69,0.00,-4.37
Matt Cole,2564442,WR,CAR,@ARI,,,,,,,,,,,,0.00,70,0.00,0.0
Nico Collins,2566127,WR,HOU,Bye,,,,,,,,,,,,,71,0.00,
Chris Conley,2552652,WR,HOU,Bye,,,,,,,,,,,,,72,0.00,
Brandin Cooks,2543498,WR,HOU,Bye,,,,,,,,,,,,,73,0.00,
Amari Cooper,2552487,WR,DAL,ATL,,,,,,,,,,,,12.08,74,0.00,-12.08
Pharoh Cooper,2555419,WR,NYG,Bye,,,,,,,,,,,,,75,0.00,
Isaiah Coulter,2564067,WR,CHI,Bye,,,,,,,,,,,,,76,0.00,
Keke Coutee,2561029,WR,IND,JAX,,,,,,,,,,,,0.00,77,0.00,0.0
River Cracraft,2559485,WR,SF,LA,,,,,,,,,,,,0.00,78,0.00,0.0
Jamison Crowder,2552415,WR,NYJ,BUF,,,,,,,,,,,,8.66,79,0.00,-8.66
Frank Darby,2565812,WR,ATL,@DAL,,,,,,,,,,,,0.98,80,0.00,-0.98
Jaelon Darden,2566562,WR,TB,@WAS,,,,,,,,,,,,2.56,81,0.00,-2.56
Corey Davis,2557848,WR,NYJ,BUF,,,,,,,,,,,,9.97,82,0.00,-9.97
Gabriel Davis,2563602,WR,BUF,@NYJ,,,,,,,,,,,,2.79,83,0.00,-2.79
Quartney Davis,2564529,WR,IND,JAX,,,,,,,,,,,,,84,0.00,
Rashard Davis,2559461,WR,FA,Bye,,,,,,,,,,,,,85,0.00,
Reggie Davis,2559324,WR,FA,Bye,,,,,,,,,,,,,86,0.00,
Gehrig Dieter,2559066,WR,KC,@LV,,,,,,,,,,,,0.00,87,0.00,0.0
Stefon Diggs,2552608,WR,BUF,@NYJ,,,,,,,,,,,,14.45,88,0.00,-14.45
Derrick Dillon,2564730,WR,FA,Bye,,,,,,,,,,,,,89,0.00,
Phillip Dorsett,2552424,WR,SEA,@GB,,,,,,,,,,,,0.00,90,0.00,0.0
Keelan Doss,2562393,WR,FA,Bye,,,,,,,,,,,,,91,0.00,
Ashton Dulin,2562646,WR,IND,JAX,,,,,,,,,,,,2.02,92,0.00,-2.02
Devin Duvernay,2563551,WR,BAL,@MIA,,,,,,,,,,,,3.09,93,0.00,-3.09
Bryan Edwards,2564418,WR,LV,KC,,,,,,,,,,,,6.80,94,0.00,-6.8
Alex Erickson,2556519,WR,CAR,@ARI,,,,,,,,,,,,0.35,95,0.00,-0.35
D'Wayne Eskridge,2566553,WR,SEA,@GB,,,,,,,,,,,,,96,0.00,
Mike Evans,2543468,WR,TB,@WAS,,,,,,,,,,,,14.60,97,0.00,-14.6
Simi Fehoko,2566004,WR,DAL,ATL,,,,,,,,,,,,0.00,98,0.00,0.0
Maurice Ffrench,2564277,WR,LAC,MIN,,,,,,,,,,,,0.00,99,0.00,0.0
Chris Finke,2565099,WR,FA,Bye,,,,,,,,,,,,,100,0.00,
Larry Fitzgerald,2506106,WR,FA,Bye,,,,,,,,,,,,,101,0.00,
Dez Fitzpatrick,2566109,WR,TEN,NO,,,,,,,,,,,,0.00,102,0.00,0.0
Isaiah Ford,2558071,WR,MIA,BAL,,,,,,,,,,,,1.18,103,0.00,-1.18
Robert Foster,2560729,WR,DAL,ATL,,,,,,,,,,,,0.00,104,0.00,0.0
Daurice Fountain,2559921,WR,KC,@LV,,,,,,,,,,,,0.00,105,0.00,0.0
John Franklin,2561197,WR,FA,Bye,,,,,,,,,,,,,106,0.00,
Travis Fulgham,2562653,WR,MIA,BAL,,,,,,,,,,,,0.00,107,0.00,0.0
Aaron Fuller,2565150,WR,SEA,@GB,,,,,,,,,,,,0.00,108,0.00,0.0
Will Fuller,2555346,WR,MIA,BAL,,,,,,,,,,,,,109,0.00,
