PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
George Kittle,2558266,TE,SF,@CIN,,,,,,13,151,1,,,,,29.30,,13,13,13,15,87,2,2,,1,27.60
Mark Andrews,2560957,TE,BAL,@CLE,,,,,,11,115,1,,,,,27.50,,11,11,11,11,100,1,1,1,2,23.00
Dawson Knox,2562681,TE,BUF,@TB,,,,,,7,60,1,,,,,17.20,,7,7,7,9,78,2,1,,3,17.20
Austin Hooper,2555415,TE,CLE,BAL,,,,,,5,30,1,,,,,13.20,,5,5,5,6,83,2,2,1,4,13.20
Albert Okwuegbunam,2563911,TE,DEN,DET,,,,,,5,41,1,,,,,19.70,,5,5,5,5,100,1,1,1,5,12.60
Brevin Jordan,2566130,TE,HOU,SEA,,,,,,4,26,1,,,,,14.50,,4,4,4,7,57,1,1,1,6,10.60
Pat Freiermuth,2566442,TE,PIT,@MIN,,,,,,2,32,1,,,,,10.20,,2,2,2,3,67,2,1,,7,10.20
Gerald Everett,2557889,TE,SEA,@HOU,,,,13,,2,15,1,,,,,14.60,1,2,3,2,2,100,1,1,1,8,9.80
Rob Gronkowski,497240,TE,TB,BUF,,,,,,5,62,,,,,,10.80,,5,5,5,9,56,,,,9,8.70
Kyle Pitts,2565830,TE,ATL,@CAR,,,,,,5,61,,,,,,17.10,,5,5,5,6,83,,,,10,8.60
Jared Cook,71265,TE,LAC,NYG,,,,,,2,8,1,,,,,11.70,,2,2,2,5,40,4,1,2,11,7.80
Kyle Rudolph,2495438,TE,NYG,@LAC,,,,,,2,66,,,,,,8.90,,2,2,2,2,100,,,,12,7.60
C.J. Uzomah,2552559,TE,CIN,SF,,,,,,4,56,,,,,,12.90,,4,4,4,6,67,,,,13,7.60
Noah Fant,2562383,TE,DEN,DET,,,,,,4,51,,,,,,19.70,,4,4,4,4,100,,,,14,7.10
