PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jason Myers,2553112,K,SEA,DET,6,,,,1,1,1,,,,7.40,1,19.70,12.3
Chris Boswell,2550545,K,PIT,CLE,2,,,1,1,1,1,,,,7.20,2,17.00,9.8
Matt Prater,2506677,K,ARI,@DAL,1,,,2,1,,1,,,,7.87,3,15.00,7.13
Justin Tucker,2536340,K,BAL,LA,1,,,1,1,2,,,,,7.14,4,15.00,7.86
Daniel Carlson,2560993,K,LV,@IND,2,,,,1,2,,,,,6.53,5,13.00,6.47
Mason Crosby,2507232,K,GB,MIN,4,,,,3,,,,,,7.99,6,13.00,5.01
Joey Slye,2563132,K,WAS,PHI,1,,,,2,,1,,,,6.34,7,12.00,5.66
Randy Bullock,2533444,K,TEN,MIA,4,,,1,,1,,,,,7.47,8,11.00,3.53
Robbie Gould,2506264,K,SF,HOU,2,,,1,2,,,,,,8.09,9,11.00,2.91
Brett Maher,2540243,K,NO,CAR,,1,,1,1,2,,,,,7.33,10,11.00,3.67
Evan McPherson,2565953,K,CIN,KC,4,,,1,,1,,,,,5.80,11,11.00,5.2
Brandon McManus,2541556,K,DEN,@LAC,1,,,1,,,1,,,,6.23,12,10.70,4.47
Mike Badgley,2560965,K,IND,LV,2,,,,,2,,,,,6.57,13,10.00,3.43
Jake Elliott,2558172,K,PHI,@WAS,2,,,,,2,,,,,5.55,14,10.00,4.45
Dustin Hopkins,2539227,K,LAC,DEN,4,,1,1,,,,,,,7.02,15,10.00,2.98
Cairo Santos,2550636,K,CHI,NYG,3,,,1,,1,,,,,7.30,16,10.00,2.7
Eddy Pineiro,2560842,K,NYJ,TB,3,,,,,,1,,,,6.98,17,8.00,1.02
Ryan Succop,89802,K,TB,@NYJ,2,,,1,1,,,,,,7.14,18,8.00,0.86
Harrison Butker,2558245,K,KC,@CIN,4,,,,1,,,,,,7.15,19,7.00,-0.15
Younghoe Koo,2559205,K,ATL,@BUF,1,,,2,,,,,,,6.73,20,7.00,0.27
Nick Folk,2507225,K,NE,JAX,5,1,,,,1,,,,,7.50,21,6.00,-1.5
Greg Joseph,2561534,K,MIN,@GB,1,,,,,,1,,,,6.67,22,6.00,-0.67
Riley Patterson,2567013,K,DET,@SEA,3,,,,,,,,,,5.33,23,4.70,-0.63
Lirim Hajrullahu,2563449,K,CAR,@NO,1,,,,1,,,,,,5.80,24,4.00,-1.8
Matthew Wright,2562968,K,JAX,@NE,1,,,1,,,,,,,5.07,25,4.00,-1.07
Tyler Bass,2563596,K,BUF,ATL,3,,,,,,,,,,6.58,26,3.00,-3.58
Graham Gano,71309,K,NYG,@CHI,,,,,1,,,,,,6.25,27,3.00,-3.25
Jason Sanders,2561153,K,MIA,@TEN,,,,,1,,,,,,6.26,28,3.00,-3.26
Matt Gay,2562271,K,LA,@BAL,2,,,,,,,,,,6.82,29,2.00,-4.82
