PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Derrick Henry,2556075,RB,TEN,,,,182,6,55,,,,,,49.10,35,6,41,6,6,100,1,9,3,1,44.70
Aaron Jones,2558116,RB,GB,,,,67,6,48,3,,,,,42.40,17,6,23,6,6,100,4,10,5,2,38.50
Tony Pollard,2562699,RB,DAL,,,,109,3,31,,,,,,39.90,13,3,16,3,3,100,,1,1,3,23.20
Christian McCaffrey,2557997,RB,CAR,,,,72,5,65,,,,,,23.20,24,5,29,5,6,83,,7,4,4,22.20
Cordarrelle Patterson,2540145,RB,ATL,,,,11,5,58,1,,,,1,32.70,7,5,12,5,7,71,2,4,2,5,20.10
Nick Chubb,2561021,RB,CLE,,,,95,1,3,,,,,,41.70,11,1,12,1,1,100,,2,1,6,18.00
Austin Ekeler,2559169,RB,LAC,,,,54,9,61,,,,1,,22.50,9,9,18,9,9,100,2,2,1,7,18.00
J.D. McKissic,2556440,RB,WAS,,,,10,5,83,,,,,,26.10,4,5,9,5,6,83,,1,,8,17.80
Ezekiel Elliott,2555224,RB,DAL,,,,71,2,26,,,,,,39.90,16,2,18,2,2,100,,3,1,9,16.70
Najee Harris,2566448,RB,PIT,,,,38,5,43,1,,,,,16.70,10,5,15,5,5,100,,1,1,10,16.60
Dalvin Cook,2557991,RB,MIN,,,,131,2,17,,,,,,19.10,22,2,24,2,3,67,1,2,,11,15.80
Darrell Henderson,2562574,RB,LA,,,,53,3,29,,,,,,20.30,13,3,16,3,5,60,1,5,1,12,15.70
James White,2543773,RB,NE,,,,20,6,45,,,,,,28.70,5,6,11,6,6,100,1,3,,13,15.50
Chris Carson,2558865,RB,SEA,,,,31,,,,,,,,28.40,13,,13,,,,,5,3,14,15.10
Zack Moss,2563617,RB,BUF,,,,26,2,8,,,,,1,29.50,8,2,10,2,2,100,1,4,3,15,14.40
Devin Singletary,2562734,RB,BUF,,,,82,2,9,,,,,1,29.50,13,2,15,2,3,67,,3,1,16,14.10
Damien Harris,2562281,RB,NE,,,,62,1,2,,,,,,28.70,16,1,17,1,1,100,,4,3,17,12.90
Demetric Felton,2565968,RB,CLE,,,,,2,51,1,,,,1,41.70,,2,2,2,2,100,,,,18,11.90
Chase Edmonds,2560711,RB,ARI,,,,46,5,29,,,,,,12.60,8,5,13,5,5,100,,1,,19,10.00
Michael Carter,2566382,RB,NYJ,,,,59,2,29,,,,,,17.20,11,2,13,2,3,67,,3,2,20,9.80
Mike Davis,2553439,RB,ATL,,,,38,7,25,,,,,,32.70,9,7,16,7,7,100,,,,21,9.80
D'Andre Swift,2563965,RB,DET,,,,37,4,41,,,,,,17.60,8,4,12,4,5,80,,1,1,22,9.80
Latavius Murray,2541161,RB,BAL,,,,36,,,,,,,,21.00,9,,9,,,,,3,1,23,9.60
David Montgomery,2562502,RB,CHI,,,,61,3,18,,,,,,11.60,20,3,23,3,4,75,1,4,2,24,9.40
Phillip Lindsay,2559947,RB,HOU,,,,2,1,22,1,,,,,19.10,5,1,6,1,1,100,,1,,25,8.90
Joe Mixon,2557976,RB,CIN,,,,69,1,2,,,,,,10.30,20,1,21,1,2,50,,,,26,8.40
Antonio Gibson,2565276,RB,WAS,,,,69,2,4,,,,,,26.10,13,2,15,2,2,100,,,,27,8.30
Ty'Son Williams,2565542,RB,BAL,,,,77,2,16,,,,,1,21.00,13,2,15,2,2,100,1,4,2,28,8.30
Kenyan Drake,2555230,RB,LV,,,,9,5,46,,,,,,11.20,7,5,12,5,6,83,1,3,1,29,8.00
Saquon Barkley,2560968,RB,NYG,,,,57,2,12,,,,,,13.40,13,2,15,2,3,67,,5,1,30,7.90
Melvin Gordon,2552469,RB,DEN,,,,31,2,38,,,,,,15.80,13,2,15,2,2,100,1,5,,31,7.90
JaMycal Hasty,2565108,RB,SF,,,,38,4,21,,,,,,19.30,5,4,9,4,5,80,1,1,2,32,7.90
James Robinson,2564223,RB,JAX,,,,47,3,17,,,,,,8.60,11,3,14,3,3,100,,,,33,7.90
Javonte Williams,2566049,RB,DEN,,,,64,1,10,,,,,,15.80,13,1,14,1,1,100,,2,,34,7.90
Leonard Fournette,2557973,RB,TB,,,,52,4,24,,,,,1,14.30,11,4,15,4,4,100,2,5,,35,7.60
Myles Gaskin,2562270,RB,MIA,,,,25,4,21,,,,,,12.10,5,4,9,4,5,80,,,,36,6.60
Miles Sanders,2562722,RB,PHI,,,,55,1,4,,,,,,12.60,13,1,14,1,2,50,,1,1,37,6.40
Eli Mitchell,2566538,RB,SF,,,,42,2,11,,,,,,19.30,17,2,19,2,2,100,,1,1,38,6.30
Kenneth Gainwell,2566397,RB,PHI,,,,14,2,18,,,,1,,12.60,6,2,8,2,3,67,1,,1,39,6.20
Andy Janovich,2555432,RB,CLE,,,,,,,,,,,,41.70,2,,2,,,,,2,1,40,6.00
Kareem Hunt,2557917,RB,CLE,,,,51,1,2,,,,,,41.70,13,1,14,1,1,100,,2,,41,5.80
Jonathan Taylor,2564148,RB,IND,,,,51,1,2,,,,,,10.10,15,1,16,1,1,100,,7,5,42,5.80
Darrel Williams,2560935,RB,KC,,,,-2,,,,,,,,11.90,3,,3,,,,,1,1,43,5.80
David Johnson,2553435,RB,HOU,,,,25,2,22,,,,,,19.10,6,2,8,2,2,100,,,,44,5.70
Jamaal Williams,2558204,RB,DET,,,,25,3,12,,,,,,17.60,7,3,10,3,3,100,,2,1,45,5.20
Ty Johnson,2562293,RB,NYJ,,,,50,,,,,,,,17.20,12,,12,,,,,2,1,46,5.00
Alvin Kamara,2558019,RB,NO,,,,5,4,25,,,,,,11.50,8,4,12,4,6,67,,2,1,47,5.00
Ty Montgomery,2552429,RB,NO,,,,,1,3,,,,,,11.50,,1,1,1,1,100,1,1,1,48,5.00
Sony Michel,2560809,RB,LA,,,,46,,,,,,,,20.30,10,,10,,,,,1,,49,4.60
Mark Ingram,2495466,RB,NO,,,,41,1,-1,,,,,,11.50,14,1,15,1,2,50,1,4,2,50,4.50
Jeremy McNichols,2557977,RB,TEN,,,,3,3,26,,,,,,49.10,1,3,4,3,3,100,1,1,,51,4.40
Nick Bellore,2495262,RB,SEA,,,,,,,,,,,,28.40,,,,,,,,,,52,4.20
