PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Travis Kelce,2540258,TE,KC,@BAL,,,,,7,109,1,,,,,18.02,1,22.10,18.02,4.08
Rob Gronkowski,497240,TE,TB,ATL,,,,,4,39,2,,,,,7.29,2,17.90,7.29,10.61
T.J. Hockenson,2562378,TE,DET,@GB,,,,,8,66,1,,,,,10.28,3,16.60,10.28,6.32
Dawson Knox,2562681,TE,BUF,@MIA,,,,,2,17,1,,,,,6.31,4,13.90,6.31,7.59
Maxx Williams,2552468,TE,ARI,MIN,,,,,7,94,,,,,,,5,12.90,,
Robert Tonyan,2559270,TE,GB,DET,,,,,3,52,1,,,,,,6,12.70,,
Noah Fant,2562383,TE,DEN,@JAX,,,,,4,33,1,,,,,9.83,7,11.30,9.83,1.47
Jack Doyle,2540232,TE,IND,LA,,,,,5,64,,,,1,,6.68,8,10.90,6.68,4.22
Foster Moreau,2562317,TE,LV,@PIT,,,,,2,34,1,,,,,2.04,9,10.40,2.04,8.36
Mark Andrews,2560957,TE,BAL,KC,,,,,5,57,,,,,,10.31,10,9.90,10.31,-0.41
Kyle Pitts,2565830,TE,ATL,@TB,,,,,5,73,,,,,,3.88,11,9.80,3.88,5.92
Darren Waller,2552408,TE,LV,@PIT,,,,,5,65,,,,,,15.76,12,9.00,15.76,-6.76
Ricky Seals-Jones,2559248,TE,WAS,NYG,,,,,1,19,1,,,,,0.70,13,8.40,0.7,7.7
Dan Arnold,2559385,TE,JAX,DEN,,,,,3,55,,,,,,5.84,14,7.00,5.84,1.16
Logan Thomas,2543767,TE,WAS,NYG,,,,,5,45,,,,,,,15,7.00,,
Harrison Bryant,2563767,TE,CLE,HOU,,,,,4,49,,,,,,2.07,16,6.90,2.07,4.83
Austin Hooper,2555415,TE,CLE,HOU,,,,,5,40,,,,,,8.10,17,6.50,8.1,-1.6
MyCole Pruitt,2552401,TE,TEN,@SEA,,,,,3,43,,,,,,1.13,18,5.80,1.13,4.67
Derek Carrier,2534241,TE,LV,@PIT,,,,,2,13,,,,,,,19,5.70,,
Pat Freiermuth,2566442,TE,PIT,LV,,,,,4,36,,,,,,3.46,20,5.60,3.46,2.14
Mike Gesicki,2560994,TE,MIA,BUF,,,,,3,41,,,,,,6.51,21,5.60,6.51,-0.91
Hunter Henry,2555341,TE,NE,@NYJ,,,,,2,42,,,,,,6.39,22,5.20,6.39,-1.19
Blake Jarwin,2559193,TE,DAL,@LAC,,,,,3,37,,,,,,,23,5.20,,
Jonnu Smith,2558207,TE,NE,@NYJ,,,,,4,28,,,,,,5.64,24,4.80,5.64,-0.84
Albert Okwuegbunam,2563911,TE,DEN,@JAX,,,,,4,24,,,,,,8.77,25,4.40,8.77,-4.37
Jared Cook,71265,TE,LAC,DAL,,,,,3,28,,,,,,9.51,26,4.30,9.51,-5.21
