PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Malcolm Jenkins,79848,DB,NO,5,2,,,1,,,1,,,,,,2,,34,,1,23.73
Byron Murphy,2562318,DB,ARI,3,1,,,2,,,1,,,,,,2,,36,,2,23.10
Kenny Moore II,2558976,DB,IND,7,,,1,1,,,,,,,,,2,,32,,3,22.97
Marshon Lattimore,2558061,DB,NO,8,2,,,1,,,,,,,,,1,,20,,4,21.87
Chuck Clark,2558248,DB,BAL,9,3,1,1,,,,,,,,,,,1,,,5,21.70
Trevon Diggs,2563836,DB,DAL,2,,,,1,,,1,,,,,,3,,59,,6,20.37
Jamal Adams,2557979,DB,SEA,10,2,,1,,,,,,,,,,,,,,7,20.10
Jaire Alexander,2560952,DB,GB,4,1,,,1,,,,,,,,,3,,30,,8,19.60
Julian Blackmon,2564103,DB,IND,11,,,,,,,,,,,,,,,,,9,18.70
Micah Hyde,2539240,DB,BUF,4,1,,1,1,,,,,,,,,2,,11,,10,17.97
Tevaughn Campbell,2562806,DB,LAC,3,1,,,,2,,,,,,,,2,,,,11,17.90
Alohi Gilman,2565042,DB,LAC,7,,,,1,,,,,,,,,1,,,,12,17.90
Brandon Jones,2564469,DB,MIA,4,2,2,2,,,,,,,,,,,3,,,13,16.90
Anthony Harris,2553655,DB,PHI,6,8,,,,,,,,,,,,,,,,14,16.60
Marco Wilson,2566439,DB,ARI,6,,,,,1,,,,,,,,1,,,,15,16.20
Andrew Wingard,2562606,DB,JAX,4,3,,,1,,,,,,,,,1,,23,,16,15.97
Chauncey Gardner-Johnson,2562588,DB,NO,4,1,1,2,,,,,,,,,,1,1,,,17,15.60
Nasir Adderley,2562617,DB,LAC,8,2,,,,,,,,,,,,,,,,18,15.20
Tyson Campbell,2566151,DB,JAX,6,2,,,,,,,,,,,,1,,,,19,14.30
Kendall Fuller,2555349,DB,WAS,7,3,,,,,,,,,,,,,,,,20,14.30
T.J. Green,2555537,DB,FA,6,2,,,,,,,,,,,,1,,,,21,14.30
Vernon Hargreaves III,2555299,DB,FA,6,2,,,,,,,,,,,,1,,,,22,14.30
Emmanuel Moseley,2561072,DB,SF,5,1,,,,,,,,,,,,2,,,,23,14.30
Trayvon Mullen,2562380,DB,LV,5,1,,,,,,,,,,,,2,,,,24,14.30
Harrison Smith,2532948,DB,MIN,6,2,,,,,,,,,,,,1,,,,25,14.30
Darnell Savage,2562724,DB,GB,6,,,1,,,,,,,,,,1,,,,26,14.20
Jessie Bates,2560970,DB,CIN,6,3,,1,,,,,,,,,,,,,,27,14.10
Terrell Edmunds,2560712,DB,PIT,2,3,,1,1,,,,,,,,,1,,15,,28,13.80
Marcus Maye,2557995,DB,NYJ,7,2,,,,,,,,,,,,,,,,29,13.50
Isaiah Oliver,2560830,DB,ATL,2,,,,,1,1,,,,,,,2,1,,2,30,13.47
Anthony Brown,2555531,DB,DAL,4,,,,1,,,,,,,,,1,,,,31,12.80
Jalen Ramsey,2555280,DB,LA,7,1,,,,,,,,,,,,,,,,32,12.70
Kevin Byard,2555158,DB,TEN,4,1,,,,,,,,,,,,2,,,,33,12.60
Daniel Sorensen,2550257,DB,KC,5,2,,,,,,,,,,,,1,,,,34,12.60
Benjamin St-Juste,2566604,DB,WAS,5,2,,,,,,,,,,,,1,,,,35,12.60
Eli Apple,2555277,DB,CIN,4,4,,,,,,,,,,,,1,,,,36,12.50
Landon Collins,2552454,DB,WAS,5,3,,1,,,,,,,,,,,,,,37,12.40
Logan Ryan,2540162,DB,NYG,3,6,,,,,,,,,,,,1,,,,38,12.40
Casey Hayward,2532861,DB,LV,4,,,1,,,,,,,1,,,,,,,39,12.30
L'Jarius Sneed,2564304,DB,KC,5,1,,2,,,,,,,,,,,,,,40,12.30
P.J. Williams,2552484,DB,NO,2,1,,,1,,,,,,,,,1,1,46,,41,12.23
Vonn Bell,2555530,DB,CIN,3,1,,,,1,,,,,,,,1,,,,42,11.90
Tre Flowers,2560728,DB,CIN,7,,,,,,,,,,,,,,,,,43,11.90
Amani Oruwariye,2562390,DB,DET,3,1,,,1,,,,,,,,,1,,,,44,11.90
Deon Bush,2555155,DB,CHI,5,1,,,,,,,,,,,,1,,,,45,11.80
Jordan Poyer,2539290,DB,BUF,2,,,1,1,,,,,,,,,1,,26,,46,11.77
Kamren Curl,2565270,DB,WAS,4,5,,,,,,,,,,,,,1,,,47,11.30
Brandin Echols,2565726,DB,NYJ,5,,,,,,,,,,,,,1,,,,48,11.00
Pat Surtain II,2566043,DB,DEN,5,,,,,,,,,,,,,1,,,,49,11.00
Caden Sterns,2566040,DB,DEN,2,,,,1,,,,,,,,,1,,46,,50,10.93
Dane Cruikshank,2561033,DB,TEN,4,2,,,,,,,,,,,,1,,,,51,10.90
Erik Harris,2555568,DB,ATL,3,1,,,,,,,,,,,,2,,,,52,10.90
Bobby Price,2563953,DB,DET,2,,,,,,,,,,,,,3,,,,53,10.90
Donte Jackson,2560753,DB,CAR,5,1,,1,,,,,,,,,,,,,,54,10.80
Lonnie Johnson,2562295,DB,HOU,3,4,,,,,,,,,,,,1,,,,55,10.80
Ronnie Harrison,2561008,DB,CLE,2,1,1,1,,,,,,,,,,1,1,,,56,10.70
Jalen Thompson,2563339,DB,ARI,4,3,,1,,,,,,,,,,,,,,57,10.70
Will Harris,2562395,DB,DET,6,,,,,,,,,,,,,,,,,58,10.20
Jabrill Peppers,2557980,DB,NYG,4,3,,,,,,,,,,,,,2,,,59,10.20
Taylor Rapp,2562707,DB,LA,4,1,,,,,,,,,,,,1,,,,60,10.10
Ross Cockrell,2543799,DB,TB,2,2,,,,,,,,,,,,2,,,,61,10.00
Justin Simmons,2555550,DB,DEN,1,1,,,1,,,,,,,,,1,,35,,62,9.67
Ugo Amadi,2562464,DB,SEA,5,1,,,,,,,,,,,,,,,,63,9.30
Bashaud Breeland,2543571,DB,MIN,5,1,,,,,,,,,,,,,,,,64,9.30
Shaquill Griffin,2558259,DB,JAX,5,1,,,,,,,,,,,,,,,,65,9.30
Xavier McKinney,2564766,DB,NYG,5,1,,,,,,,,,,,,,,,,66,9.30
Darious Williams,2561469,DB,LA,5,1,,,,,,,,,,,,,,,,67,9.30
Khari Willis,2562602,DB,IND,5,1,,,,,,,,,,,,,,,,68,9.30
Antoine Winfield Jr.,2565261,DB,TB,5,1,,,,,,,,,,,,,,,,69,9.30
Robert Alford,2539653,DB,ARI,3,2,,,,,,,,,,,,1,,,,70,9.20
Jayron Kearse,2555156,DB,DAL,3,2,,,,,,,,,,,,1,,,,71,9.20
Nik Needham,2563220,DB,MIA,3,2,,,,,,,,,,,,1,,,,72,9.20
Rock Ya-Sin,2562614,DB,IND,2,1,,,,1,1,,,,,,,,,,13,73,9.13
Bryce Hall,2564796,DB,NYJ,4,1,,1,,,,,,,,,,,,,,74,9.10
Tavon Young,2555378,DB,BAL,3,,1,1,,,,,,,,,,,1,,,75,9.10
Jordan Whitehead,2560930,DB,TB,3,,,,,1,,,,,,,,,,,,76,8.60
Paulson Adebo,2566346,DB,NO,5,,,,,,,,,,,,,,,,,77,8.50
Adrian Amos,2552385,DB,GB,5,,,,,,,,,,,,,,,,,78,8.50
Tyrann Mathieu,2540180,DB,KC,5,,,,,,,,,,,,,,,,,79,8.50
Budda Baker,2558009,DB,ARI,4,2,,,,,,,,,,,,,,,,80,8.40
Eddie Jackson,2558176,DB,CHI,4,2,,,,,,,,,,,,,,,,81,8.40
Taron Johnson,2560766,DB,BUF,3,1,,,,,,,,,,,,1,,,,82,8.40
Johnathan Abram,2562616,DB,LV,3,4,,,,,,,,,,,,,,,,83,8.30
Avonte Maddox,2560795,DB,PHI,1,3,0.5,,,,,,,,,,,1,1,,,84,8.10
Tre'Davious White,2557867,DB,BUF,2,1,,,,1,,,,,,,,,,,,85,7.70
Marlon Humphrey,2558067,DB,BAL,4,1,,,,,,,,,,,,,,,,86,7.60
