PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Malcolm Jenkins,79848,DB,NO,@NE,5,2,,,1,,,1,,,,,,2,,34,,11.07,1,23.73,11.07,12.66
Byron Murphy,2562318,DB,ARI,@JAX,3,1,,,2,,,1,,,,,,2,,36,,8.78,2,23.10,8.78,14.32
Kenny Moore II,2558976,DB,IND,@TEN,7,,,1,1,,,,,,,,,2,,32,,11.17,3,22.97,11.17,11.8
Marshon Lattimore,2558061,DB,NO,@NE,8,2,,,1,,,,,,,,,1,,20,,8.36,4,21.87,8.36,13.51
Chuck Clark,2558248,DB,BAL,@DET,9,3,1,1,,,,,,,,,,,1,,,9.42,5,21.70,9.42,12.28
Trevon Diggs,2563836,DB,DAL,PHI,2,,,,1,,,1,,,,,,3,,59,,10.58,6,20.37,10.58,9.79
Jamal Adams,2557979,DB,SEA,@MIN,10,2,,1,,,,,,,,,,,,,,12.41,7,20.10,12.41,7.69
Jaire Alexander,2560952,DB,GB,@SF,4,1,,,1,,,,,,,,,3,,30,,,8,19.60,,
Julian Blackmon,2564103,DB,IND,@TEN,11,,,,,,,,,,,,,,,,,,9,18.70,,
Micah Hyde,2539240,DB,BUF,WAS,4,1,,1,1,,,,,,,,,2,,11,,8.56,10,17.97,8.56,9.41
Tevaughn Campbell,2562806,DB,LAC,@KC,3,1,,,,2,,,,,,,,2,,,,1.94,11,17.90,1.94,15.96
Alohi Gilman,2565042,DB,LAC,@KC,7,,,,1,,,,,,,,,1,,,,3.88,12,17.90,3.88,14.02
Brandon Jones,2564469,DB,MIA,@LV,4,2,2,2,,,,,,,,,,,3,,,8.30,13,16.90,8.3,8.6
Anthony Harris,2553655,DB,PHI,@DAL,6,8,,,,,,,,,,,,,,,,9.30,14,16.60,9.3,7.3
Marco Wilson,2566439,DB,ARI,@JAX,6,,,,,1,,,,,,,,1,,,,2.51,15,16.20,2.51,13.69
Andrew Wingard,2562606,DB,JAX,ARI,4,3,,,1,,,,,,,,,1,,23,,8.15,16,15.97,8.15,7.82
Chauncey Gardner-Johnson,2562588,DB,NO,@NE,4,1,1,2,,,,,,,,,,1,1,,,5.74,17,15.60,5.74,9.86
Nasir Adderley,2562617,DB,LAC,@KC,8,2,,,,,,,,,,,,,,,,9.35,18,15.20,9.35,5.85
Tyson Campbell,2566151,DB,JAX,ARI,6,2,,,,,,,,,,,,1,,,,8.08,19,14.30,8.08,6.22
Kendall Fuller,2555349,DB,WAS,@BUF,7,3,,,,,,,,,,,,,,,,8.73,20,14.30,8.73,5.57
T.J. Green,2555537,DB,HOU,CAR,6,2,,,,,,,,,,,,1,,,,8.48,21,14.30,8.48,5.82
Vernon Hargreaves III,2555299,DB,CIN,@PIT,6,2,,,,,,,,,,,,1,,,,9.07,22,14.30,9.07,5.23
Emmanuel Moseley,2561072,DB,SF,GB,5,1,,,,,,,,,,,,2,,,,8.62,23,14.30,8.62,5.68
Trayvon Mullen,2562380,DB,LV,MIA,5,1,,,,,,,,,,,,2,,,,,24,14.30,,
Harrison Smith,2532948,DB,MIN,SEA,6,2,,,,,,,,,,,,1,,,,10.24,25,14.30,10.24,4.06
Darnell Savage,2562724,DB,GB,@SF,6,,,1,,,,,,,,,,1,,,,8.83,26,14.20,8.83,5.37
Jessie Bates,2560970,DB,CIN,@PIT,6,3,,1,,,,,,,,,,,,,,11.42,27,14.10,11.42,2.68
Terrell Edmunds,2560712,DB,PIT,CIN,2,3,,1,1,,,,,,,,,1,,15,,9.40,28,13.80,9.4,4.4
Marcus Maye,2557995,DB,NYJ,@DEN,7,2,,,,,,,,,,,,,,,,,29,13.50,,
Isaiah Oliver,2560830,DB,ATL,@NYG,2,,,,,1,1,,,,,,,2,1,,2,,30,13.47,,
Anthony Brown,2555531,DB,DAL,PHI,4,,,,1,,,,,,,,,1,,,,10.04,31,12.80,10.04,2.76
Jalen Ramsey,2555280,DB,LA,TB,7,1,,,,,,,,,,,,,,,,8.30,32,12.70,8.3,4.4
Kevin Byard,2555158,DB,TEN,IND,4,1,,,,,,,,,,,,2,,,,11.31,33,12.60,11.31,1.29
Daniel Sorensen,2550257,DB,KC,LAC,5,2,,,,,,,,,,,,1,,,,11.04,34,12.60,11.04,1.56
Benjamin St-Juste,2566604,DB,WAS,@BUF,5,2,,,,,,,,,,,,1,,,,4.64,35,12.60,4.64,7.96
Eli Apple,2555277,DB,CIN,@PIT,4,4,,,,,,,,,,,,1,,,,0.00,36,12.50,0.0,12.5
Landon Collins,2552454,DB,WAS,@BUF,5,3,,1,,,,,,,,,,,,,,8.92,37,12.40,8.92,3.48
