PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Alex Singleton,2553739,LB,PHI,10,4,,,,,,,,,,,,,,,,1,20.20
David Long,2562799,LB,TEN,10,2,,1,,,,,,,,,,,,,,2,20.10
Denzel Perryman,2552310,LB,LV,10,3,,,,,,,,,,,,,1,,,3,19.90
Haason Reddick,2557887,LB,CAR,6,2,2,2,,,,,,,,,,,2,,,4,19.80
De'Vondre Campbell,2555255,LB,GB,5,4,,1,1,,,,,,,,,1,,13,,5,19.63
Harold Landry,2560784,LB,TEN,5,2,2,2,,,,,,,,,,,3,,,6,18.60
Quincy Williams,2562954,LB,NYJ,5,3,,,,2,,,,,,,,,1,,,7,18.40
Eric Kendricks,2552312,LB,MIN,5,3,,,1,,,,,,,,,1,,22,,8,17.63
Pete Werner,2566358,LB,NO,8,5,,,,,,,,,,,,,,,,9,17.60
Darius Leonard,2560789,LB,IND,6,7,,,,,1,,,,,,,,,,21,10,17.50
Khalil Mack,2543463,LB,CHI,7,1,1,1,,,,,,,,,,,1,,,11,16.70
Drue Tranquill,2562765,LB,LAC,7,4,,1,,,,,,,,,,,,,,12,16.60
Demario Davis,2533008,LB,NO,5,3,1,1,,,,,,,,,,,3,,,13,15.90
Jerome Baker,2560966,LB,MIA,6,1,1,1,,,,,,,,,,,2,,,14,15.50
Malik Reed,2562825,LB,DEN,4,3,1,,,1,,,,,,,,,1,,,15,15.20
Reggie Ragland,2555169,LB,NYG,5,2,,1,,,1,,,,,,,1,,,,16,15.10
Cole Holcomb,2562872,LB,WAS,3,4,,,1,,,,,,,,,1,,23,,17,15.07
Roquan Smith,2560877,LB,CHI,5,5,,,,,,,,,,,,1,,,,18,15.00
Jordyn Brooks,2565135,LB,SEA,5,6,,1,,,,,,,,,,,,,,19,14.80
A.J. Johnson,2561704,LB,DEN,5,3,,,,,1,,,,,,,1,,,10,20,14.73
Josh Allen,2562619,LB,JAX,5,2,0.5,,,,,,,,,,,1,2,,,21,14.60
