PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
Justin Herbert,2565045,QB,LAC,398,,4,29,,,,,,1,,15.42,,,,,1,42.82
Lamar Jackson,2560757,QB,BAL,442,,4,62,,,,,,2,1,16.58,,,,,2,41.88
Tom Brady,2504211,QB,TB,411,,5,13,,,,,,,,,,,,,3,37.74
Josh Allen,2560955,QB,BUF,315,,3,59,,,,,,,,20.38,,,,,4,36.50
Jameis Winston,2552033,QB,NO,279,1,4,26,,,,,,,1,20.91,,,,,5,25.76
Davis Mills,2566136,QB,HOU,312,,3,2,,,,,,,,21.24,,,,,6,24.68
Carson Wentz,2555259,QB,IND,402,,2,5,,,,,,,1,17.50,,,,,7,22.58
Trevor Lawrence,2566163,QB,JAX,273,1,1,28,,,,,,,,11.44,,,,,8,21.72
Matt Ryan,310,QB,ATL,342,,2,-1,,,,,,,,15.05,,,,,9,21.58
Baker Mayfield,2560800,QB,CLE,305,,2,8,,,,,,1,1,17.95,,,,,10,21.00
Dak Prescott,2555260,QB,DAL,302,1,3,6,,,,,,,1,13.52,,,,,11,20.58
Jalen Hurts,2564832,QB,PHI,198,1,,30,,,,,,1,1,13.90,,,,,12,20.39
Joe Burrow,2563722,QB,CIN,281,2,2,11,,,,,,1,,19.99,,,,,13,20.04
Aaron Rodgers,2506363,QB,GB,344,1,2,,,,,,,,,22.64,,,,,14,19.76
Patrick Mahomes,2558125,QB,KC,272,2,2,61,,,,,,,1,17.45,,,,,15,18.75
Teddy Bridgewater,2543465,QB,DEN,288,1,2,11,,,,,,,,18.92,,,,,16,18.62
Matthew Stafford,79860,QB,LA,365,1,1,-1,,,,,,,,19.82,,,,,17,16.50
Ben Roethlisberger,2506109,QB,PIT,253,,2,-1,,,,,,,1,18.84,,,,,18,16.02
Jacoby Brissett,2555261,QB,MIA,275,1,2,,,,,,,,1,19.89,,,,,19,15.00
Trey Lance,2566532,QB,SF,192,1,,89,,,,,,,,13.91,,,,,20,14.58
Ryan Tannehill,2532956,QB,TEN,197,,1,21,,,,,,,,16.13,,,,,21,13.98
Kirk Cousins,2532820,QB,MIN,275,1,1,4,,,,,,,,18.46,,,,,22,13.40
Mac Jones,2566334,QB,NE,231,1,1,3,,,,,,,,17.49,,,,,23,11.54
Kyler Murray,2562382,QB,ARI,239,,1,1,,,,,,,2,19.96,,,,,24,10.49
Taylor Heinicke,2553656,QB,WAS,248,2,,40,,,,,,,,,,,,,25,9.92
Geno Smith,2539335,QB,SEA,131,1,1,23,,,,,,,,,,,,,26,9.54
Russell Wilson,2532975,QB,SEA,152,1,1,10,,,,,,,,,,,,,27,9.08
Zach Wilson,2566391,QB,NYJ,192,1,,3,,,,,,1,,19.33,,,,,28,7.98
Derek Carr,2543499,QB,LV,206,1,,10,,,,,,,,18.22,,,,,29,7.24
Mike Glennon,2539275,QB,NYG,196,2,1,2,,,,,,,1,17.22,,,,,30,6.74
Justin Fields,2565920,QB,CHI,111,,1,4,,,,,,,1,16.77,,,,,31,6.61
Jared Goff,2555334,QB,DET,203,1,,,,,,,,1,1,,,,,,32,6.12
Sam Darnold,2561036,QB,CAR,177,3,1,10,,,,,,,,16.22,,,,,33,6.08
Daniel Jones,2562299,QB,NYG,98,,,9,,,,,,,,17.22,,,,,34,4.82
Taysom Hill,2558954,QB,NO,,,,,1,11,,,,,,20.91,,,,,35,3.30
Blaine Gabbert,2495441,QB,TB,41,,,-1,,,,,,,,,,,,,36,1.54
Andy Dalton,2495143,QB,CHI,8,,,,,,,,,,,16.77,,,,,37,0.32
Nathan Peterman,2558191,QB,FA,,,,2,,,,,,,,,,,,,38,0.20
Brandon Allen,2555365,QB,CIN,,,,,,,,,,,,19.99,,,,,39,0.00
