PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
Derrick Henry,2556075,RB,TEN,,,,130,,,,,,,,22.25,,,,,1,31.00
Jonathan Taylor,2564148,RB,IND,,,,53,3,116,1,,,,,32.84,,,,,2,30.40
Austin Ekeler,2559169,RB,LAC,,,,66,5,53,1,,,,2,27.73,,,,,3,28.40
Alvin Kamara,2558019,RB,NO,,,,71,5,51,1,,,,,24.00,,,,,4,28.40
Myles Gaskin,2562270,RB,MIA,,,,25,10,74,2,,,,,25.19,,,,,5,26.90
Ezekiel Elliott,2555224,RB,DAL,,,,110,2,2,1,,,,,19.99,,,,,6,25.90
Nick Chubb,2561021,RB,CLE,,,,161,1,9,,,,,,23.83,,,,,7,23.50
Kareem Hunt,2557917,RB,CLE,,,,61,5,28,,,,,,23.83,,,,,8,23.40
Alexander Mattison,2562682,RB,MIN,,,,113,7,40,1,,,,1,23.90,,,,,9,22.80
Najee Harris,2566448,RB,PIT,,,,122,2,20,,,,,,21.83,,,,,10,21.20
James Robinson,2564223,RB,JAX,,,,149,1,-2,,,,,,16.19,,,,,11,21.20
Antonio Gibson,2565276,RB,WAS,,,,60,2,12,,,,,,,,,,,12,20.20
D'Andre Swift,2563965,RB,DET,,,,51,6,53,,,,,,,,,,,13,19.40
Devontae Booker,2555223,RB,NYG,,,,42,3,16,1,,,,,24.06,,,,,14,19.30
Leonard Fournette,2557973,RB,TB,,,,67,4,43,,,,,,,,,,,15,19.00
Darrell Henderson,2562574,RB,LA,,,,82,1,17,,,,,,19.88,,,,,16,16.40
Samaje Perine,2558138,RB,CIN,,,,59,4,24,1,,,,,17.23,,,,,17,16.30
A.J. Dillon,2563986,RB,GB,,,,30,4,49,1,,,,,22.10,,,,,18,15.90
Chuba Hubbard,2565899,RB,CAR,,,,101,5,33,,,,,,21.80,,,,,19,15.90
Damien Williams,2550512,RB,CHI,,,,64,2,20,,,,,,17.81,,,,,20,15.40
Cordarrelle Patterson,2540145,RB,ATL,,,,54,7,60,,,,,,17.23,,,,,21,14.90
Josh Jacobs,2562377,RB,LV,,,,48,4,19,,,,,,24.35,,,,,22,14.70
Michael Carter,2566382,RB,NYJ,,,,38,3,20,,,,,,16.18,,,,,23,14.10
Aaron Jones,2558116,RB,GB,,,,103,4,6,,,,,,22.10,,,,,24,12.90
Mike Davis,2553439,RB,ATL,,,,53,2,8,,,,,1,17.23,,,,,25,11.10
Sony Michel,2560809,RB,LA,,,,37,1,8,,,,,,19.88,,,,,26,11.00
Zack Moss,2563617,RB,BUF,,,,37,3,55,,,,,,22.33,,,,,27,10.70
Giovani Bernard,2540156,RB,TB,,,,21,2,14,1,,,,,,,,,,28,10.50
Ty Johnson,2562293,RB,NYJ,,,,12,2,22,,,,,,16.18,,,,,29,10.40
Tony Pollard,2562699,RB,DAL,,,,75,4,28,,,,,1,19.99,,,,,30,10.30
James Conner,2557978,RB,ARI,,,,29,1,8,,,,,,21.00,,,,,31,10.20
Javonte Williams,2566049,RB,DEN,,,,61,3,25,,,,,,18.39,,,,,32,10.10
Joe Mixon,2557976,RB,CIN,,,,33,1,2,,,,,,17.23,,,,,33,10.00
Damien Harris,2562281,RB,NE,,,,58,,,,,,,1,16.19,,,,,34,9.80
Alex Collins,2555430,RB,SEA,,,,47,2,25,,,,,,,,,,,35,8.20
David Johnson,2553435,RB,HOU,,,,5,5,46,,,,,,23.70,,,,,36,7.60
Miles Sanders,2562722,RB,PHI,,,,45,5,6,,,,,,26.10,,,,,37,7.60
Khalil Herbert,2565926,RB,CHI,,,,75,,,,,,,,17.81,,,,,38,7.50
Jamaal Williams,2558204,RB,DET,,,,57,2,8,,,,,,,,,,,39,7.50
Eli Mitchell,2566538,RB,SF,,,,43,2,19,,,,,,18.49,,,,,40,7.20
DeeJay Dallas,2565144,RB,SEA,,,,7,2,32,,,,,,,,,,,41,6.60
Darrel Williams,2560935,RB,KC,,,,27,3,18,,,,,,22.81,,,,,42,6.00
Marlon Mack,2558123,RB,IND,,,,47,1,7,,,,,,32.84,,,,,43,5.90
Melvin Gordon,2552469,RB,DEN,,,,34,2,9,,,,,,18.39,,,,,44,5.30
Brandon Bolden,2532797,RB,NE,,,,25,4,6,,,,,,16.19,,,,,45,5.10
Devonta Freeman,2543583,RB,BAL,,,,1,3,34,,,,,,21.89,,,,,46,5.00
Kyle Juszczyk,2540230,RB,SF,,,,,3,35,,,,,,18.49,,,,,47,5.00
Jeremy McNichols,2557977,RB,TEN,,,,9,2,26,,,,,,22.25,,,,,48,4.50
Chase Edmonds,2560711,RB,ARI,,,,15,3,19,,,,,1,21.00,,,,,49,4.17
Mark Ingram,2495466,RB,NO,,,,41,,,,,,,,24.00,,,,,50,4.10
Ronald Jones,2560770,RB,TB,,,,21,1,15,,,,,,,,,,,51,4.10
Travis Homer,2562665,RB,SEA,,,,5,1,13,,,,,,,,,,,52,4.00
Latavius Murray,2541161,RB,BAL,,,,17,2,13,,,,,,21.89,,,,,53,4.00
Salvon Ahmed,2565090,RB,MIA,,,,5,2,16,,,,,,25.19,,,,,54,3.10
Ty'Son Williams,2565542,RB,BAL,,,,6,2,15,,,,,,21.89,,,,,55,3.10
Clyde Edwards-Helaire,2564271,RB,KC,,,,13,1,11,,,,,,22.81,,,,,56,2.90
Kenneth Gainwell,2566397,RB,PHI,,,,16,1,8,,,,,,26.10,,,,,57,2.90
Devin Singletary,2562734,RB,BUF,,,,25,1,-2,,,,,,22.33,,,,,58,2.80
Chris Evans,2565944,RB,CIN,,,,,2,15,,,,,,17.23,,,,,59,2.50
Jerick McKinnon,2543715,RB,KC,,,,2,2,13,,,,,,22.81,,,,,60,2.50
Dare Ogunbowale,2559362,RB,JAX,,,,,1,19,,,,,,16.19,,,,,61,2.40
Rhamondre Stevenson,2566343,RB,NE,,,,23,,,,,,,,16.19,,,,,62,2.30
C.J. Ham,2556803,RB,MIN,,,,1,1,14,,,,,,23.90,,,,,63,2.00
Benny Snell,2562743,RB,PIT,,,,20,,,,,,,,21.83,,,,,64,2.00
Michael Burton,2552636,RB,KC,,,,2,,,,,,,,22.81,,,,,65,1.90
Phillip Lindsay,2559947,RB,HOU,,,,19,,,,,,,,23.70,,,,,66,1.90
Nyheim Hines,2560742,RB,IND,,,,18,,,,,,,,32.84,,,,,67,1.80
Trenton Cannon,2561137,RB,SF,,,,,,,,,,,,18.49,,,,,68,1.70
Demetric Felton,2565968,RB,CLE,,,,,,,,,,,,23.83,,,,,69,1.70
Joshua Kelley,2565054,RB,LAC,,,,17,,,,,,,,27.73,,,,,70,1.70
