PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
Mike Williams,2558846,WR,LAC,,,,,8,165,2,,,,,24.10,,,,,1,32.50
Davante Adams,2543495,WR,GB,,,,,11,206,1,,,,,29.68,,,,,2,32.10
Marquise Brown,2562379,WR,BAL,,,,,9,125,2,,,,,33.71,,,,,3,29.00
Antonio Brown,2508061,WR,TB,,,,,7,124,2,,,,,,,,,,4,27.90
Mike Evans,2543468,WR,TB,,,,,6,113,2,,,,,,,,,,5,26.30
Ja'Marr Chase,2565941,WR,CIN,,,,,6,159,1,,,,,31.01,,,,,6,24.90
Kadarius Toney,2566376,WR,NYG,,,,7,10,189,,,,,,24.47,,,,,7,24.60
DK Metcalf,2562685,WR,SEA,,,,,5,98,2,,,,,,,,,,8,24.30
Marquez Callaway,2565310,WR,NO,,,,,4,85,2,,,,,30.21,,,,,9,22.50
Chase Claypool,2564970,WR,PIT,,,,,5,130,1,,,,,36.50,,,,,10,21.50
Courtland Sutton,2560888,WR,DEN,,,,,7,120,1,,,,,34.03,,,,,11,21.50
Robert Woods,2540169,WR,LA,,,,,12,150,,,,,,40.58,,,,,12,21.00
Chris Moore,2555209,WR,HOU,,,,,5,109,1,,,,,37.31,,,,,13,19.40
Emmanuel Sanders,497322,WR,BUF,,,,,3,54,2,,,,,32.87,,,,,14,18.90
Michael Pittman,2564136,WR,IND,,,,,6,89,1,,,,,26.45,,,,,15,17.90
DeAndre Hopkins,2540165,WR,ARI,,,,,6,87,1,,,,,28.77,,,,,16,17.70
CeeDee Lamb,2563848,WR,DAL,,,,4,4,84,1,,,,,29.13,,,,,17,16.80
Justin Jefferson,2564556,WR,MIN,,,,,7,124,,,,,,28.06,,,,,18,15.90
Deebo Samuel,2562721,WR,SF,,,,13,3,58,,,,,,31.33,,,,,19,14.60
Diontae Johnson,2562674,WR,PIT,,,,,2,72,1,,,,,36.50,,,,,20,14.20
Chris Conley,2552652,WR,HOU,,,,,3,84,1,,,,1,37.31,,,,,21,13.90
Deonte Harris,2563155,WR,NO,,,,,1,72,1,,,,,30.21,,,,,22,13.70
Amari Cooper,2552487,WR,DAL,,,,,3,60,1,,,,,29.13,,,,,23,13.50
Cooper Kupp,2557898,WR,LA,,,,,7,92,,,,,,40.58,,,,,24,12.70
Tim Patrick,2558985,WR,DEN,,,,,7,89,,,,,,34.03,,,,,25,12.40
Rondale Moore,2566433,WR,ARI,,,,38,5,59,,,,,,28.77,,,,,26,12.20
Mecole Hardman,2562580,WR,KC,,,,,9,76,,,,,,28.01,,,,,27,12.10
Tyreek Hill,2556214,WR,KC,,,,15,7,63,,,,,,28.01,,,,,28,11.30
DeVonta Smith,2566409,WR,PHI,,,,,7,77,,,,1,1,22.19,,,,,29,11.20
DeAndre Carter,2553502,WR,WAS,,,,11,4,62,,,,,,,,,,,30,11.00
Keenan Allen,2540154,WR,LAC,,,,,6,75,,,,,,24.10,,,,,31,10.50
Chris Godwin,2558105,WR,TB,,,,,7,70,,,,,,,,,,,32,10.50
Rashard Higgins,2555468,WR,CLE,,,,,3,29,1,,,,,31.23,,,,,33,10.40
Amon-Ra St. Brown,2566073,WR,DET,,,,,7,65,,,,,,,,,,,34,10.00
Tyler Lockett,2552430,WR,SEA,,,,,5,57,,,,,,,,,,,35,9.90
D.J. Moore,2560813,WR,CAR,,,,-4,5,42,,,,,,31.16,,,,,36,9.70
Kendall Hinton,2563893,WR,DEN,,,,,2,25,1,,,,,34.03,,,,,37,9.50
Donovan Peoples-Jones,2563803,WR,CLE,,,,,5,70,,,,,,31.23,,,,,38,9.50
Adam Humphries,2553895,WR,WAS,,,,,3,73,,,,,,,,,,,39,8.80
Hunter Renfrow,2562712,WR,LV,,,,,6,56,,,,,,31.77,,,,,40,8.60
Preston Williams,2562805,WR,MIA,,,,7,3,60,,,,,,31.19,,,,,41,8.20
Jamal Agnew,2558821,WR,JAX,,,,8,6,41,,,,,,21.76,,,,,42,7.90
Tavon Austin,2539336,WR,JAX,,,,,5,54,,,,,,21.76,,,,,43,7.90
Stefon Diggs,2552608,WR,BUF,,,,,2,69,,,,,,32.87,,,,,44,7.90
Tee Higgins,2563731,WR,CIN,,,,,5,32,,,,1,,31.01,,,,,45,7.70
Parris Campbell,2562495,WR,IND,,,,,4,56,,,,,,26.45,,,,,46,7.60
Jakobi Meyers,2562492,WR,NE,,,,,4,56,,,,,,26.26,,,,,47,7.60
Christian Kirk,2560781,WR,ARI,,,,11,5,39,,,,,,28.77,,,,,48,7.50
DeSean Jackson,1581,WR,LA,,,,,1,68,,,,,,40.58,,,,,49,7.30
Tajae Sharpe,2555317,WR,ATL,,,,,4,53,,,,,,36.43,,,,,50,7.30
Quez Watkins,2564880,WR,PHI,,,,,3,48,,,,,,22.19,,,,,51,7.10
Marcus Johnson,2556855,WR,TEN,,,,,3,52,,,,,,30.60,,,,,52,6.70
Terry McLaurin,2562489,WR,WAS,,,,,4,46,,,,,,,,,,,53,6.60
Henry Ruggs III,2564433,WR,LV,,,,,3,51,,,,,,31.77,,,,,54,6.60
Corey Davis,2557848,WR,NYJ,,,,,4,45,,,,,,33.76,,,,,55,6.50
Devin Duvernay,2563551,WR,BAL,,,,,4,45,,,,,,33.71,,,,,56,6.50
Jamison Crowder,2552415,WR,NYJ,,,,,4,24,,,,1,,33.76,,,,,57,6.40
Zach Pascal,2558877,WR,IND,,,,,3,48,,,,,,26.45,,,,,58,6.30
Laviska Shenault Jr.,2564232,WR,JAX,,,,,1,58,,,,,,21.76,,,,,59,6.30
Byron Pringle,2560844,WR,KC,,,,,2,11,1,,,,1,28.01,,,,,60,6.10
Jaylen Waddle,2566292,WR,MIA,,,,2,2,31,,,,,,31.19,,,,,61,6.00
Tyler Johnson,2565225,WR,TB,,,,,3,42,,,,,,,,,,,62,5.70
Ced Wilson,2560936,WR,DAL,22,,,6,1,35,,,,,,29.13,,,,,63,5.48
Kendrick Bourne,2558914,WR,NE,,,,12,3,26,,,,,,26.26,,,,,64,5.30
A.J. Brown,2562238,WR,TEN,,,,,3,38,,,,,,30.60,,,,,65,5.30
Quintez Cephus,2563926,WR,DET,,,,,3,38,,,,,,,,,,,66,5.30
Allen Robinson,2543509,WR,CHI,,,,,4,32,,,,,,31.91,,,,,67,5.20
Noah Brown,2558091,WR,DAL,,,,,3,36,,,,,,29.13,,,,,68,5.10
Darnell Mooney,2563707,WR,CHI,,,,,3,35,,,,,,31.91,,,,,69,5.00
Adam Thielen,2541785,WR,MIN,,,,,2,40,,,,,,28.06,,,,,70,5.00
Keelan Cole,2559153,WR,NYJ,,,,,2,38,,,,,,33.76,,,,,71,4.80
Nelson Agholor,2552600,WR,NE,,,,,3,32,,,,,,26.26,,,,,72,4.70
Jalen Guyton,2562844,WR,LAC,,,,,2,35,,,,,,24.10,,,,,73,4.50
Sammy Watkins,2543457,WR,BAL,,,,,2,35,,,,,,33.71,,,,,74,4.50
Tyler Boyd,2555466,WR,CIN,,,,,4,24,,,,,,31.01,,,,,75,4.40
Denzel Mims,2564802,WR,NYJ,,,,,2,33,,,,,,33.76,,,,,76,4.30
Brandon Aiyuk,2565093,WR,SF,,,,,2,32,,,,,,31.33,,,,,77,4.20
KhaDarel Hodge,2561653,WR,DET,,,,,1,17,,,,1,,,,,,,78,4.20
Robby Anderson,2556462,WR,CAR,,,,,2,30,,,,,,31.16,,,,,79,4.00
Randall Cobb,2495448,WR,GB,,,,,2,30,,,,,,29.68,,,,,80,4.00
Chester Rogers,2556396,WR,TEN,,,,9,1,26,,,,,,30.60,,,,,81,4.00
Jalen Reagor,2564850,WR,PHI,,,,,3,24,,,,,,22.19,,,,,82,3.90
Brandin Cooks,2543498,WR,HOU,,,,,3,23,,,,,,37.31,,,,,83,3.80
Allen Lazard,2560787,WR,GB,,,,,2,6,,,,,,29.68,,,,,84,3.30
Dede Westbrook,2557895,WR,MIN,,,,,3,18,,,,,,28.06,,,,,85,3.30
Bryan Edwards,2564418,WR,LV,,,,,2,22,,,,,,31.77,,,,,86,3.20
Mack Hollins,2558262,WR,MIA,,,,,1,10,,,,,,31.19,,,,,87,3.20
Ashton Dulin,2562646,WR,IND,,,,,2,13,,,,,,26.45,,,,,88,3.10
Odell Beckham Jr.,2543496,WR,CLE,,,,,2,20,,,,,,31.23,,,,,89,3.00
Marvin Jones,2532884,WR,JAX,,,,,1,25,,,,,,21.76,,,,,90,3.00
