PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Alex Singleton,2553739,LB,PHI,@CAR,10,4,,,,,,,,,,,,,,,,12.58,1,20.20,12.58,7.62
David Long,2562799,LB,TEN,@JAX,10,2,,1,,,,,,,,,,,,,,6.19,2,20.10,6.19,13.91
Denzel Perryman,2552310,LB,LV,CHI,10,3,,,,,,,,,,,,,1,,,11.18,3,19.90,11.18,8.72
Haason Reddick,2557887,LB,CAR,PHI,6,2,2,2,,,,,,,,,,,2,,,7.47,4,19.80,7.47,12.33
De'Vondre Campbell,2555255,LB,GB,@CIN,5,4,,1,1,,,,,,,,,1,,13,,13.51,5,19.63,13.51,6.12
Harold Landry,2560784,LB,TEN,@JAX,5,2,2,2,,,,,,,,,,,3,,,9.01,6,18.60,9.01,9.59
Quincy Williams,2562954,LB,NYJ,@ATL,5,3,,,,2,,,,,,,,,1,,,10.67,7,18.40,10.67,7.73
Eric Kendricks,2552312,LB,MIN,DET,5,3,,,1,,,,,,,,,1,,22,,14.53,8,17.63,14.53,3.1
Pete Werner,2566358,LB,NO,@WAS,8,5,,,,,,,,,,,,,,,,7.33,9,17.60,7.33,10.27
Darius Leonard,2560789,LB,IND,@BAL,6,7,,,,,1,,,,,,,,,,21,14.51,10,17.50,14.51,2.99
Khalil Mack,2543463,LB,CHI,@LV,7,1,1,1,,,,,,,,,,,1,,,5.17,11,16.70,5.17,11.53
Drue Tranquill,2562765,LB,LAC,CLE,7,4,,1,,,,,,,,,,,,,,10.94,12,16.60,10.94,5.66
Demario Davis,2533008,LB,NO,@WAS,5,3,1,1,,,,,,,,,,,3,,,12.09,13,15.90,12.09,3.81
Jerome Baker,2560966,LB,MIA,@TB,6,1,1,1,,,,,,,,,,,2,,,11.37,14,15.50,11.37,4.13
Malik Reed,2562825,LB,DEN,@PIT,4,3,1,,,1,,,,,,,,,1,,,6.55,15,15.20,6.55,8.65
Reggie Ragland,2555169,LB,NYG,@DAL,5,2,,1,,,1,,,,,,,1,,,,7.68,16,15.10,7.68,7.42
Cole Holcomb,2562872,LB,WAS,NO,3,4,,,1,,,,,,,,,1,,23,,10.90,17,15.07,10.9,4.17
Roquan Smith,2560877,LB,CHI,@LV,5,5,,,,,,,,,,,,1,,,,14.78,18,15.00,14.78,0.22
Jordyn Brooks,2565135,LB,SEA,LA,5,6,,1,,,,,,,,,,,,,,9.52,19,14.80,9.52,5.28
A.J. Johnson,2561704,LB,DEN,@PIT,5,3,,,,,1,,,,,,,1,,,10,,20,14.73,,
Josh Allen,2562619,LB,JAX,TEN,5,2,0.5,,,,,,,,,,,1,2,,,4.57,21,14.60,4.57,10.03
Tae Crowder,2564727,LB,NYG,@DAL,5,3,,,,1,,,,,,,,,,,,12.48,22,14.40,12.48,1.92
A.J. Klein,2539982,LB,BUF,@KC,8,1,,,,,,,,,,,,,,,,5.68,23,14.40,5.68,8.72
Matt Judon,2555505,LB,NE,@HOU,2,2,2,2,,,1,,,,,,,,3,,-6,8.56,24,14.30,8.56,5.74
Tremaine Edmunds,2560713,LB,BUF,@KC,6,3,,1,,,,,,,,,,,,,,10.92,25,14.10,10.92,3.18
Christian Kirksey,2543720,LB,HOU,NE,4,6,,,,,,,,,,,,1,,,,,26,14.10,,
Bobby Okereke,2562416,LB,IND,@BAL,7,2,,,,,,,,,,,,,,,,11.32,27,13.50,11.32,2.18
Fred Warner,2560917,LB,SF,@ARI,7,2,,,,,,,,,,,,,,,,12.40,28,13.50,12.4,1.1
Micah Parsons,2566019,LB,DAL,NYG,6,2,,,,,,,,,,,,,3,,,10.16,29,13.30,10.16,3.14
Nick Bolton,2566175,LB,KC,BUF,6,,,2,,,,,,,,,,,,,,7.36,30,13.20,7.36,5.84
Shaquil Barrett,2550541,LB,TB,MIA,3,1,1.5,,,1,,,,,,,,,1,,,6.66,31,12.90,6.66,6.24
C.J. Mosley,2543464,LB,NYJ,@ATL,2,6,,,,1,,,,,,,,,,,,12.71,32,11.70,12.71,-1.01
Odafe Oweh,2565848,LB,BAL,IND,3,,1,,,1,,,,,,,,,2,,,4.32,33,11.60,4.32,7.28
Krys Barnes,2563971,LB,GB,@CIN,3,3,1,1,,,,,,,,,,,1,,,7.21,34,11.50,7.21,4.29
Jalen Reeves-Maybin,2557924,LB,DET,@MIN,3,2,,,,1,1,,,,,,,,,,,7.45,35,11.20,7.45,3.75
Devin White,2562781,LB,TB,MIA,5,3,,,,,,,,,,,,,,,,14.37,36,10.90,14.37,-3.47
Jonathan Greenard,2564070,LB,HOU,NE,3,,1,2,,,,,,,,,,,1,,,3.53,37,10.60,3.53,7.07
Patrick Queen,2563575,LB,BAL,IND,4,2,,1,,,,,,,,,,,1,,,9.69,38,10.40,9.69,0.71
Alec Ogletree,2540143,LB,CHI,@LV,6,,,,,,,,,,,,,,,,,7.55,39,10.20,7.55,2.65
Alex Anzalone,2558163,LB,DET,@MIN,1,3,,,1,,,,,,,,,1,,,,8.97,40,10.10,8.97,1.13
Nick Kwiatkoski,2555288,LB,LV,CHI,5,2,,,,,,,,,,,,,,,,1.97,41,10.10,1.97,8.13
