PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
CeeDee Lamb,2563848,WR,DAL,,,,2,9,149,2,,,,,50.50,1,9,10,9,11,82,1,2,1,1,31.60
Cooper Kupp,2557898,WR,LA,,,,,9,130,2,,,,,50.90,,9,9,9,12,75,2,2,,2,31.20
Adam Thielen,2541785,WR,MIN,,,,2,11,126,1,,,,,52.40,1,11,12,11,13,85,2,2,1,3,25.30
Donovan Peoples-Jones,2563803,WR,CLE,,,,,4,101,2,,,,,36.30,,4,4,4,5,80,1,1,,4,24.10
Jaylen Waddle,2566292,WR,MIA,,,,,10,70,2,,,,,39.60,,10,10,10,13,77,2,2,2,5,24.00
Antonio Brown,2508061,WR,TB,,,,,9,93,1,,,,,30.30,,9,9,9,13,69,1,,,6,19.80
Tyreek Hill,2556214,WR,KC,,,,,9,76,1,,,,,49.10,,9,9,9,12,75,3,2,2,7,19.80
Marvin Jones,2532884,WR,JAX,,,,,7,100,1,,,,,38.20,,7,7,7,10,70,,,,8,19.50
Stefon Diggs,2552608,WR,BUF,,,,,9,89,1,,,,,59.20,,9,9,9,11,82,4,3,1,9,19.40
Courtland Sutton,2560888,WR,DEN,,,,,8,94,1,,,,,39.00,,8,8,8,14,57,4,3,1,10,19.40
DeAndre Hopkins,2540165,WR,ARI,,,,,3,55,2,,,,,55.50,,3,3,3,4,75,3,2,2,11,19.00
Cole Beasley,2535698,WR,BUF,,,,,7,88,1,,,,,59.20,,7,7,7,9,78,1,1,1,12,18.30
Henry Ruggs III,2564433,WR,FA,,,,,3,97,1,,,,,,,3,3,3,4,75,,,,13,17.20
K.J. Osborn,2564574,WR,MIN,,,,,6,78,1,,,,,52.40,,6,6,6,7,86,2,2,,14,16.80
A.J. Green,2495450,WR,ARI,,,,,5,79,1,,,,,55.50,,5,5,5,6,83,2,2,,15,16.40
Christian Kirk,2560781,WR,ARI,,,,,5,75,1,,,,,55.50,,5,5,5,8,63,,,,16,16.00
Sterling Shepard,2555295,WR,NYG,,,,,10,76,,,,,,33.20,,10,10,10,14,71,2,1,,17,16.00
Diontae Johnson,2562674,WR,PIT,,,,25,9,71,,,,,,21.00,1,9,10,9,13,69,,,,18,14.10
Kendrick Bourne,2558914,WR,NE,,,,,1,75,1,,,,,27.00,,1,1,1,2,50,,,,19,14.00
Ja'Marr Chase,2565941,WR,CIN,,,,,4,97,,,,,,29.40,,4,4,4,6,67,,,,20,13.40
