PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Maxx Crosby,2562439,DL,LV,@DEN,2,4,3,1,,,,,,,,,,1,5,,,4.74,1,19.10,4.74,14.36
Cameron Heyward,2508109,DL,PIT,SEA,6,3,1,2,,,,,,,,,,,1,,,7.10,2,18.10,7.1,11.0
Randy Gregory,2552446,DL,DAL,@NE,3,,2,1,,1,,,,,,,,,2,,,4.31,3,15.10,4.31,10.79
Joey Bosa,2555249,DL,LAC,@BAL,5,,1,2,,,,,,,,,,,2,,,7.10,4,14.50,7.1,7.4
J.J. Watt,2495488,DL,ARI,@CLE,1,4,1,,,1,,,,,,,,1,2,,,,5,13.90,,
Leonard Williams,2552486,DL,NYG,LA,3,4,1.5,1,,,,,,,,,,,2,,,6.23,6,13.80,6.23,7.57
DeForest Buckner,2555275,DL,IND,HOU,4,1,1,2,,,,,,,,,,,1,,,7.19,7,13.10,7.19,5.91
Kenny Clark,2555282,DL,GB,@CHI,3,,2,2,,,,,,,,,,,2,,,6.99,8,13.10,6.99,6.11
Brian Burns,2562242,DL,CAR,MIN,3,3,,1,,,,,,,,,,1,1,,,8.04,9,12.00,8.04,3.96
Dean Lowry,2555274,DL,GB,@CHI,4,1,1,1,,,,,,,,,,,1,,,4.79,10,11.60,4.79,6.81
Jeffery Simmons,2562733,DL,TEN,BUF,3,2,1,1,,,,,,,,,,,2,,,6.13,11,11.20,6.13,5.07
Emmanuel Ogbah,2555278,DL,MIA,@JAX,2,1,1,1,,,,,,,,,,1,1,,,4.49,12,10.70,4.49,6.21
Josh Sweat,2560889,DL,PHI,TB,4,2,,1,,,,,,,,,,,1,,,5.58,13,10.40,5.58,4.82
Christian Wilkins,2562782,DL,MIA,@JAX,2,1,1,,,1,,,,,,,,,1,,,5.07,14,10.20,5.07,5.13
Deatrich Wise,2558000,DL,NE,DAL,5,1,,,,,,,,,,,,,1,,,5.11,15,9.80,5.11,4.69
Chris Wormley,2557862,DL,PIT,SEA,2,3,0.5,,,,,,,,,,,1,1,,,4.78,16,9.80,4.78,5.02
Julian Okwara,2563947,DL,DET,CIN,3,,1,1,,,,,,,,,,,2,,,1.97,17,9.60,1.97,7.63
Armon Watts,2562773,DL,MIN,@CAR,1,3,1,,,1,,,,,,,,,,,,2.93,18,9.60,2.93,6.67
Jadeveon Clowney,2543456,DL,CLE,ARI,2,2,1,1,,,,,,,,,,,2,,,5.69,19,9.50,5.69,3.81
Linval Joseph,496802,DL,LAC,@BAL,2,2,1,1,,,,,,,,,,,1,,,5.22,20,9.00,5.22,3.78
Dexter Lawrence,2562301,DL,NYG,LA,2,5,0.5,,,,,,,,,,,,1,,,5.38,21,8.90,5.38,3.52
Michael Danna,2564262,DL,KC,@WAS,1,1,,,,1,,,,,,,,1,,,,4.37,22,8.50,4.37,4.13
Grover Stewart,2558766,DL,IND,HOU,3,4,,,,,,,,,,,,,,,,5.19,23,8.30,5.19,3.11
Myles Garrett,2557965,DL,CLE,ARI,2,1,1,1,,,,,,,,,,,1,,,6.54,24,8.20,6.54,1.66
Trey Hendrickson,2557943,DL,CIN,@DET,2,,1,1,,,,,,,,,,,2,,,4.47,25,7.90,4.47,3.43
Charles Harris,2558001,DL,DET,CIN,4,1,,,,,,,,,,,,,,,,5.71,26,7.60,5.71,1.89
Danielle Hunter,2552603,DL,MIN,@CAR,3,3,,,,,,,,,,,,,,,,,27,7.50,,
