PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
T.J. Hockenson,2562378,TE,DET,,,,,10,89,,,,,,,,,,,1,13.90
Pat Freiermuth,2566442,TE,PIT,,,,,4,44,1,,,,,5.44,,,,,2,12.40
Brevin Jordan,2566130,TE,HOU,,,,,3,41,1,,,,,12.54,,,,,3,11.60
Jesse James,2552633,TE,CHI,,,,,3,38,1,,,,,9.37,,,,,4,11.30
Dan Arnold,2559385,TE,JAX,,,,,8,68,,,,,,7.66,,,,,5,10.80
Geoff Swaim,2553454,TE,TEN,,,,,4,23,1,,,,,11.83,,,,,6,10.30
Dallas Goedert,2560995,TE,PHI,,,,,6,72,,,,,,14.21,,,,,7,10.20
Evan Engram,2557858,TE,NYG,,,,,3,15,1,,,,,14.40,,,,,8,9.00
Tyler Kroft,2552586,TE,NYJ,,,,,2,20,1,,,,,13.40,,,,,9,9.00
Mike Gesicki,2560994,TE,MIA,,,,,3,48,,,,1,,14.71,,,,,10,8.30
Tyler Conklin,2561027,TE,MIN,,,,,5,57,,,,,,16.71,,,,,11,8.20
Jack Doyle,2540232,TE,IND,,,,,2,12,1,,,,,12.73,,,,,12,8.20
Kyle Rudolph,2495438,TE,NYG,,,,,2,12,1,,,,,14.40,,,,,13,8.20
Jordan Akins,2560951,TE,HOU,,,,,5,53,,,,,,12.54,,,,,14,7.80
Robert Tonyan,2559270,TE,GB,,,,,3,49,,,,,,15.01,,,,,15,6.40
Zach Ertz,2540158,TE,ARI,,,,,4,42,,,,,,8.31,,,,,16,6.20
Zach Gentry,2562654,TE,PIT,,,,,3,39,,,,,,5.44,,,,,17,5.40
David Njoku,2557986,TE,CLE,,,,,3,39,,,,,,7.94,,,,,18,5.40
C.J. Uzomah,2552559,TE,CIN,,,,,4,33,,,,,,9.04,,,,,19,5.30
Albert Okwuegbunam,2563911,TE,DEN,,,,,3,34,,,,,,12.77,,,,,20,4.90
Austin Hooper,2555415,TE,CLE,,,,,4,26,,,,,,7.94,,,,,21,4.60
Garrett Griffin,2557033,TE,NO,,,,,3,30,,,,,,11.44,,,,,22,4.50
Tommy Sweeney,2562750,TE,BUF,,,,,3,30,,,,,,13.67,,,,,23,4.50
Harrison Bryant,2563767,TE,CLE,,,,,2,33,,,,,,7.94,,,,,24,4.30
Tyler Higbee,2555364,TE,LA,,,,,3,25,,,,,,7.93,,,,,25,4.00
Kyle Pitts,2565830,TE,ATL,,,,,2,13,,,,,,6.56,,,,,26,4.00
Cole Kmet,2563704,TE,CHI,,,,,3,24,,,,,,9.37,,,,,27,3.90
Hunter Henry,2555341,TE,NE,,,,,1,33,,,,,,9.54,,,,,28,3.80
Jared Cook,71265,TE,LAC,,,,,2,25,,,,,,13.64,,,,,29,3.50
Tommy Tremble,2565914,TE,CAR,,,,,3,18,,,,,,6.31,,,,,30,3.30
MyCole Pruitt,2552401,TE,TEN,,,,,2,22,,,,,,11.83,,,,,31,3.20
Josiah Deguara,2563980,TE,GB,,,,,2,20,,,,,,15.01,,,,,32,3.00
Travis Kelce,2540258,TE,KC,,,,,4,27,,,,,1,10.60,,,,,33,2.70
O.J. Howard,2557856,TE,TB,,,,,2,16,,,,,,,,,,,34,2.60
Cameron Brate,2550656,TE,TB,,,,,2,15,,,,,,,,,,,35,2.50
Anthony Firkser,2558942,TE,TEN,,,,,1,8,,,,,,11.83,,,,,36,2.30
Jonnu Smith,2558207,TE,NE,,,,,2,13,,,,,,9.54,,,,,37,2.30
Ricky Seals-Jones,2559248,TE,WAS,,,,,2,12,,,,,,,,,,,38,2.20
Dalton Schultz,2560866,TE,DAL,,,,,2,11,,,,,,6.16,,,,,39,2.10
Noah Fant,2562383,TE,DEN,,,,,2,8,,,,,,12.77,,,,,40,1.80
Mo Alie-Cox,2558832,TE,IND,,,,,,,,,,,,12.73,,,,,41,1.70
Stephen Anderson,2556463,TE,LAC,,,,,,,,,,,,13.64,,,,,42,1.70
Will Dissly,2561046,TE,SEA,,,,,,,,,,,,,,,,,43,1.70
Demetrius Harris,2541187,TE,ARI,,,,,,,,,,,,8.31,,,,,44,1.70
J.P. Holtz,2556852,TE,CHI,,,,,,,,,,,,9.37,,,,,45,1.70
Blake Jarwin,2559193,TE,DAL,,,,,,,,,,,,6.16,,,,,46,1.70
Lee Smith,2495347,TE,ATL,,,,,,,,,,,,6.56,,,,,47,1.70
Ian Thomas,2560894,TE,CAR,,,,,1,10,,,,,,6.31,,,,,48,1.50
Hayden Hurst,2560747,TE,ATL,,,,,2,4,,,,,,6.56,,,,,49,1.40
Jack Stoll,2567061,TE,PHI,,,,,1,9,,,,,,14.21,,,,,50,1.40
Adam Trautman,2564703,TE,NO,,,,,2,4,,,,,,11.44,,,,,51,1.40
Adam Shaheen,2558144,TE,MIA,,,,,1,8,,,,,,14.71,,,,,52,1.30
Ryan Griffin,2541316,TE,NYJ,,,,,1,7,,,,,,13.40,,,,,53,1.20
Chris Herndon,2560738,TE,MIN,,,,,1,7,,,,,,16.71,,,,,54,1.20
Luke Stocker,2495234,TE,FA,,,,,1,7,,,,,,,,,,,55,1.20
Charlie Woerner,2565129,TE,SF,,,,,1,7,,,,,,4.95,,,,,56,1.20
John Bates,2566580,TE,WAS,,,,,1,4,,,,,,,,,,,57,0.90
Cethan Carter,2558929,TE,MIA,,,,,,,,,,,,14.71,,,,,58,0.80
Luke Farrell,2566160,TE,JAX,,,,,1,3,,,,,,7.66,,,,,59,0.80
Giovanni Ricci,2563668,TE,CAR,,,,,,,,,,,,6.31,,,,,60,0.80
Gerald Everett,2557889,TE,SEA,,,,-5,1,7,,,,,,,,,,,61,0.70
Kylen Granson,2566145,TE,IND,,,,,1,,,,,,,12.73,,,,,62,0.50
Mark Andrews,2560957,TE,BAL,,,,,,,,,,,,,,,,,63,0.00
Devin Asiasi,2564586,TE,NE,,,,,,,,,,,,9.54,,,,,64,0.00
Antony Auclair,2559044,TE,HOU,,,,,,,,,,,,12.54,,,,,65,0.00
Marcus Baugh,2560971,TE,FA,,,,,,,,,,,,,,,,,66,0.00
Evan Baylis,2559299,TE,FA,,,,,,,,,,,,,,,,,67,0.00
Andrew Beck,2562626,TE,DEN,,,,,,,,,,,,12.77,,,,,68,0.00
