PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
A.J. Brown,2562238,WR,TEN,@IND,,,,,10,155,1,,,,,14.36,1,26.50,14.36,12.14
Michael Pittman,2564136,WR,IND,TEN,,,,,10,86,2,,,,,10.83,2,25.60,10.83,14.77
Chris Godwin,2558105,WR,TB,@NO,,,,,8,140,1,,,,,12.98,3,24.00,12.98,11.02
Tyreek Hill,2556214,WR,KC,NYG,,,,,12,94,1,,,,,15.96,4,21.40,15.96,5.44
Cooper Kupp,2557898,WR,LA,@HOU,,,,,7,115,1,,,,,18.05,5,21.00,18.05,2.95
Amari Cooper,2552487,WR,DAL,@MIN,,,,,8,122,1,,,,1,10.78,6,20.20,10.78,9.42
Tyler Lockett,2552430,WR,SEA,JAX,,,,,12,142,,,,,,10.13,7,20.20,10.13,10.07
Deebo Samuel,2562721,WR,SF,@CHI,,,,,6,171,,,,,,15.19,8,20.10,15.19,4.91
DK Metcalf,2562685,WR,SEA,JAX,,,,,6,43,2,,,,,15.37,9,19.30,15.37,3.93
Robert Woods,2540169,WR,LA,@HOU,,,,22,3,35,1,,,,,12.67,10,19.20,12.67,6.53
Brandin Cooks,2543498,WR,HOU,LA,,,,,6,83,1,,,,,11.32,11,17.30,11.32,5.98
Ced Wilson,2560936,WR,DAL,@MIN,35,,,,3,84,1,,,,,5.45,12,17.30,5.45,11.85
Tyler Boyd,2555466,WR,CIN,@NYJ,46,,,,5,69,1,,,,,9.81,13,17.24,9.81,7.43
Adam Thielen,2541785,WR,MIN,DAL,,,,,6,78,1,,,,,11.54,14,16.80,11.54,5.26
Keenan Allen,2540154,WR,LAC,NE,,,,,6,77,1,,,,,11.36,15,16.70,11.36,5.34
Cole Beasley,2535698,WR,BUF,MIA,,,,,10,110,,,,,,11.57,16,16.00,11.57,4.43
Randall Cobb,2495448,WR,GB,@ARI,,,,,3,15,2,,,,,11.16,17,15.00,11.16,3.84
CeeDee Lamb,2563848,WR,DAL,@MIN,,,,,6,112,,,,,,12.13,18,14.20,12.13,2.07
DeVante Parker,2552409,WR,MIA,@BUF,,,,,8,85,,,,,,,19,14.20,,
Jamal Agnew,2558821,WR,JAX,@SEA,,,,,6,38,1,,,,,6.40,20,12.80,6.4,6.4
Diontae Johnson,2562674,WR,PIT,@CLE,,,,,6,98,,,,,,14.57,21,12.80,14.57,-1.77
DeAndre Carter,2553502,WR,WAS,@DEN,,,,,3,51,1,,,,,5.78,22,12.60,5.78,6.82
Stefon Diggs,2552608,WR,BUF,MIA,,,,,5,40,1,,,,,16.06,23,12.50,16.06,-3.56
Jamison Crowder,2552415,WR,NYJ,CIN,,,,,8,84,,,,1,1,10.56,24,12.40,10.56,1.84
Mike Evans,2543468,WR,TB,@NO,,,,,2,48,1,,,,,13.34,25,11.80,13.34,-1.54
Elijah Moore,2566385,WR,NYJ,CIN,,,,4,6,67,,,,,,6.54,26,11.80,6.54,5.26
Tee Higgins,2563731,WR,CIN,@NYJ,,,,,4,97,,,,,,11.95,27,11.70,11.95,-0.25
Ja'Marr Chase,2565941,WR,CIN,@NYJ,,,,9,3,32,1,,,,,17.67,28,11.60,17.67,-6.07
Cyril Grayson,2558808,WR,TB,@NO,,,,,1,50,1,,,,,0.87,29,11.50,0.87,10.63
Darnell Mooney,2563707,WR,CHI,SF,,,,,6,64,,,,,,8.47,30,11.10,8.47,2.63
Gabriel Davis,2563602,WR,BUF,MIA,,,,,4,29,1,,,,,2.71,31,10.90,2.71,8.19
Tre'Quan Smith,2560878,WR,NO,TB,,,,,3,33,1,,,,,7.82,32,10.80,7.82,2.98
Van Jefferson,2564358,WR,LA,@HOU,,,,,3,88,,,,,,8.01,33,10.30,8.01,2.29
Nick Westbrook-Ikhine,2565477,WR,TEN,@IND,,,,,2,16,1,,,,,1.91,34,9.40,1.91,7.49
Tyler Johnson,2565225,WR,TB,@NO,,,,,5,65,,,,,,4.44,35,9.00,4.44,4.56
Josh Palmer,2566502,WR,LAC,NE,,,,,1,24,1,,,,,2.40,36,8.90,2.4,6.5
Mecole Hardman,2562580,WR,KC,NYG,,,,,5,63,,,,,,8.10,37,8.80,8.1,0.7
Brandon Aiyuk,2565093,WR,SF,@CHI,,,,,4,45,,,,1,,6.53,38,8.50,6.53,1.97
Braxton Berrios,2560975,WR,NYJ,CIN,,,,,2,13,1,,,,,2.53,39,8.30,2.53,5.77
Tajae Sharpe,2555317,WR,ATL,CAR,,,,,5,58,,,,,,2.11,40,8.30,2.11,6.19
John Ross,2558010,WR,NYG,@KC,,,,,2,72,,,,,,2.98,41,8.20,2.98,5.22
Chase Claypool,2564970,WR,PIT,@CLE,,,,16,4,45,,,,,,10.94,42,8.10,10.94,-2.84
