PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Montravius Adams,2557876,DL,NO,,,,,,,,,,,,,,,,,,1,0.00
Myles Adams,2563620,DL,FA,,,,,,,,,,,,,,,,,,2,0.00
Mario Addison,2530474,DL,BUF,,,,,,,,,,,,,,,,,,3,0.00
McTelvin Agim,2563872,DL,DEN,,,,,,,,,,,,,,,,,,4,0.00
Jonathan Allen,2557844,DL,WAS,,,,,,,,,,,,,,,,,,5,0.00
Zach Allen,2562219,DL,ARI,,,,,,,,,,,,,,,,,,6,0.00
Tyson Alualu,496760,DL,PIT,,,,,,,,,,,,,,,,,,7,0.00
Auzoyah Alufohai,2564061,DL,FA,,,,,,,,,,,,,,,,,,8,0.00
Bradlee Anae,2563821,DL,FA,,,,,,,,,,,,,,,,,,9,0.00
Abdullah Anderson,2561088,DL,FA,,,,,,,,,,,,,,,,,,10,0.00
Henry Anderson,2552272,DL,NE,,,,,,,,,,,,,,,,,,11,0.00
Eli Ankou,2559132,DL,FA,,,,,,,,,,,,,,,,,,12,0.00
Arik Armstead,2552493,DL,SF,,,,,,,,,,,,,,,,,,13,0.00
Dorance Armstrong,2560959,DL,DAL,,,,,,,,,,,,,,,,,,14,0.00
Denico Autry,2550646,DL,TEN,,,,,,,,,,,,,,,,,,15,0.00
Genard Avery,2560964,DL,PHI,,,,,,,,,,,,,,,,,,16,0.00
David Bada,2565526,DL,FA,,,,,,,,,,,,,,,,,,17,0.00
Allen Bailey,2495116,DL,FA,,,,,,,,,,,,,,,,,,18,0.00
Ben Banogu,2562229,DL,IND,,,,,,,,,,,,,,,,,,19,0.00
Christian Barmore,2566328,DL,NE,,,,,,,,,,,,,,,,,,20,0.00
Derek Barnett,2557984,DL,PHI,,,,,,,,,,,,,,,,,,21,0.00
Alex Barrett,2559140,DL,FA,,,,,,,,,,,,,,,,,,22,0.00
Boogie Basham,2565863,DL,BUF,,,,,,,,,,,,,,,,,,23,0.00
Vic Beasley,2552301,DL,FA,,,,,,,,,,,,,,,,,,24,0.00
Andrew Billings,2555267,DL,CLE,,,,,,,,,,,,,,,,,,25,0.00
Ross Blacklock,2564064,DL,HOU,,,,,,,,,,,,,,,,,,26,0.00
Angelo Blackson,2552670,DL,CHI,,,,,,,,,,,,,,,,,,27,0.00
Amani Bledsoe,2562859,DL,TEN,,,,,,,,,,,,,,,,,,28,0.00
Joey Bosa,2555249,DL,LAC,,,,,,,,,,,,,,,,,,29,0.00
Nick Bosa,2562629,DL,SF,,,,,,,,,,,,,,,,,,30,0.00
Will Bradley-King,2566583,DL,FA,,,,,,,,,,,,,,,,,,31,0.00
Michael Brockers,2533050,DL,DET,,,,,,,,,,,,,,,,,,32,0.00
Cortez Broughton,2562823,DL,FA,,,,,,,,,,,,,,,,,,33,0.00
Andrew Brown,2560979,DL,FA,,,,,,,,,,,,,,,,,,34,0.00
Derrick Brown,2563629,DL,CAR,,,,,,,,,,,,,,,,,,35,0.00
Earnest Brown IV,2566202,DL,FA,,,,,,,,,,,,,,,,,,36,0.00
Malcom Brown,2552483,DL,JAX,,,,,,,,,,,,,,,,,,37,0.00
Taven Bryan,2560983,DL,JAX,,,,,,,,,,,,,,,,,,38,0.00
Austin Bryant,2562240,DL,DET,,,,,,,,,,,,,,,,,,39,0.00
Brandin Bryant,2556486,DL,FA,,,,,,,,,,,,,,,,,,40,0.00
DeForest Buckner,2555275,DL,IND,,,,,,,,,,,,,,,,,,41,0.00
Isaiah Buggs,2562241,DL,PIT,,,,,,,,,,,,,,,,,,42,0.00
Calvin Bundage,2565777,DL,FA,,,,,,,,,,,,,,,,,,43,0.00
Brian Burns,2562242,DL,CAR,,,,,,,,,,,,,,,,,,44,0.00
Adam Butler,2558924,DL,MIA,,,,,,,,,,,,,,,,,,45,0.00
Vernon Butler,2555243,DL,BUF,,,,,,,,,,,,,,,,,,46,0.00
Calais Campbell,744,DL,BAL,,,,,,,,,,,,,,,,,,47,0.00
Ron'Dell Carter,2563833,DL,FA,,,,,,,,,,,,,,,,,,48,0.00
K'Lavon Chaisson,2564166,DL,JAX,,,,,,,,,,,,,,,,,,49,0.00
Demarcus Christmas,2562246,DL,PIT,,,,,,,,,,,,,,,,,,50,0.00
Frank Clark,2552629,DL,KC,,,,,,,,,,,,,,,,,,51,0.00
Kenny Clark,2555282,DL,GB,,,,,,,,,,,,,,,,,,52,0.00
Tyler Clark,2563725,DL,FA,,,,,,,,,,,,,,,,,,53,0.00
Adrian Clayborn,2495140,DL,FA,,,,,,,,,,,,,,,,,,54,0.00
Kameron Cline,2564109,DL,FA,,,,,,,,,,,,,,,,,,55,0.00
Jadeveon Clowney,2543456,DL,CLE,,,,,,,,,,,,,,,,,,56,0.00
Trevon Coley,2556504,DL,TEN,,,,,,,,,,,,,,,,,,57,0.00
L.J. Collier,2562248,DL,SEA,,,,,,,,,,,,,,,,,,58,0.00
Maliek Collins,2555400,DL,HOU,,,,,,,,,,,,,,,,,,59,0.00
John Cominsky,2562249,DL,ATL,,,,,,,,,,,,,,,,,,60,0.00
Jonathon Cooper,2566028,DL,DEN,,,,,,,,,,,,,,,,,,61,0.00
Marquise Copeland,2562877,DL,FA,,,,,,,,,,,,,,,,,,62,0.00
Jashon Cornell,2563929,DL,DET,,,,,,,,,,,,,,,,,,63,0.00
