PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
George Kittle,2558266,TE,SF,ARI,,,,,6,101,1,,,,1,17.10,,6,6,6,8,75,1,1,1,1,17.10
Travis Kelce,2540258,TE,KC,GB,,,,,5,68,1,,,,,15.30,,5,5,5,8,63,1,1,1,2,15.30
Darren Waller,2552408,TE,LV,@NYG,,,,,7,92,,,,,,13.50,,7,7,7,11,64,3,,1,3,12.70
Stephen Anderson,2556463,TE,LAC,@PHI,,,,,4,39,1,,,,,32.10,,4,4,4,4,100,1,1,1,4,11.90
Donald Parham,2562394,TE,LAC,@PHI,,,,,3,39,1,,,,,32.10,,3,3,3,3,100,1,1,,5,11.40
Evan Engram,2557858,TE,NYG,LV,,,,,3,38,1,,,,,15.30,,3,3,3,3,100,,,,6,11.30
Geoff Swaim,2553454,TE,TEN,@LA,,,,,4,29,1,,,,,12.10,,4,4,4,4,100,1,1,1,7,10.90
Ryan Griffin,2541316,TE,NYJ,@IND,,,,,4,28,1,,,,,18.20,,4,4,4,7,57,2,2,,8,10.80
Dalton Schultz,2560866,TE,DAL,DEN,,,,,4,54,,,,,,9.10,,4,4,4,5,80,,,,9,9.10
Hunter Henry,2555341,TE,NE,@CAR,,,,,2,19,1,,,,,10.20,,2,2,2,3,67,2,1,,10,8.90
Jared Cook,71265,TE,LAC,@PHI,,,,,4,48,,,,1,,32.10,,4,4,4,4,100,,,,11,8.80
David Njoku,2557986,TE,CLE,@CIN,,,,,1,18,1,,,,,14.30,,1,1,1,3,33,3,1,3,12,8.30
Dan Arnold,2559385,TE,JAX,BUF,,,,,4,60,,,,,,9.40,,4,4,4,7,57,1,,1,13,8.00
Kyle Pitts,2565830,TE,ATL,@NO,,,,,3,62,,,,,,10.30,,3,3,3,7,43,2,1,1,14,7.70
Jack Doyle,2540232,TE,IND,NYJ,,,,,1,1,1,,,,,14.10,,1,1,1,2,50,1,1,1,15,7.60
Tyler Higbee,2555364,TE,LA,TEN,,,,,5,51,,,,,,7.60,,5,5,5,10,50,2,,2,16,7.60
Mike Gesicki,2560994,TE,MIA,HOU,,,,,4,54,,,,,,13.50,,4,4,4,8,50,,,,17,7.40
Tyler Conklin,2561027,TE,MIN,@BAL,,,,,5,45,,,,,,8.00,,5,5,5,7,71,1,,,18,7.00
Mark Andrews,2560957,TE,BAL,MIN,,,,,5,44,,,,,,8.10,,5,5,5,10,50,1,,,19,6.90
