PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Chris Boswell,2550545,K,PIT,CHI,2,1,,,,1,2,,,,7.69,1,14.00,7.69,6.31
Matt Gay,2562271,K,LA,TEN,1,,,1,1,,1,,,,7.80,2,12.00,7.8,4.2
Graham Gano,71309,K,NYG,LV,2,,,,3,,,,,,6.81,3,11.00,6.81,4.19
Chase McLaughlin,2563203,K,CLE,@CIN,5,,,2,,,,,,,6.75,4,11.00,6.75,4.25
Matthew Wright,2562968,K,JAX,BUF,,,,1,1,,1,,,,5.76,5,11.00,5.76,5.24
Ka'imi Fairbairn,2556521,K,HOU,@MIA,,,,1,1,1,,,,,7.27,6,10.00,7.27,2.73
Brandon McManus,2541556,K,DEN,@DAL,1,1,,1,,1,1,,,,6.97,7,10.00,6.97,3.03
Justin Tucker,2536340,K,BAL,MIN,4,,,,2,,,,,,8.02,8,10.00,8.02,1.98
Mike Badgley,2560965,K,IND,NYJ,6,,,,1,,,,,,6.78,9,9.00,6.78,2.22
Harrison Butker,2558245,K,KC,GB,1,,,1,,,1,,,,7.26,10,9.00,7.26,1.74
Brian Johnson,2566740,K,NO,ATL,1,,,,1,,1,,,,7.15,11,9.00,7.15,1.85
Younghoe Koo,2559205,K,ATL,@NO,3,,,1,1,,,,,,7.34,12,9.00,7.34,1.66
Cairo Santos,2550636,K,CHI,@PIT,3,,,1,1,,,,,,6.63,13,9.00,6.63,2.37
Daniel Carlson,2560993,K,LV,@NYG,1,,,2,1,,,,1,,6.48,14,8.00,6.48,1.52
Tyler Bass,2563596,K,BUF,@JAX,,,,1,,1,,,,,6.65,15,7.00,6.65,0.35
Zane Gonzalez,2558178,K,CAR,NE,,,,,1,1,,,,,7.84,16,7.00,7.84,-0.84
Greg Joseph,2561534,K,MIN,@BAL,4,,,,1,,,,,,7.20,17,7.00,7.2,-0.2
Matt Prater,2506677,K,ARI,@SF,4,,,1,,,,,,,6.32,18,7.00,6.32,0.68
