PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Tom Brady,2504211,QB,TB,2650,25,5,39,,,,,,,3,24.96,14,,14,,,,,6,4,1,199.90
Lamar Jackson,2560757,QB,BAL,2209,13,7,600,,,,,,2,5,19.53,97,,97,,,,,14,6,2,195.93
Matthew Stafford,79860,QB,LA,2771,23,6,37,,,,,,1,1,19.53,22,,22,,,,,6,2,3,195.54
Josh Allen,2560955,QB,BUF,2236,17,5,319,,,,,,1,5,18.35,57,,57,,,,,17,7,4,194.67
Jalen Hurts,2564832,QB,PHI,1981,11,4,494,,,,,,3,5,14.12,83,,83,,1,,1,22,12,5,191.94
Patrick Mahomes,2558125,QB,KC,2534,20,10,227,,,,,,,5,16.08,37,,37,,,,,7,2,6,181.83
Justin Herbert,2565045,QB,LAC,2350,18,6,95,,,,,,3,1,18.34,28,,28,,,,,12,6,7,179.50
Kyler Murray,2562382,QB,ARI,2276,17,7,147,,,,,,,7,16.47,49,,49,,,,,17,4,8,170.71
Joe Burrow,2563722,QB,CIN,2497,20,11,44,,,,,,1,2,,,,,,,,,,,9,163.55
Carson Wentz,2555259,QB,IND,2198,17,3,121,,,,,,1,5,19.24,29,,29,,,,,8,6,10,161.02
Kirk Cousins,2532820,QB,MIN,2140,16,2,76,,,,,,,4,14.25,12,,12,,,,,2,2,11,155.60
Aaron Rodgers,2506363,QB,GB,1894,17,3,47,1,-4,,,,,,17.74,18,1,19,1,1,100,1,5,3,12,154.56
Ryan Tannehill,2532956,QB,TEN,2145,11,8,168,,,,,,1,3,16.77,25,,25,,,,,7,4,13,153.30
Dak Prescott,2555260,QB,DAL,2045,18,5,86,,,,,,1,6,20.50,24,,24,,,,,8,7,14,146.87
Teddy Bridgewater,2543465,QB,DEN,2163,14,5,69,,,,,,1,1,17.22,21,,21,,,,,9,4,15,145.42
Matt Ryan,310,QB,ATL,2157,15,6,37,,,,,,1,4,19.29,17,,17,,,,,5,1,16,138.78
Daniel Jones,2562299,QB,NYG,2059,8,5,258,1,16,,,,3,7,,,,,,,,,,,17,137.89
Derek Carr,2543499,QB,LV,2565,13,7,34,,,,,,,6,21.32,22,,22,,,,,5,2,18,135.33
Taylor Heinicke,2553656,QB,WAS,1928,11,9,232,1,-2,,,,,4,18.64,36,1,37,1,1,100,,8,7,19,130.32
