PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Jonathan Taylor,2564148,RB,IND,,,,937,9,29,303,1,,,,3,16.51,161,29,190,29,35,83,3,54,25,1,194.50
Derrick Henry,2556075,RB,TEN,5,1,,937,10,18,154,,,,1,1,23.87,219,18,237,18,20,90,2,36,14,2,183.30
Austin Ekeler,2559169,RB,LAC,,,,523,5,39,340,4,,,1,2,19.29,112,39,151,39,51,76,8,36,13,3,157.80
Najee Harris,2566448,RB,PIT,,,,646,4,44,317,2,,,,,25.96,176,44,220,44,56,79,11,26,13,4,156.93
Joe Mixon,2557976,RB,CIN,,,,636,7,22,194,2,,,,1,24.22,150,22,172,22,26,85,4,17,11,5,148.80
Ezekiel Elliott,2555224,RB,DAL,4,,,663,7,26,168,1,,,2,1,20.51,142,26,168,26,32,81,9,36,16,6,147.96
Alvin Kamara,2558019,RB,NO,,,,530,3,32,310,4,,,,,24.78,146,32,178,32,44,73,7,29,16,7,143.70
Aaron Jones,2558116,RB,GB,,,,541,3,37,298,4,,,,2,23.76,123,37,160,37,47,79,11,37,12,8,140.40
James Conner,2557978,RB,ARI,,,,493,11,13,136,1,,,,2,28.27,125,13,138,13,14,93,,27,13,9,138.40
Cordarrelle Patterson,2540145,RB,ATL,,,,303,2,39,473,5,,,,2,21.23,77,39,116,39,49,80,9,21,5,10,137.60
D'Andre Swift,2563965,RB,DET,,,,419,3,50,420,2,,,,1,20.56,123,50,173,50,63,79,9,24,12,11,136.90
Darrell Henderson,2562574,RB,LA,,,,593,5,23,154,2,,,,,,,,,,,,,,,12,128.20
Leonard Fournette,2557973,RB,TB,,,,486,4,38,284,,,,,1,25.24,112,38,150,38,48,79,10,33,14,13,118.80
Nick Chubb,2561021,RB,CLE,,,,721,6,8,69,,,,,2,28.14,120,8,128,8,8,100,,28,8,14,117.70
Melvin Gordon,2552469,RB,DEN,,,,522,5,21,161,2,,,,2,,,,,,,,,,,15,116.80
James Robinson,2564223,RB,JAX,,,,539,6,22,160,,,,,2,22.69,100,22,122,22,29,76,2,19,12,16,116.30
