PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Travis Kelce,2540258,TE,KC,,,,,49,560,4,,,,1,10.60,,49,49,49,71,69,7,6,3,1,104.20
Mark Andrews,2560957,TE,BAL,,,,,37,516,3,,,2,1,7.40,,37,37,37,51,73,7,5,3,2,92.80
T.J. Hockenson,2562378,TE,DET,,,,,48,448,2,,,1,,,,,,,,,,,,3,84.50
Mike Gesicki,2560994,TE,MIA,,,,,40,475,2,,,1,,14.71,,40,40,40,55,73,4,4,3,4,83.20
Dawson Knox,2562681,TE,BUF,,,,,21,286,5,,,1,,13.67,,21,21,21,27,78,7,5,4,5,76.30
Kyle Pitts,2565830,TE,ATL,,,,,33,484,1,,,,,6.56,,33,33,33,50,66,8,2,5,6,72.60
Noah Fant,2562383,TE,DEN,,,,,37,320,3,,,,,12.77,,37,37,37,53,70,11,8,4,7,71.90
Dalton Schultz,2560866,TE,DAL,,,,,33,370,3,,,,,6.16,,33,33,33,44,75,4,2,2,8,71.50
C.J. Uzomah,2552559,TE,CIN,,,,,21,289,5,,,,,9.04,,21,21,21,23,91,1,1,1,9,69.40
Darren Waller,2552408,TE,LV,,,,,33,378,2,,,,,9.66,,33,33,33,53,62,9,5,5,10,68.00
Hunter Henry,2555341,TE,NE,,,,,25,297,4,,,,,9.54,,25,25,25,35,71,7,4,2,11,66.20
Zach Ertz,2540158,TE,ARI,,,,4,25,297,3,,,,,8.31,1,25,26,25,40,63,8,5,5,12,60.60
Dallas Goedert,2560995,TE,PHI,,,,,24,358,2,,,1,1,14.21,,24,24,24,31,77,6,4,3,13,59.80
Tyler Higbee,2555364,TE,LA,,,,,30,273,2,,,,1,7.93,,30,30,30,36,83,12,9,2,14,52.30
Jared Cook,71265,TE,LAC,,,,,23,260,2,,,,,13.64,,23,23,23,38,61,5,3,2,15,51.20
Rob Gronkowski,497240,TE,TB,,,,,16,184,4,,,,,,,,,,,,,,,16,50.40
Mo Alie-Cox,2558832,TE,IND,,,,,13,177,4,,,,,12.73,,13,13,13,25,52,4,3,2,17,49.90
David Njoku,2557986,TE,CLE,,,,,20,323,1,,,,,7.94,,20,20,20,24,83,2,2,,18,49.30
