PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Cooper Kupp,2557898,WR,LA,,,,-5,74,1019,10,,,,,28.65,1,74,75,74,103,72,22,16,7,1,200.10
Tyreek Hill,2556214,WR,KC,,,,59,68,772,6,,,,1,22.14,6,68,74,68,101,67,12,9,5,2,152.80
Ja'Marr Chase,2565941,WR,CIN,,,,7,44,835,7,,,,2,,,,,,,,,,,3,146.70
Deebo Samuel,2562721,WR,SF,,,,22,49,882,4,,,,2,28.88,6,49,55,49,81,60,7,6,4,4,140.90
Marquise Brown,2562379,WR,BAL,,,,5,46,682,6,,,,1,36.10,1,46,47,46,69,67,7,4,2,5,127.40
Davante Adams,2543495,WR,GB,,,,,58,786,3,,,,,29.86,,58,58,58,87,67,12,7,3,6,127.30
DK Metcalf,2562685,WR,SEA,,,,,39,580,8,,,,1,25.84,,39,39,39,56,70,8,7,2,7,125.20
Mike Evans,2543468,WR,TB,,,,,39,544,8,,,,,36.35,,39,39,39,63,62,12,8,6,8,123.60
D.J. Moore,2560813,WR,CAR,,,,35,53,677,3,,,,1,30.87,7,53,60,53,88,60,9,5,5,9,121.30
Chris Godwin,2558105,WR,TB,,,,2,50,660,4,,,,1,36.35,1,50,51,50,69,72,16,13,4,10,120.90
Michael Pittman,2564136,WR,IND,,,,8,50,658,5,,,,1,32.43,2,50,52,50,71,70,10,5,7,11,119.60
Robert Woods,2540169,WR,LA,,,,46,45,556,4,,,1,,28.65,8,45,53,45,69,65,16,11,5,12,116.40
Mike Williams,2558846,WR,LAC,,,,,37,575,6,,,1,,33.45,,37,37,37,66,56,11,5,5,13,114.00
Adam Thielen,2541785,WR,MIN,,,,2,45,477,7,,,,1,21.89,1,45,46,45,66,68,11,9,6,14,111.40
Justin Jefferson,2564556,WR,MIN,11,,,11,46,632,4,,,,1,21.89,1,46,47,46,68,68,10,6,3,15,109.74
CeeDee Lamb,2563848,WR,DAL,,,,18,41,632,4,,,,,31.78,4,41,45,41,66,62,6,5,2,16,109.50
DeAndre Hopkins,2540165,WR,ARI,,,,,35,486,7,,,,,24.09,,35,35,35,49,71,11,7,8,17,108.10
Terry McLaurin,2562489,WR,WAS,,,,12,43,573,4,,,,,32.68,1,43,44,43,76,57,6,3,2,18,107.40
Brandin Cooks,2543498,WR,HOU,,,,5,57,641,2,,,,,,,,,,,,,,,19,106.80
Amari Cooper,2552487,WR,DAL,,,,,40,532,5,,,,1,31.78,,40,40,40,61,66,10,6,2,20,101.20
Christian Kirk,2560781,WR,ARI,33,,,11,40,545,4,,,,,24.09,1,40,41,40,48,83,5,5,3,21,100.92
Stefon Diggs,2552608,WR,BUF,,,,,48,588,3,,,,1,26.29,,48,48,48,73,66,13,9,4,22,100.50
Keenan Allen,2540154,WR,LAC,,,,,57,600,2,,,,1,33.45,,57,57,57,82,70,14,9,4,23,100.20
A.J. Brown,2562238,WR,TEN,,,,3,40,551,3,,,,,36.16,1,40,41,40,65,62,6,3,3,24,100.20
Diontae Johnson,2562674,WR,PIT,,,,36,45,530,3,,,,,29.79,3,45,48,45,69,65,7,5,3,25,98.80
Tyler Lockett,2552430,WR,SEA,,,,,41,579,3,,,,,25.84,,41,41,41,58,71,3,1,,26,98.10
Jaylen Waddle,2566292,WR,MIA,,,,2,56,496,3,,,,2,27.75,1,56,57,56,78,72,8,5,4,27,96.90
Courtland Sutton,2560888,WR,DEN,,,,,41,588,2,,,1,,24.72,,41,41,41,64,64,10,7,4,28,93.30
Tim Patrick,2558985,WR,DEN,,,,,34,509,4,,,,,24.72,,34,34,34,47,72,6,3,4,29,91.90
Darnell Mooney,2563707,WR,CHI,,,,25,36,450,2,,,,,,,,,,,,,,,30,88.60
Emmanuel Sanders,497322,WR,BUF,,,,7,28,478,4,,,,,26.29,1,28,29,28,51,55,7,3,2,31,87.50
DeVonta Smith,2566409,WR,PHI,,,,,38,537,2,,,1,1,28.96,,38,38,38,62,61,3,2,2,32,84.70
Hunter Renfrow,2562712,WR,LV,,,,,45,448,3,,,,2,29.21,,45,45,45,60,75,10,8,4,33,83.80
Antonio Brown,2508061,WR,TB,,,,6,29,418,4,,,,,36.35,1,29,30,29,42,69,3,2,1,34,80.90
A.J. Green,2495450,WR,ARI,,,,,29,456,3,,,,,24.09,,29,29,29,43,67,9,4,7,35,79.80
Cole Beasley,2535698,WR,BUF,,,,,51,446,1,,,,,26.29,,51,51,51,67,76,9,7,2,36,76.10
Tee Higgins,2563731,WR,CIN,,,,,35,431,2,,,1,1,,,,,,,,,,,37,76.00
Marvin Jones,2532884,WR,JAX,,,,,36,399,3,,,,,35.62,,36,36,36,60,60,8,2,5,38,75.90
Van Jefferson,2564358,WR,LA,,,,,27,433,3,,,,,28.65,,27,27,27,46,59,8,3,4,39,74.80
Kendrick Bourne,2558914,WR,NE,25,1,,28,29,422,2,,,,1,30.11,2,29,31,29,39,74,2,1,1,40,74.50
Tyler Boyd,2555466,WR,CIN,46,,,,38,409,2,,,,,,,,,,,,,,,41,73.74
Henry Ruggs III,2564433,WR,FA,,,,16,24,469,2,,,,,,,,,,,,,,,42,72.50
