PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Ameer Abdullah,2552374,RB,LV,IND,,,,,,,,,,,,,2.01,1,0.00,-2.01
Josh Adams,2560949,RB,FA,Bye,,,,,,,,,,,,,,2,0.00,
Salvon Ahmed,2565090,RB,MIA,CLE,,,,,,,,,,,,,1.22,3,0.00,-1.22
Cam Akers,2564319,RB,LA,ARI,,,,,,,,,,,,,10.90,4,0.00,-10.9
Tyler Allgeier,2567232,RB,ATL,@CAR,,,,,,,,,,,,,5.58,5,0.00,-5.58
Darius Anderson,2563824,RB,HOU,@NYG,,,,,,,,,,,,,,6,0.00,
Alex Armah,2558833,RB,FA,Bye,,,,,,,,,,,,,,7,0.00,
Ryquell Armstead,2562622,RB,FA,Bye,,,,,,,,,,,,,,8,0.00,
Tyler Badie,2567265,RB,BAL,Bye,,,,,,,,,,,,,,9,0.00,
Jake Bargas,2564508,RB,FA,Bye,,,,,,,,,,,,,,10,0.00,
Saquon Barkley,2560968,RB,NYG,HOU,,,,,,,,,,,,,17.79,11,0.00,-17.79
Kenjon Barner,2539289,RB,TB,SEA,,,,,,,,,,,,,,12,0.00,
Nick Bawden,2560972,RB,NYJ,Bye,,,,,,,,,,,,,,13,0.00,
B.J. Baylor,2567568,RB,ATL,@CAR,,,,,,,,,,,,,0.00,14,0.00,0.0
Nick Bellore,2495262,RB,SEA,@TB,,,,,,,,,,,,,0.00,15,0.00,0.0
Eno Benjamin,2564889,RB,ARI,@LA,,,,,,,,,,,,,4.91,16,0.00,-4.91
Giovani Bernard,2540156,RB,TB,SEA,,,,,,,,,,,,,,17,0.00,
Khari Blasingame,2562869,RB,CHI,DET,,,,,,,,,,,,,0.60,18,0.00,-0.6
Brandon Bolden,2532797,RB,LV,IND,,,,,,,,,,,,,3.13,19,0.00,-3.13
Reggie Bonnafon,2561184,RB,FA,Bye,,,,,,,,,,,,,,20,0.00,
Mike Boone,2561099,RB,DEN,@TEN,,,,,,,,,,,,,2.36,21,0.00,-2.36
Darius Bradwell,2565015,RB,FA,Bye,,,,,,,,,,,,,,22,0.00,
Matt Breida,2558918,RB,NYG,HOU,,,,,,,,,,,,,2.82,23,0.00,-2.82
Gary Brightwell,2566364,RB,NYG,HOU,,,,,,,,,,,,,1.51,24,0.00,-1.51
Kennedy Brooks,2568060,RB,PHI,WAS,,,,,,,,,,,,,0.00,25,0.00,0.0
Brittain Brown,2567868,RB,LV,IND,,,,,,,,,,,,,0.00,26,0.00,0.0
Malcolm Brown,2552382,RB,LA,ARI,,,,,,,,,,,,,0.00,27,0.00,0.0
Spencer Brown,2565558,RB,FA,Bye,,,,,,,,,,,,,,28,0.00,
Rex Burkhead,2539265,RB,HOU,@NYG,,,,,,,,,,,,,6.11,29,0.00,-6.11
Michael Burton,2552636,RB,KC,JAX,,,,,,,,,,,,,0.88,30,0.00,-0.88
Jason Cabinda,2560986,RB,DET,@CHI,,,,,,,,,,,,,,31,0.00,
Raymond Calais,2565207,RB,FA,Bye,,,,,,,,,,,,,,32,0.00,
Trenton Cannon,2561137,RB,TEN,DEN,,,,,,,,,,,,,,33,0.00,
Chris Carson,2558865,RB,FA,Bye,,,,,,,,,,,,,,34,0.00,
Cethan Carter,2558929,RB,MIA,CLE,,,,,,,,,,,,,0.00,35,0.00,0.0
Michael Carter,2566382,RB,NYJ,Bye,,,,,,,,,,,,,,36,0.00,
