PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Zay Jones,2557863,WR,JAX,DAL,,,,,,6,109,3,,,,,10.51,1,31.90,21.39
K.J. Osborn,2564574,WR,MIN,IND,,,,,,10,157,1,,,,,5.39,2,26.70,21.31
A.J. Brown,2562238,WR,PHI,@CHI,,,,,,9,181,,,,,,14.34,3,24.30,9.96
Justin Jefferson,2564556,WR,MIN,IND,,,,,,12,123,1,,,,,17.75,4,24.30,6.55
Russell Gage,2561061,WR,TB,CIN,,,,,,8,59,2,,,,,8.08,5,21.90,13.82
Noah Brown,2558091,WR,DAL,@JAX,,,,,,6,49,2,,,,,5.14,6,19.90,14.76
Jaylen Waddle,2566292,WR,MIA,@BUF,,,,,,3,114,1,,,,,11.51,7,18.90,7.39
Jahan Dotson,2568321,WR,WAS,NYG,,,,,,4,105,1,,,,,6.65,8,18.50,11.85
Chris Godwin,2558105,WR,TB,CIN,,,,,,8,83,1,,,,,11.27,9,18.30,7.03
Tyreek Hill,2556214,WR,MIA,@BUF,,,,,,9,69,1,,,,,17.77,10,17.40,-0.37
Ja'Marr Chase,2565941,WR,CIN,@TB,,,,,,7,60,1,,,,,16.79,11,17.20,0.41
Rashid Shaheed,2569110,WR,NO,ATL,,,,,,3,95,1,,,,,4.37,12,17.00,12.63
CeeDee Lamb,2563848,WR,DAL,@JAX,,,,1,,7,126,,,,,,14.18,13,16.20,2.02
D.J. Moore,2560813,WR,CAR,PIT,,,,,,5,73,1,,,,,9.61,14,15.80,6.19
DeVonta Smith,2566409,WR,PHI,@CHI,,,,,,5,126,,,,,,11.76,15,15.10,3.34
Diontae Johnson,2562674,WR,PIT,@CAR,,,,2,,10,98,,,,,,10.14,16,15.00,4.86
Michael Pittman,2564136,WR,IND,@MIN,,,,30,,10,60,,,,,,11.73,17,14.00,2.27
Tee Higgins,2563731,WR,CIN,@TB,,,,,,5,33,1,,,1,,13.43,18,13.80,0.37
Kalif Raymond,2556661,WR,DET,@NYJ,,,,,,5,53,,1,,,,2.77,19,13.80,11.03
Adam Thielen,2541785,WR,MIN,IND,,,,,,3,41,1,,,,,9.62,20,13.30,3.68
Keenan Allen,2540154,WR,LAC,TEN,,,,,,8,86,,,,,,11.85,21,12.60,0.75
JuJu Smith-Schuster,2558149,WR,KC,@HOU,,,,,,10,88,,,,,1,10.70,22,12.60,1.9
Mike Evans,2543468,WR,TB,CIN,,,,,,5,83,,,,,,9.02,23,12.50,3.48
Christian Kirk,2560781,WR,JAX,DAL,,,,,,6,92,,,,,,11.25,24,12.20,0.95
Tyler Boyd,2555466,WR,CIN,@TB,,,,,,5,35,1,,,,,7.38,25,12.00,4.62
Keelan Cole,2559153,WR,LV,NE,,,,,,2,50,1,,,,,1.47,26,12.00,10.53
Mack Hollins,2558262,WR,LV,NE,,,,,,4,40,1,,,,,6.86,27,12.00,5.14
Garrett Wilson,2568048,WR,NYJ,DET,,,,,,4,98,,,,,,12.28,28,11.80,-0.48
Amon-Ra St. Brown,2566073,WR,DET,@NYJ,,,,6,,7,76,,,,,,15.52,29,11.70,-3.82
Jerry Jeudy,2563896,WR,DEN,ARI,,,,,,7,76,,,,,,12.73,30,11.10,-1.63
Donovan Peoples-Jones,2563803,WR,CLE,BAL,,,,,,4,31,1,,,,,9.64,31,11.10,1.46
Byron Pringle,2560844,WR,CHI,PHI,,,,,,2,39,1,,,,,5.87,32,10.90,5.03
