PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Johnathan Abram,2562616,DB,LV,Bye,,,,,,,,,,,,,,,,,,1,0.00
DeMarkus Acy,2565087,DB,FA,Bye,,,,,,,,,,,,,,,,,,2,0.00
Jamal Adams,2557979,DB,SEA,ARI,,,,,,,,,,,,,,,,,,3,0.00
Nasir Adderley,2562617,DB,LAC,DEN,,,,,,,,,,,,,,,,,,4,0.00
Paulson Adebo,2566346,DB,NO,CIN,,,,,,,,,,,,,,,,,,5,0.00
Jaire Alexander,2560952,DB,GB,NYJ,,,,,,,,,,,,,,,,,,6,0.00
Dee Alford,2567244,DB,ATL,SF,,,,,,,,,,,,,,,,,,7,0.00
Marcus Allen,2560956,DB,PIT,TB,,,,,,,,,,,,,,,,,,8,0.00
Ugo Amadi,2562464,DB,TEN,Bye,,,,,,,,,,,,,,,,,,9,0.00
Adrian Amos,2552385,DB,GB,NYJ,,,,,,,,,,,,,,,,,,10,0.00
Tycen Anderson,2567442,DB,CIN,@NO,,,,,,,,,,,,,,,,,,11,0.00
Zayne Anderson,2566977,DB,KC,BUF,,,,,,,,,,,,,,,,,,12,0.00
Troy Apke,2560958,DB,FA,Bye,,,,,,,,,,,,,,,,,,13,0.00
Eli Apple,2555277,DB,CIN,@NO,,,,,,,,,,,,,,,,,,14,0.00
Jalyn Armour-Davis,2567262,DB,BAL,@NYG,,,,,,,,,,,,,,,,,,15,0.00
Cornell Armstrong,2561147,DB,ATL,SF,,,,,,,,,,,,,,,,,,16,0.00
Blessuan Austin,2562468,DB,FA,Bye,,,,,,,,,,,,,,,,,,17,0.00
Anthony Averett,2560963,DB,LV,Bye,,,,,,,,,,,,,,,,,,18,0.00
Chidobe Awuzie,2557840,DB,CIN,@NO,,,,,,,,,,,,,,,,,,19,0.00
Budda Baker,2558009,DB,ARI,@SEA,,,,,,,,,,,,,,,,,,20,0.00
Deandre Baker,2562227,DB,FA,Bye,,,,,,,,,,,,,,,,,,21,0.00
Corey Ballentine,2562228,DB,GB,NYJ,,,,,,,,,,,,,,,,,,22,0.00
Luq Barcoo,2564160,DB,FA,Bye,,,,,,,,,,,,,,,,,,23,0.00
Kalon Barnes,2567343,DB,MIA,MIN,,,,,,,,,,,,,,,,,,24,0.00
Essang Bassey,2563875,DB,DEN,@LAC,,,,,,,,,,,,,,,,,,25,0.00
Jessie Bates,2560970,DB,CIN,@NO,,,,,,,,,,,,,,,,,,26,0.00
Vonn Bell,2555530,DB,CIN,@NO,,,,,,,,,,,,,,,,,,27,0.00
