PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Wil Lutz,2556601,K,NO,CIN,2,,,,4,,,,,,1,14.00
Ryan Succop,89802,K,TB,@PIT,,,,2,1,,1,,,,2,14.00
Dustin Hopkins,2539227,K,LAC,DEN,1,,,,4,,,,,,3,13.00
Brandon McManus,2541556,K,DEN,@LAC,1,,,1,,1,1,,,,4,13.00
Jason Myers,2553112,K,SEA,ARI,1,,,1,3,,,,,,5,13.00
Cade York,2567487,K,CLE,NE,,,,,1,1,1,,,,6,12.00
Harrison Butker,2558245,K,KC,BUF,2,,,,,1,1,,,,7,11.00
Chris Boswell,2550545,K,PIT,TB,2,,,1,,,1,,,,8,10.00
Jake Elliott,2558172,K,PHI,DAL,2,,,,1,,1,,,,9,10.00
Chase McLaughlin,2563203,K,IND,JAX,2,,,1,,1,,,,,10,9.00
Greg Zuerlein,2534797,K,NYJ,@GB,3,,,1,1,,,,,,11,9.00
Nick Folk,2507225,K,NE,@CLE,5,,1,,,,,,,,12,8.00
Evan McPherson,2565953,K,CIN,@NO,3,,,,,,1,,,,13,8.00
Justin Tucker,2536340,K,BAL,@NYG,2,,,1,1,,,,,,14,8.00
Tyler Bass,2563596,K,BUF,@KC,3,,,,1,,,,,,15,6.00
Graham Gano,71309,K,NYG,BAL,3,,,,1,,,,,,16,6.00
Matt Gay,2562271,K,LA,CAR,3,,,1,,,,,,,17,6.00
Joey Slye,2563132,K,WAS,@CHI,,,,1,1,,,,,,18,6.00
Brett Maher,2540243,K,DAL,@PHI,2,,,,1,,,,,,19,5.00
Eddy Pineiro,2560842,K,CAR,@LA,1,,,,,1,,,,,20,5.00
Jason Sanders,2561153,K,MIA,MIN,1,,,,,1,,,,,21,5.00
Mason Crosby,2507232,K,GB,NYJ,1,,,1,,,,,,,22,4.00
Younghoe Koo,2559205,K,ATL,SF,4,,,,,,,,,,23,4.00
Riley Patterson,2567013,K,JAX,@IND,3,,,,,,,,,,24,3.00
Robbie Gould,2506264,K,SF,@ATL,2,,,,,,,,,,25,2.00
Greg Joseph,2561534,K,MIN,@MIA,1,1,,,1,,,,,,26,1.00
Cairo Santos,2550636,K,CHI,WAS,1,,,,,,,,,,27,1.00
Matt Ammendola,2565555,K,FA,Bye,,1,,1,,,,,,,28,0.00
Mike Badgley,2560965,K,DET,Bye,,,,,,,,,,,29,0.00
Taylor Bertolet,2556472,K,LAC,DEN,,,,,,,,,,,30,0.00
Rodrigo Blankenship,2564106,K,FA,Bye,,,,,,,,,,,31,0.00
Jose Borregales,2567139,K,FA,Bye,,,,,,,,,,,32,0.00
Randy Bullock,2533444,K,TEN,Bye,,,,,,,,,,,33,0.00
Daniel Carlson,2560993,K,LV,Bye,,,,,,,,,,,34,0.00
Cameron Dicker,2568435,K,LAC,DEN,,,,,,,,,,,35,0.00
Dominik Eberle,2565360,K,FA,Bye,,,,,,,,,,,36,0.00
Ka'imi Fairbairn,2556521,K,HOU,Bye,,,,,,,,,,,37,0.00
Jonathan Garibay,2568684,K,FA,Bye,,,,,,,,,,,38,0.00
Zane Gonzalez,2558178,K,CAR,@LA,,,,,,,,,,,39,0.00
Brian Johnson,2566740,K,FA,Bye,,,,,,,,,,,40,0.00
Josh Lambo,2553833,K,FA,Bye,,,,,,,,,,,41,0.00
James McCourt,2569215,K,JAX,@IND,,,,,,,,,,,42,0.00
Andrew Mevis,2567754,K,FA,Bye,,,,,,,,,,,43,0.00
JJ Molson,2565550,K,FA,Bye,,,,,,,,,,,44,0.00
Chris Naggar,2565744,K,FA,Bye,,,,,,,,,,,45,0.00
Quinn Nordin,2565684,K,NE,@CLE,,,,,,,,,,,46,0.00
Matt Prater,2506677,K,ARI,@SEA,,,,,,,,,,,47,0.00
Aldrick Rosas,2556771,K,FA,Bye,,,,,,,,,,,48,0.00
Ryan Santoso,2561269,K,FA,Bye,,,,,,,,,,,49,0.00
Nick Sciba,2569450,K,FA,Bye,,,,,,,,,,,50,0.00
Austin Seibert,2562729,K,FA,Bye,,,,,,,,,,,51,0.00
Caleb Shudak,2568843,K,TEN,Bye,,,,,,,,,,,52,0.00
Sam Sloman,2564397,K,FA,Bye,,,,,,,,,,,53,0.00
Jake Verity,2566731,K,FA,Bye,,,,,,,,,,,54,0.00
Tristan Vizcaino,2562807,K,NE,@CLE,,,,,,,,,,,55,0.00
Matthew Wright,2562968,K,PIT,TB,,,,,,,,,,,56,0.00
