PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
DeForest Buckner,2555275,DL,IND,JAX,4,3,1,1,,1,1,,1,,,,,,2,,26,1,21.67
Montez Sweat,2562749,DL,CHI,GB,4,1,1.5,2,,2,,,,,,,,,1,,,2,20.10
Brian Burns,2562242,DL,CAR,@ATL,5,2,2,2,,1,,,,,,,,,1,,,3,19.70
Derrick Brown,2563629,DL,CAR,@ATL,8,,1,2,,,,,,,,,,,1,,,4,17.50
Drake Jackson,2568213,DL,SF,@PIT,3,,3,2,,,,,,,,,,,3,,,5,15.00
Dorance Armstrong,2560959,DL,DAL,@NYG,3,,2,3,,,,,,,,,,,2,,,6,14.00
Michael Danna,2564262,DL,KC,DET,4,2,1,1,,,,,,,,,,1,1,,,7,13.70
Denico Autry,2550646,DL,TEN,@NO,4,1,1.5,1,,,,,,,,,,,4,,,8,13.10
Jordan Davis,2568069,DL,PHI,@NE,3,3,0.5,1,,1,,,,,,,,,1,,,9,12.80
Osa Odighizuwa,2566016,DL,DAL,@NYG,2,2,2,2,,,,,,,,,,,3,,,10,12.70
Jonathan Greenard,2564070,DL,HOU,@BAL,4,1,1,2,,,,,,,,,,,1,,,11,12.10
Quinton Jefferson,2555358,DL,NYJ,BUF,2,1,2,2,,,,,,,,,,,3,,,12,12.10
Jermaine Johnson II,2568033,DL,NYJ,BUF,4,1,1,2,,,,,,,,,,,1,,,13,12.10
Harrison Phillips,2560840,DL,MIN,TB,5,3,,,,,,,,,,,,1,,,,14,11.80
Will Anderson Jr.,2569834,DL,HOU,@BAL,4,2,1,1,,,,,,,,,,,2,,,15,11.70
Jonathan Allen,2557844,DL,WAS,ARI,3,1,1,2,,,,,,,,,,,3,,,16,11.60
Cameron Jordan,2495184,DL,NO,TEN,2,3,0.5,,,,,,,,,,,2,1,,,17,11.30
Jeffery Simmons,2562733,DL,TEN,@NO,3,2,1,2,,,,,,,,,,,1,,,18,11.20
George Karlaftis,2567796,DL,KC,DET,3,4,,1,,,,,,,,,,1,,,,19,10.90
Yannick Ngakoue,2555421,DL,CHI,GB,3,1,1,2,,,,,,,,,,,1,,,20,10.60
Kwity Paye,2565612,DL,IND,JAX,3,1,1,2,,,,,,,,,,,1,,,21,10.60
Devonte Wyatt,2567640,DL,GB,@CHI,2,1,1.5,2,,,,,,,,,,,2,,,22,10.60
Ed Oliver,2562322,DL,BUF,@NYJ,3,2,0.5,1,,,,,,,,,,,3,,,23,9.70
Carlos Watkins,2557877,DL,ARI,@WAS,3,2,1,1,,,,,,,,,,,1,,,24,9.70
Maxx Crosby,2562439,DL,LV,@DEN,2,3,1,1,,,,,,,,,,,2,,,25,9.30
Carl Granderson,2562273,DL,NO,TEN,1,2,1.5,1,,,,,,,,,,,4,,,26,9.20
Trey Hendrickson,2557943,DL,CIN,@CLE,1,2,1,1,,,,,,,,,,1,1,,,27,9.20
David Onyemata,2556274,DL,ATL,CAR,2,2,,1,,,,,,,,,,1,2,,,28,9.20
Zach Sieler,2561129,DL,MIA,@LAC,3,1,1,1,,,,,,,,,,,1,,,29,9.10
Jonathan Ledbetter,2562302,DL,ARI,@WAS,3,3,1,,,,,,,,,,,,1,,,30,8.80
Grover Stewart,2558766,DL,IND,JAX,4,1,,1,,,,,,,,,,,1,,,31,8.60
Myles Garrett,2557965,DL,CLE,CIN,2,,1,1,,,,,,,,,,,4,,,32,8.50
Jordan Phillips,2552492,DL,BUF,@NYJ,3,,1,1,,,,,,,,,,,1,,,33,8.50
Leonard Floyd,2555285,DL,BUF,@NYJ,1,2,1.5,1,,,,,,,,,,,2,,,34,8.20
Chauncey Golston,2566007,DL,DAL,@NYG,1,1,1,,,1,,,,,,,,,1,,,35,8.10
B.J. Hill,2560740,DL,CIN,@CLE,3,1,1,,,,,,,,,,,,2,,,36,8.10
John Franklin-Myers,2560731,DL,NYJ,BUF,1,3,1,1,,,,,,,,,,,2,,,37,7.80
