PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Tua Tagovailoa,2564499,QB,MIA,@LAC,466,3,1,5,,,,,,,,2,25.84,5,,5,,,,,1,1,1,25.84
Mac Jones,2566334,QB,NE,PHI,316,3,1,15,,,,,,,,,24.14,2,,2,,,,,,,2,24.14
Jordan Love,2564007,QB,GB,@CHI,245,3,,12,,,,,,,,1,20.97,3,,3,,,,,,,3,22.00
Anthony Richardson,2569864,QB,IND,JAX,223,1,1,40,1,,,,,,,,20.92,10,,10,,,,,4,2,4,20.92
Justin Herbert,2565045,QB,LAC,MIA,229,1,,17,1,,,,,,,,20.86,5,,5,,,,,1,1,5,20.86
Deshaun Watson,2558063,QB,CLE,CIN,154,1,1,45,1,,,,,,1,1,19.66,5,,5,,,,,1,,6,19.66
Patrick Mahomes,2558125,QB,KC,DET,226,2,1,45,,,,,,,,,19.54,6,,6,,,,,,,7,19.54
Kirk Cousins,2532820,QB,MIN,TB,344,2,1,7,,,,,,,,2,16.43,3,,3,,,,,1,1,8,16.43
Baker Mayfield,2560800,QB,TB,@MIN,173,2,,11,,,,,,,,,16.02,8,,8,,,,,,,9,16.02
Brock Purdy,2568216,QB,SF,@PIT,220,2,,20,,,,,,,,2,15.60,3,,3,,,,,,,10,15.80
Trevor Lawrence,2566163,QB,JAX,@IND,241,2,1,21,,,,,,,,1,15.74,7,,7,,,,,1,,11,15.74
Sam Howell,2568333,QB,WAS,ARI,202,1,1,11,1,,,,,,,1,15.18,2,,2,,,,,1,1,12,15.18
Russell Wilson,2532975,QB,DEN,LV,177,2,,1,,,,,,,,,15.18,1,,1,,,,,,,13,15.18
Jared Goff,2555334,QB,DET,@KC,253,1,,-1,,,,,,,,,15.02,5,,5,,,,,1,,14,15.02
Derek Carr,2543499,QB,NO,TEN,305,1,1,4,,,,,,,,,14.60,3,,3,,,,,2,2,15,14.60
Justin Fields,2565920,QB,CHI,GB,216,1,1,59,,,,,,,,1,14.54,9,,9,,,,,,,16,14.54
Matthew Stafford,79860,QB,LA,@SEA,334,,,11,,,,,,,,,14.46,3,,3,,,,,1,1,17,14.46
Jimmy Garoppolo,2543801,QB,LV,@DEN,200,2,1,11,,,,,,,,1,14.10,9,,9,,,,,2,1,18,14.10
Jalen Hurts,2564832,QB,PHI,@NE,170,1,,37,,,,,,,,1,12.50,9,,9,,,,,,,19,12.50
C.J. Stroud,2569819,QB,HOU,@BAL,242,,,20,,1,,,,,,1,10.18,4,1,5,1,1,100,,,,20,10.18
Zach Wilson,2566391,QB,NYJ,BUF,140,1,1,6,,,,,,,,,9.70,4,,4,,,,,2,1,21,9.70
Kenny Pickett,2568162,QB,PIT,SF,232,1,2,4,,,,,,,,,9.68,1,,1,,,,,,,22,9.68
Geno Smith,2539335,QB,SEA,LA,112,1,,6,,,,,,,,,9.08,1,,1,,,,,,,23,9.08
Josh Allen,2560955,QB,BUF,@NYJ,236,1,3,36,,,,,,,,2,8.04,6,,6,,,,,,,24,8.04
Desmond Ridder,2567256,QB,ATL,CAR,115,1,,-1,,1,-6,,,,,1,7.40,1,1,2,1,1,100,,,,25,7.40
Bryce Young,2569606,QB,CAR,@ATL,146,1,2,17,,,,,,,,1,6.54,3,,3,,,,,,,26,6.54
Dak Prescott,2555260,QB,DAL,@NYG,143,,,6,,,,,,,,,6.32,1,,1,,,,,1,,27,6.32
Lamar Jackson,2560757,QB,BAL,HOU,169,,1,38,,,,,,,,2,4.56,6,,6,,,,,,,28,4.56
Joe Burrow,2563722,QB,CIN,@CLE,82,,,-1,,,,,,,,,3.08,1,,1,,,,,,,29,3.18
Ryan Tannehill,2532956,QB,TEN,@NO,198,,3,5,,,,,,,,,2.42,3,,3,,,,,,,30,2.42
Daniel Jones,2562299,QB,NYG,DAL,104,,2,43,,,,,,,,2,2.63,13,,13,,,,,3,,31,2.39
Tyrod Taylor,2495240,QB,NYG,DAL,6,,,,,,,,,,,,2.63,,,,,,,,,,32,0.24
Holton Ahlers,2571369,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,33,0.00
Brandon Allen,2555365,QB,SF,@PIT,,,,,,,,,,,,,15.60,,,,,,,,,,34,0.00
Kyle Allen,2561177,QB,BUF,@NYJ,,,,,,,,,,,,,8.04,,,,,,,,,,35,0.00
Tyson Bagent,2570467,QB,CHI,GB,,,,,,,,,,,,,14.54,,,,,,,,,,36,0.00
Matt Barkley,2539308,QB,JAX,@IND,,,,,,,,,,,,,15.74,,,,,,,,,,37,0.00
C.J. Beathard,2557922,QB,JAX,@IND,,,,,,,,,,,,,15.74,,,,,,,,,,38,0.00
Stetson Bennett,2569939,QB,LA,@SEA,,,,,,,,,,,,,14.46,,,,,,,,,,39,0.00
James Blackman,2571132,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,40,0.00
David Blough,2563043,QB,DET,@KC,,,,,,,,,,,,,15.02,,,,,,,,,,41,0.00
Ian Book,2566352,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,42,0.00
Tim Boyle,2561187,QB,HOU,@BAL,,,,,,,,,,,,,10.18,,,,,,,,,,43,0.00
Teddy Bridgewater,2543465,QB,DET,@KC,,,,,,,,,,,,,15.02,,,,,,,,,,44,0.00
Jacoby Brissett,2555261,QB,WAS,ARI,,,,,,,,,,,,,15.18,,,,,,,,,,45,0.00
Anthony Brown,2568363,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,46,0.00
Shane Buechele,2566983,QB,BUF,@NYJ,,,,,,,,,,,,,8.04,,,,,,,,,,47,0.00
Matt Corral,2567349,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,48,0.00
Malik Cunningham,2571222,QB,BAL,HOU,,,,,,,,,,,,,4.56,,,,,,,,,,49,0.00
Andy Dalton,2495143,QB,CAR,@ATL,,,,,,,,,,,,,6.54,,,,,,,,,,50,0.00
Tim Demorat,2571638,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,51,0.00
Tommy DeVito,2570578,QB,NYG,DAL,,,,,,,,,,,,,2.63,,,,,,,,,,52,0.00
Ben DiNucci,2563839,QB,DEN,LV,,,,,,,,,,,,,15.18,,,,,,,,,,53,0.00
Jeff Driskel,2555262,QB,CLE,CIN,,,,,,,,,,,,,19.66,,,,,,,,,,54,0.00
Max Duggan,2570278,QB,LAC,MIA,,,,,,,,,,,,,20.86,,,,,,,,,,55,0.00
Jacob Eason,2564115,QB,NYG,DAL,,,,,,,,,,,,,2.63,,,,,,,,,,56,0.00
Sam Ehlinger,2566142,QB,IND,JAX,,,,,,,,,,,,,20.92,,,,,,,,,,57,0.00
Danny Etling,2560717,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,58,0.00
Joe Flacco,382,QB,CLE,CIN,,,,,,,,,,,,,19.66,,,,,,,,,,59,0.00
Nick Foles,2532842,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,60,0.00
Jake Fromm,2563608,QB,WAS,ARI,,,,,,,,,,,,,15.18,,,,,,,,,,61,0.00
Blaine Gabbert,2495441,QB,KC,DET,,,,,,,,,,,,,19.54,,,,,,,,,,62,0.00
Chase Garbers,2568975,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,63,0.00
Will Grier,2562404,QB,LAC,MIA,,,,,,,,,,,,,20.86,,,,,,,,,,64,0.00
Jarrett Guarantano,2569432,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,65,0.00
Jake Haener,2570131,QB,NO,TEN,,,,,,,,,,,,,14.60,,,,,,,,,,66,0.00
Jaren Hall,2570083,QB,MIN,TB,,,,,,,,,,,,,16.43,,,,,,,,,,67,0.00
Taylor Heinicke,2553656,QB,ATL,CAR,,,,,,,,,,,,,7.40,,,,,,,,,,68,0.00
Hendon Hooker,2569744,QB,DET,@KC,,,,,,,,,,,,,15.02,,,,,,,,,,69,0.00
Brian Hoyer,81294,QB,LV,@DEN,,,,,,,,,,,,,14.10,,,,,,,,,,70,0.00
Tyler Huntley,2563560,QB,BAL,HOU,,,,,,,,,,,,,4.56,,,,,,,,,,71,0.00
Josh Johnson,264,QB,BAL,HOU,,,,,,,,,,,,,4.56,,,,,,,,,,72,0.00
