PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Andrew Van Ginkel,2562768,LB,MIA,@WAS,4,1,,,1,,,1,,,,,,2,2,33,,5.67,1,21.20,15.53
Khalil Mack,2543463,LB,LAC,@NE,5,,2,2,,1,,,,,,,,,2,,,5.84,2,19.00,13.16
Josh Allen,2562619,LB,JAX,CIN,3,4,1.5,1,1,,,,,,,,,1,2,8,,6.37,3,18.67,12.3
Bud Dupree,2552289,LB,ATL,@NYJ,3,4,2,2,,1,,,,,,,,,2,,,3.99,4,18.40,14.41
Jack Gibbens,2568810,LB,TEN,IND,9,4,,,,,,,,,,,,1,,,,7.10,5,18.40,11.3
Alex Singleton,2553739,LB,DEN,@HOU,8,4,1,1,,,,,,,,,,,1,,,12.59,6,18.40,5.81
Samson Ebukam,2558830,LB,IND,@TEN,5,1,2,1,,1,,,,,,,,,2,,,4.61,7,18.10,13.49
Azeez Al-Shaair,2562462,LB,TEN,IND,8,4,1,,,,,,,,,,,,1,,,10.60,8,16.90,6.3
Eric Kendricks,2552312,LB,LAC,@NE,6,4,1,2,,,,,,,,,,,1,,,10.01,9,16.90,6.89
Alex Highsmith,2564982,LB,PIT,ARI,5,3,1.5,2,,,,,,,,,,,2,,,6.38,10,16.30,9.92
Bobby Wagner,2532966,LB,SEA,@DAL,7,7,,1,,,,,,,,,,,,,,11.54,11,16.20,4.66
Foye Oluokun,2561132,LB,JAX,CIN,8,5,,,,,,,,,,,,,1,,,13.49,12,15.50,2.01
Jamin Davis,2566595,LB,WAS,MIA,5,3,,2,,,,,,,,,,1,,,,9.21,13,14.80,5.59
E.J. Speed,2562955,LB,IND,@TEN,6,2,,3,,,,,,,,,,,,,,9.65,14,14.70,5.05
Ernest Jones,2566229,LB,LA,CLE,6,9,,,,,,,,,,,,,,,,9.00,15,14.40,5.4
Devin Lloyd,2567751,LB,JAX,CIN,8,3,,,,,,,,,,,,,,,,11.13,16,13.80,2.67
Mykal Walker,2563530,LB,PIT,ARI,7,3,,1,,,,,,,,,,,,,,8.47,17,13.80,5.33
J.J. Russell,2569308,LB,TB,CAR,6,1,1,1,,,,,,,,,,,1,,,6.06,18,13.60,7.54
Jack Cochrane,2568408,LB,KC,@GB,7,,,2,,,,,,,,,,,,,,0.48,19,13.50,13.02
Josh Woods,2561626,LB,ARI,@PIT,5,7,,1,,,,,,,,,,,,,,8.45,20,13.20,4.75
Logan Wilson,2563752,LB,CIN,@JAX,5,3,,,,1,,,,,,,,,,,,11.58,21,12.80,1.22
Nate Landman,2568519,LB,ATL,@NYJ,2,3,,1,,1,,,,,,,,1,,,,10.24,22,12.30,2.06
Germaine Pratt,2562702,LB,CIN,@JAX,4,8,,1,,,,,,,,,,,,,,9.59,23,12.30,2.71
Nephi Sewell,2569107,LB,NO,DET,5,3,,2,,,,,,,,,,,,,,0.00,24,12.30,12.3
