PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Micah Abernathy,2562915,DB,ATL,Bye,,,,,,,,,,,,,,,,,,,1,0.00,
Micah Abraham,2572108,DB,CIN,Bye,,,,,,,,,,,,,,,,,,,2,0.00,
Johnathan Abram,2562616,DB,FA,Bye,,,,,,,,,,,,,,,,,,,3,0.00,
Kris Abrams-Draine,2571988,DB,DEN,@LV,,,,,,,,,,,,,,,,,,0.00,4,0.00,0.0
Jamal Adams,2557979,DB,FA,Bye,,,,,,,,,,,,,,,,,,,5,0.00,
Tony Adams,2568444,DB,NYJ,Bye,,,,,,,,,,,,,,,,,,,6,0.00,
Paulson Adebo,2566346,DB,NO,Bye,,,,,,,,,,,,,,,,,,,7,0.00,
Jaire Alexander,2560952,DB,GB,SF,,,,,,,,,,,,,,,,,,5.78,8,0.00,-5.78
Dee Alford,2567244,DB,ATL,Bye,,,,,,,,,,,,,,,,,,,9,0.00,
Cam Allen,2573073,DB,FA,Bye,,,,,,,,,,,,,,,,,,,10,0.00,
Ugo Amadi,2562464,DB,NO,Bye,,,,,,,,,,,,,,,,,,,11,0.00,
Adrian Amos,2552385,DB,SF,@GB,,,,,,,,,,,,,,,,,,0.00,12,0.00,0.0
Tycen Anderson,2567442,DB,CIN,Bye,,,,,,,,,,,,,,,,,,,13,0.00,
Zayne Anderson,2566977,DB,GB,SF,,,,,,,,,,,,,,,,,,0.99,14,0.00,-0.99
Daijahn Anthony,2571919,DB,CIN,Bye,,,,,,,,,,,,,,,,,,,15,0.00,
Chigozie Anusiem,2573596,DB,WAS,DAL,,,,,,,,,,,,,,,,,,0.00,16,0.00,0.0
Jalyn Armour-Davis,2567262,DB,BAL,@LAC,,,,,,,,,,,,,,,,,,1.31,17,0.00,-1.31
Cornell Armstrong,2561147,DB,FA,Bye,,,,,,,,,,,,,,,,,,,18,0.00,
Grayland Arnold,2564814,DB,FA,Bye,,,,,,,,,,,,,,,,,,,19,0.00,
Terrion Arnold,2572009,DB,DET,@IND,,,,,,,,,,,,,,,,,,5.20,20,0.00,-5.2
