PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Montravius Adams,2557876,DL,PIT,@CLE,,,,,,,,,,,,,,,,,,0.00,1,0.00,0.0
Myles Adams,2563620,DL,SEA,ARI,,,,,,,,,,,,,,,,,,0.00,2,0.00,0.0
Adetomiwa Adebawore,2569843,DL,IND,DET,,,,,,,,,,,,,,,,,,0.59,3,0.00,-0.59
McTelvin Agim,2563872,DL,TEN,@HOU,,,,,,,,,,,,,,,,,,0.00,4,0.00,0.0
David Agoha,2571090,DL,LV,DEN,,,,,,,,,,,,,,,,,,0.00,5,0.00,0.0
Junior Aho,2571195,DL,FA,Bye,,,,,,,,,,,,,,,,,,,6,0.00,
Ulumoo Ale,2573653,DL,FA,Bye,,,,,,,,,,,,,,,,,,,7,0.00,
Deslin Alexandre,2570593,DL,GB,SF,,,,,,,,,,,,,,,,,,0.00,8,0.00,0.0
Jaylon Allen,2573076,DL,FA,Bye,,,,,,,,,,,,,,,,,,,9,0.00,
Jonathan Allen,2557844,DL,WAS,DAL,,,,,,,,,,,,,,,,,,6.23,10,0.00,-6.23
Zach Allen,2562219,DL,DEN,@LV,,,,,,,,,,,,,,,,,,7.12,11,0.00,-7.12
Tyson Alualu,496760,DL,FA,Bye,,,,,,,,,,,,,,,,,,,12,0.00,
Bradlee Anae,2563821,DL,FA,Bye,,,,,,,,,,,,,,,,,,,13,0.00,
Abdullah Anderson,2561088,DL,TEN,@HOU,,,,,,,,,,,,,,,,,,0.00,14,0.00,0.0
Evan Anderson,2573524,DL,SF,@GB,,,,,,,,,,,,,,,,,,0.00,15,0.00,0.0
Ryder Anderson,2569420,DL,FA,Bye,,,,,,,,,,,,,,,,,,,16,0.00,
Sundiata Anderson,2572750,DL,FA,Bye,,,,,,,,,,,,,,,,,,,17,0.00,
Will Anderson Jr.,2569834,DL,HOU,TEN,,,,,,,,,,,,,,,,,,6.83,18,0.00,-6.83
Eli Ankou,2559132,DL,BUF,Bye,,,,,,,,,,,,,,,,,,,19,0.00,
Felix Anudike-Uzomah,2569930,DL,KC,@CAR,,,,,,,,,,,,,,,,,,0.00,20,0.00,0.0
Arik Armstead,2552493,DL,JAX,Bye,,,,,,,,,,,,,,,,,,,21,0.00,
Dorance Armstrong,2560959,DL,WAS,DAL,,,,,,,,,,,,,,,,,,4.98,22,0.00,-4.98
Popo Aumavae,2573656,DL,CAR,KC,,,,,,,,,,,,,,,,,,0.00,23,0.00,0.0
Denico Autry,2550646,DL,HOU,TEN,,,,,,,,,,,,,,,,,,6.90,24,0.00,-6.9
Genard Avery,2560964,DL,IND,DET,,,,,,,,,,,,,,,,,,0.56,25,0.00,-0.56
David Bada,2565526,DL,DET,@IND,,,,,,,,,,,,,,,,,,0.00,26,0.00,0.0
Eric Banks,2564325,DL,TB,@NYG,,,,,,,,,,,,,,,,,,0.00,27,0.00,0.0
Christian Barmore,2566328,DL,NE,@MIA,,,,,,,,,,,,,,,,,,5.94,28,0.00,-5.94
Derek Barnett,2557984,DL,HOU,TEN,,,,,,,,,,,,,,,,,,0.95,29,0.00,-0.95
Alex Barrett,2559140,DL,SF,@GB,,,,,,,,,,,,,,,,,,0.00,30,0.00,0.0
Kyon Barrs,2573891,DL,FA,Bye,,,,,,,,,,,,,,,,,,,31,0.00,
Carlos Basham,2565863,DL,NYG,TB,,,,,,,,,,,,,,,,,,2.44,32,0.00,-2.44
Kyler Baugh,2573358,DL,FA,Bye,,,,,,,,,,,,,,,,,,,33,0.00,
Robert Beal Jr.,2570299,DL,SF,@GB,,,,,,,,,,,,,,,,,,0.00,34,0.00,0.0
Levi Bell,2570416,DL,FA,Bye,,,,,,,,,,,,,,,,,,,35,0.00,
