PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Brandon Allen,2555365,QB,SF,@GB,,,,,,,,,,,,,0.00,1,0.00,0.0
Josh Allen,2560955,QB,BUF,Bye,,,,,,,,,,,,,,2,0.00,
Kyle Allen,2561177,QB,PIT,@CLE,,,,,,,,,,,,,0.00,3,0.00,0.0
Zack Annexstad,2573548,QB,FA,Bye,,,,,,,,,,,,,,4,0.00,
Tyson Bagent,2570467,QB,CHI,MIN,,,,,,,,,,,,,0.00,5,0.00,0.0
Casey Bauman,2573779,QB,FA,Bye,,,,,,,,,,,,,,6,0.00,
Jason Bean,2573169,QB,IND,DET,,,,,,,,,,,,,0.00,7,0.00,0.0
C.J. Beathard,2557922,QB,FA,Bye,,,,,,,,,,,,,,8,0.00,
Stetson Bennett,2569939,QB,LAR,PHI,,,,,,,,,,,,,0.00,9,0.00,0.0
Ian Book,2566352,QB,FA,Bye,,,,,,,,,,,,,,10,0.00,
Tim Boyle,2561187,QB,MIA,NE,,,,,,,,,,,,,0.00,11,0.00,0.0
Carter Bradley,2573208,QB,LV,DEN,,,,,,,,,,,,,0.00,12,0.00,0.0
Jacoby Brissett,2555261,QB,NE,@MIA,,,,,,,,,,,,,0.00,13,0.00,0.0
Anthony Brown,2568363,QB,FA,Bye,,,,,,,,,,,,,,14,0.00,
Jake Browning,2562634,QB,CIN,Bye,,,,,,,,,,,,,,15,0.00,
Ben Bryant,2573882,QB,FA,Bye,,,,,,,,,,,,,,16,0.00,
Shane Buechele,2566983,QB,BUF,Bye,,,,,,,,,,,,,,17,0.00,
Joe Burrow,2563722,QB,CIN,Bye,,,,,,,,,,,,,,18,0.00,
Derek Carr,2543499,QB,NO,Bye,,,,,,,,,,,,,,19,0.00,
Sean Clifford,2569762,QB,GB,SF,,,,,,,,,,,,,0.00,20,0.00,0.0
Chevan Cordeiro,2572756,QB,FA,Bye,,,,,,,,,,,,,,21,0.00,
Matt Corral,2567349,QB,FA,Bye,,,,,,,,,,,,,,22,0.00,
Kirk Cousins,2532820,QB,ATL,Bye,,,,,,,,,,,,,,23,0.00,
Malik Cunningham,2571222,QB,BAL,@LAC,,,,,,,,,,,,,0.00,24,0.00,0.0
Andy Dalton,2495143,QB,CAR,KC,,,,,,,,,,,,,11.48,25,0.00,-11.48
Jayden Daniels,2572564,QB,WAS,DAL,,,,,,,,,,,,,18.11,26,0.00,-18.11
Sam Darnold,2561036,QB,MIN,@CHI,,,,,,,,,,,,,14.35,27,0.00,-14.35
Tommy DeVito,2570578,QB,NYG,TB,,,,,,,,,,,,,0.00,28,0.00,0.0
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,29,0.00,
Joshua Dobbs,2558167,QB,SF,@GB,,,,,,,,,,,,,0.00,30,0.00,0.0
Jeff Driskel,2555262,QB,WAS,DAL,,,,,,,,,,,,,0.00,31,0.00,0.0
Max Duggan,2570278,QB,FA,Bye,,,,,,,,,,,,,,32,0.00,
Jacob Eason,2564115,QB,FA,Bye,,,,,,,,,,,,,,33,0.00,
Sam Ehlinger,2566142,QB,IND,DET,,,,,,,,,,,,,0.00,34,0.00,0.0
Justin Fields,2565920,QB,PIT,@CLE,,,,,,,,,,,,,0.00,35,0.00,0.0
