PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Budda Baker,2558009,DB,ARI,64,36,1,7,,,,,,,,,,3,1,,,1,138.10
Nick Cross,2567700,DB,IND,60,38,,2,2,1,,,,,,,,3,,20,,2,134.47
Alontae Taylor,2567979,DB,NO,42,16,4,7,,2,,,,,,,,10,6,,,3,126.10
Brian Branch,2569729,DB,DET,38,12,,3,4,1,,,,,,,,13,3,48,,4,121.80
Kyle Hamilton,2567274,DB,BAL,50,21,2,3,,1,1,,,,,,,7,5,,8,5,120.87
Jaylon Jones,2569870,DB,IND,44,20,,3,2,1,,,,,,,,9,,5,,6,115.67
Paulson Adebo,2566346,DB,NO,43,9,,1,3,,,,,,,,,10,1,68,,7,109.67
Brandon Jones,2564469,DB,DEN,49,25,,2,1,1,1,,,,,,,3,,37,34,8,109.37
Julian Love,2562414,DB,SEA,47,18,,2,2,1,,,,,,,1,4,,26,,9,108.67
Tre'von Moehrig,2566268,DB,LV,43,22,0.5,4,2,,,,,,,,,4,2,28,,10,103.63
Kerby Joseph,2567550,DB,DET,30,15,,1,6,,,1,,,,,,8,,60,,11,102.50
Jalen Pitre,2567688,DB,HOU,39,16,,6,1,,,,,,,,,8,2,10,,12,101.93
Jessie Bates,2560970,DB,ATL,37,23,,1,2,3,1,,,,,,,5,,,,13,101.80
Damar Hamlin,2565872,DB,BUF,44,17,,2,2,,1,,,,,,,5,,19,,14,100.33
Carlton Davis,2561039,DB,DET,37,10,,2,2,,2,,,,,,,10,,,49,15,100.13
Marlon Humphrey,2558067,DB,BAL,33,6,,2,4,1,,,,,,,,10,2,,,16,99.60
DeShon Elliott,2560715,DB,PIT,42,22,,3,1,1,1,,,,,,,4,1,,10,17,99.53
Riley Moss,2569723,DB,DEN,43,18,,1,1,1,1,,,,,,,5,,,,18,97.30
Amani Hooker,2562666,DB,TEN,30,14,,4,3,2,,,,,,,,7,2,49,,19,97.03
Xavier McKinney,2564766,DB,GB,26,16,1,2,6,,1,,,,,,,7,1,63,7,20,95.93
Jeremy Chinn,2563632,DB,WAS,41,26,,3,1,1,2,,,,,,,2,,,,21,95.60
Byron Murphy,2562318,DB,MIN,34,6,,2,4,1,,,,,,,,8,,2,,22,95.17
Xavier Woods,2558159,DB,CAR,40,29,,1,2,,,,,,,,,3,,37,,23,94.63
Cam Taylor-Britt,2567454,DB,CIN,36,13,,1,1,,,,,,,,,11,,,,24,94.30
Deommodore Lenoir,2566535,DB,SF,33,20,,1,2,1,,,,1,,,,6,,33,,25,93.60
Kevin Byard,2555158,DB,CHI,36,26,1,3,1,,2,,,,,,,4,1,,,26,92.10
