PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
George Kittle,2558266,TE,SF,,,,,,28,283,5,,,,,13.88,,28,28,28,35,80,9,3,5,1,75.30
Brock Bowers,2572219,TE,LV,,,,12,,37,384,1,,,,,13.00,1,37,38,37,46,80,2,1,1,2,65.60
Cole Kmet,2563704,TE,CHI,,,,,,26,289,3,,,,,,,,,,,,,,,3,59.90
Tucker Kraft,2569768,TE,GB,,,,2,,18,231,3,,,1,1,5.65,1,18,19,18,26,69,5,3,2,4,50.90
Trey McBride,2568117,TE,ARI,,,,,,28,271,,,1,,,9.36,,28,28,28,38,74,3,1,,5,48.10
Isaiah Likely,2567283,TE,BAL,,,,,,18,207,3,,,,,8.13,,18,18,18,25,72,5,1,4,6,47.70
Dallas Goedert,2560995,TE,PHI,,,,,,24,301,,,,,1,6.53,,24,24,24,29,83,2,1,,7,41.60
Kyle Pitts,2565830,TE,ATL,,,,,,18,263,1,,,,,11.01,,18,18,18,28,64,3,,1,8,41.30
Pat Freiermuth,2566442,TE,PIT,,,,,,22,194,2,,,,1,6.27,,22,22,22,26,85,4,2,1,9,40.40
Dalton Kincaid,2569594,TE,BUF,,,,,,21,217,1,,,,,3.92,,21,21,21,31,68,3,,1,10,38.20
Hunter Henry,2555341,TE,NE,,,,,,19,221,1,,,,,10.57,,19,19,19,30,63,5,1,1,11,37.60
Zach Ertz,2540158,TE,WAS,,,,,,21,228,,,,1,1,10.58,,21,21,21,29,72,4,1,2,12,36.30
Jake Ferguson,2567496,TE,DAL,,,,,,25,240,,,,,1,,,,,,,,,,,13,36.00
Travis Kelce,2540258,TE,KC,,,,1,,24,228,,,,,,8.02,1,24,25,24,31,77,6,4,2,14,34.90
Cade Otton,2568312,TE,TB,,,,-4,,19,163,1,,,,1,10.85,1,19,20,19,31,61,5,3,4,15,33.40
Sam LaPorta,2569726,TE,DET,,,,,,13,199,1,,,,,10.90,,13,13,13,15,87,2,1,1,16,32.40
