PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Israel Abanikanda,2570188,RB,FA,Bye,,,,,,,,,,,,,,96,1,0.00,
Ameer Abdullah,2552374,RB,IND,Bye,,,,,,,,,,,,,,97,2,0.00,
De'Von Achane,2570062,RB,MIA,WAS,,,,64.23,0.27,5.25,38.42,0.52,,,,0.2,17.23,5,3,0.00,-17.23
Salvon Ahmed,2565090,RB,IND,Bye,,,,,,,,,,,,,,98,4,0.00,
Cam Akers,2564319,RB,MIN,CHI,,,,,,,,,,,,,0.00,99,5,0.00,0.0
Rasheen Ali,2571823,RB,BAL,@CLE,,,,,,,,,,,,,0.00,100,6,0.00,0.0
Braelon Allen,2572354,RB,NYJ,@NE,,,,,,,,,,,,,0.00,101,7,0.00,0.0
LeQuint Allen Jr.,2574207,RB,JAX,LAC,,,,5.64,0.04,1.01,7.62,0.06,,,,0.03,2.37,63,8,0.00,-2.37
Tyler Allgeier,2567232,RB,ATL,CAR,,,,37.27,0.48,0.56,4.5,0.03,,,,0.11,7.30,35,9,0.00,-7.3
Tyler Badie,2567265,RB,DEN,KC,,,,6.48,0.04,0.68,5.03,0.04,,,,0.03,1.91,67,10,0.00,-1.91
Emani Bailey,2572805,RB,FA,Bye,,,,,,,,,,,,,,102,11,0.00,
Rushawn Baker,2574413,RB,NE,NYJ,,,,,,,,,,,,,0.00,103,12,0.00,0.0
Saquon Barkley,2560968,RB,PHI,DET,,,,79.61,0.56,2.63,18.82,0.21,,,,0.18,15.42,9,13,0.00,-15.42
Andrew Beck,2562626,RB,NYJ,@NE,,,,,,,,,,,,,0.00,104,14,0.00,0.0
Trey Benson,2572405,RB,ARI,SF,,,,74.95,0.45,2.21,14.85,0.13,,,,0.21,13.15,15,15,0.00,-13.15
Ulysses Bentley IV,2574183,RB,IND,Bye,,,,,,,,,,,,,,105,16,0.00,
Micah Bernard,2574143,RB,FA,Bye,,,,,,,,,,,,,,106,17,0.00,
Tank Bigsby,2569882,RB,PHI,DET,,,,1.46,0.02,0.07,0.62,,,,,0.01,0.34,89,18,0.00,-0.34
Raheem Blackshear,2569477,RB,FA,Bye,,,,,,,,,,,,,,107,19,0.00,
Jaydon Blue,2574068,RB,DAL,@LV,,,,13.19,0.12,0.86,7.59,0.06,,,,0.06,3.47,58,20,0.00,-3.47
Mike Boone,2561099,RB,FA,Bye,,,,,,,,,,,,,,108,21,0.00,
Gary Brightwell,2566364,RB,CIN,@PIT,,,,,,,,,,,,,0.00,109,22,0.00,0.0
British Brooks,2573686,RB,HOU,@TEN,,,,,,,,,,,,,0.00,110,23,0.00,0.0
Chris Brooks,2571114,RB,GB,@NYG,,,,6.3,0.04,0.73,5.44,0.03,,,,0.02,1.92,66,24,0.00,-1.92
Jonathon Brooks,2571883,RB,CAR,@ATL,,,,,,,,,,,,,0.00,111,25,0.00,0.0
Tahj Brooks,2574024,RB,CIN,@PIT,,,,6.7,0.04,0.1,0.84,0.01,,,,0.05,1.00,74,26,0.00,-1.0
Brittain Brown,2567868,RB,CHI,@MIN,,,,,,,,,,,,,0.00,112,27,0.00,0.0
Chase Brown,2569642,RB,CIN,@PIT,,,,43.52,0.28,2.74,17.66,0.19,,,,0.14,10.03,23,28,0.00,-10.03
Michael Burton,2552636,RB,DEN,KC,,,,,,,,,,,,,0.00,113,29,0.00,0.0
Michael Carter,2566382,RB,ARI,SF,,,,5.76,0.04,0.23,1.38,0.01,,,,0.02,1.09,71,30,0.00,-1.09
Nate Carter,2573909,RB,ATL,CAR,,,,,,,,,,,,,0.00,114,31,0.00,0.0
Ty Chandler,2567907,RB,MIN,CHI,,,,6.08,0.02,0.26,2.06,0.01,,,,0.02,1.08,72,32,0.00,-1.08
Zach Charbonnet,2570335,RB,SEA,@LAR,,,,35.87,0.52,1.18,9.04,0.07,,,,0.12,8.38,31,33,0.00,-8.38
Julius Chestnut,2568804,RB,TEN,HOU,,,,3.16,0.03,0.13,1.12,0.01,,,,0.01,0.71,78,34,0.00,-0.71
Nick Chubb,2561021,RB,HOU,@TEN,,,,46,0.23,1.03,7.96,0.07,,,,0.13,7.45,34,35,0.00,-7.45
