PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Myles Adams,2563620,DL,DET,NYG,,,,,,,,,,,,,,,,,,0.00,191,1,0.00,0.0
Adetomiwa Adebawore,2569843,DL,IND,@KC,0.12,0.24,0.09,,,0.06,,,,,,,,,0.18,,,0.80,162,2,0.00,-0.8
McTelvin Agim,2563872,DL,FA,Bye,,,,,,,,,,,,,,,,,,,192,3,0.00,
Tommy Akingbesote,2574066,DL,BUF,@HOU,,,,,,,,,,,,,,,,,,0.00,193,4,0.00,0.0
Darius Alexander,2574412,DL,NYG,@DET,0.18,0.24,0.06,0.12,,,,,,,,,,,,,,0.71,168,5,0.00,-0.71
Deslin Alexandre,2570593,DL,FA,Bye,,,,,,,,,,,,,,,,,,,194,6,0.00,
Jaylon Allen,2573076,DL,FA,Bye,,,,,,,,,,,,,,,,,,,195,7,0.00,
Jonathan Allen,2557844,DL,MIN,@GB,1.91,0.79,0.39,0.45,,,,,,,,,,0.06,0.9,,,5.39,24,8,0.00,-5.39
Zach Allen,2562219,DL,DEN,Bye,,,,,,,,,,,,,,,,,,,196,9,0.00,
Bradlee Anae,2563821,DL,FA,Bye,,,,,,,,,,,,,,,,,,,197,10,0.00,
Evan Anderson,2573524,DL,SF,CAR,,,,,,,,,,,,,,,,,,0.00,198,11,0.00,0.0
Will Anderson Jr.,2569834,DL,HOU,BUF,1.8,0.66,0.6,0.9,,0.12,0.06,,,,,,,0.06,1.32,,,6.94,9,12,0.00,-6.94
Felix Anudike-Uzomah,2569930,DL,KC,IND,0.71,0.59,0.18,0.29,,0.06,,,,,,,,,0.41,,,2.63,108,13,0.00,-2.63
Arik Armstead,2552493,DL,JAX,@ARI,1.12,0.35,0.09,0.12,,,,,,,,,,0.06,0.29,,,2.55,111,14,0.00,-2.55
Dorance Armstrong,2560959,DL,WAS,Bye,,,,,,,,,,,,,,,,,,,199,15,0.00,
Popo Aumavae,2573656,DL,CAR,@SF,,,,,,,,,,,,,,,,,,0.00,200,16,0.00,0.0
Denico Autry,2550646,DL,HOU,BUF,1.12,0.53,0.29,0.41,,0.06,0.06,,0.06,,,,,0.24,0.71,,0.06,4.66,42,17,0.00,-4.66
