PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Micah Abraham,2572108,DB,FA,Bye,,,,,,,,,,,,,,,,,,,231,1,0.00,
Kris Abrams-Draine,2571988,DB,DEN,@LV,0.93,0.36,,,0.05,,,,,,,,,0.05,,,,1.91,183,2,0.00,-1.91
BJ Adams,2574315,DB,FA,Bye,,,,,,,,,,,,,,,,,,,232,3,0.00,
Jamal Adams,2557979,DB,LV,DEN,2.71,0.56,0.16,0.24,0.08,0.08,0.08,,,,,,,0.32,0.4,1.12,,6.76,77,4,0.00,-6.76
Tony Adams,2568444,DB,NYJ,MIA,3.69,2.36,0.08,0.24,0.16,,,,,,,,,0.47,0.16,0.63,,9.31,17,5,0.00,-9.31
Paulson Adebo,2566346,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,233,6,0.00,
Jaire Alexander,2560952,DB,FA,Bye,,,,,,,,,,,,,,,,,,,234,7,0.00,
Kam Alexander,2574640,DB,FA,Bye,,,,,,,,,,,,,,,,,,,235,8,0.00,
Zy Alexander,2574553,DB,FA,Bye,,,,,,,,,,,,,,,,,,,236,9,0.00,
Dee Alford,2567244,DB,ATL,SEA,1.29,0.62,,0.06,,,,,,,,,,0.28,,,,3.10,156,10,0.00,-3.1
Ugo Amadi,2562464,DB,NO,@TB,1.47,0.77,,0.12,,,,,,,,,,0.29,,,,3.57,146,11,0.00,-3.57
Trey Amos,2574603,DB,WAS,@MIN,,,,,,,,,,,,,,,,,,0.00,237,12,0.00,0.0
Tycen Anderson,2567442,DB,CIN,@BUF,0.24,0.24,,,,,,,,,,,,,,,,0.50,230,13,0.00,-0.5
Zayne Anderson,2566977,DB,GB,CHI,0.35,0.24,0.06,,0.06,,,,,,,,,,0.06,,,1.03,208,14,0.00,-1.03
Daijahn Anthony,2571919,DB,CIN,@BUF,0.47,0.12,,,,,,,,,,,,0.18,,,,1.23,199,15,0.00,-1.23
Chigozie Anusiem,2573596,DB,ARI,LAR,,,,,,,,,,,,,,,,,,0.00,238,16,0.00,0.0
Eli Apple,2555277,DB,SF,Bye,,,,,,,,,,,,,,,,,,,239,17,0.00,
Jalyn Armour-Davis,2567262,DB,TEN,@CLE,2.29,0.93,,0.06,0.06,,,,,,,,,0.31,0.06,,,5.10,116,18,0.00,-5.1
Cornell Armstrong,2561147,DB,FA,Bye,,,,,,,,,,,,,,,,,,,240,19,0.00,
Damon Arnette,2564409,DB,HOU,@KC,,,,,,,,,,,,,,,,,,0.00,241,20,0.00,0.0
Grayland Arnold,2564814,DB,FA,Bye,,,,,,,,,,,,,,,,,,,242,21,0.00,
Terrion Arnold,2572009,DB,DET,DAL,,,,,,,,,,,,,,,,,,0.00,243,22,0.00,0.0
Alex Austin,2569591,DB,NE,Bye,,,,,,,,,,,,,,,,,,,244,23,0.00,
Tre Avery,2568801,DB,CLE,TEN,,,,,,,,,,,,,,,,,,0.00,245,24,0.00,0.0
Chidobe Awuzie,2557840,DB,BAL,PIT,1.3,0.65,,0.05,0.05,0.05,,,,,,,,0.3,,0.6,,3.54,147,25,0.00,-3.54
Budda Baker,2558009,DB,ARI,LAR,4.41,2.15,0.06,0.34,0.06,0.06,,,,,,,,0.28,0.17,0.79,,9.77,13,26,0.00,-9.77
Darrell Baker Jr.,2569161,DB,TEN,@CLE,1.56,0.5,,,,,,,,,,,,0.13,,,,2.97,162,27,0.00,-2.97
Johnathan Baldwin,2574123,DB,GB,CHI,,,,,,,,,,,,,,,,,,0.00,246,28,0.00,0.0
Corey Ballentine,2562228,DB,DAL,@DET,,,,,,,,,,,,,,,,,,0.00,247,29,0.00,0.0
Deonte Banks,2570155,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,248,30,0.00,
Marcus Banks,2573551,DB,TB,NO,,,,,,,,,,,,,,,,,,0.00,249,31,0.00,0.0
Luq Barcoo,2564160,DB,FA,Bye,,,,,,,,,,,,,,,,,,,250,32,0.00,
Jahdae Barron,2574084,DB,DEN,@LV,2.59,0.96,,0.06,0.06,,,,,,,,,0.39,0.06,,,5.77,105,33,0.00,-5.77
Shemar Bartholomew,2572678,DB,GB,CHI,,,,,,,,,,,,,,,,,,0.00,251,34,0.00,0.0
Essang Bassey,2563875,DB,FA,Bye,,,,,,,,,,,,,,,,,,,252,35,0.00,
Jessie Bates,2560970,DB,ATL,SEA,4.12,2.06,,0.16,0.22,0.16,0.05,0.05,,,,,,0.54,0.05,3.52,,10.73,7,36,0.00,-10.73
Jordan Battle,2569648,DB,CIN,@BUF,3.88,2.53,0.06,0.24,0.12,,0.06,0.06,,,,,,0.41,,3.76,,9.69,14,37,0.00,-9.69
Miles Battle,2572808,DB,NE,Bye,,,,,,,,,,,,,,,,,,,253,38,0.00,
Dalys Beanum,2574392,DB,NO,@TB,,,,,,,,,,,,,,,,,,0.00,254,39,0.00,0.0
D'Anthony Bell,2568630,DB,SEA,@ATL,,,,,,,,,,,,,,,,,,0.00,255,40,0.00,0.0
Markquese Bell,2568666,DB,DAL,@DET,1.37,0.89,,,,,,,,,,,,,,,,2.59,173,41,0.00,-2.59
Dane Belton,2567988,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,256,42,0.00,
Christian Benford,2567322,DB,BUF,CIN,3.19,0.88,,0.2,0.2,0.14,0.07,0.07,,,,,,0.81,0.07,3.87,,9.34,16,43,0.00,-9.34
Jakorian Bennett,2570038,DB,PHI,@LAC,0.94,0.65,,,0.06,,,0.06,,,,,,0.29,,0.94,,3.01,160,44,0.00,-3.01
Jarrick Bernard-Converse,2570176,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,257,45,0.00,
Beanie Bishop Jr.,2573512,DB,NO,@TB,,,,,,,,,,,,,,,,,,0.00,258,46,0.00,0.0
Cole Bishop,2571850,DB,BUF,CIN,3.04,2.19,,0.21,0.07,0.07,,,,,,,,0.35,,1.13,,7.59,62,47,0.00,-7.59
Henry Black,2563974,DB,FA,Bye,,,,,,,,,,,,,,,,,,,259,48,0.00,
Korie Black,2574414,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,260,49,0.00,
Julian Blackmon,2564103,DB,NO,@TB,,,,,,,,,,,,,,,,,,0.00,261,50,0.00,0.0
Mekhi Blackmon,2570086,DB,IND,@JAX,0.96,0.32,,0.11,0.07,0.04,0.04,0.04,,,,,,0.32,,1.61,,3.24,154,51,0.00,-3.24
Josh Blackwell,2568054,DB,CHI,@GB,,,,,,,,,,,,,,,,,,0.00,262,52,0.00,0.0
DaRon Bland,2567490,DB,DAL,@DET,3.09,1.07,,0.06,0.17,,,0.06,,,,,,0.56,,5.4,,7.78,56,53,0.00,-7.78
Reed Blankenship,2568057,DB,PHI,@LAC,3.6,1.93,,0.07,0.2,,0.07,,,,,,,0.4,,,,8.43,36,54,0.00,-8.43
Joshuah Bledsoe,2566331,DB,FA,Bye,,,,,,,,,,,,,,,,,,,263,55,0.00,
Joey Blount,2568225,DB,ARI,LAR,,,,,,,,,,,,,,,,,,0.00,264,56,0.00,0.0
Bubba Bolden,2568228,DB,FA,Bye,,,,,,,,,,,,,,,,,,,265,57,0.00,
Isaiah Bolden,2570116,DB,FA,Bye,,,,,,,,,,,,,,,,,,,266,58,0.00,
Ethan Bonner,2571144,DB,MIA,@NYJ,0.18,0.24,,,,,,,,,,,,0.06,,,,0.56,228,59,0.00,-0.56
Andrew Booth,2567904,DB,FA,Bye,,,,,,,,,,,,,,,,,,,267,60,0.00,
Dicaprio Bootle,2566980,DB,FA,Bye,,,,,,,,,,,,,,,,,,,268,61,0.00,
Billy Bowman Jr.,2573907,DB,ATL,SEA,,,,,,,,,,,,,,,,,,0.00,269,62,0.00,0.0
Kris Boyd,2562630,DB,NYJ,MIA,,,,,,,,,,,,,,,,,,0.00,270,63,0.00,0.0
Ekow Boye-Doe,2571497,DB,FA,Bye,,,,,,,,,,,,,,,,,,,271,64,0.00,
Beau Brade,2572591,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,272,65,0.00,
Millard Bradford,2573361,DB,FA,Bye,,,,,,,,,,,,,,,,,,,273,66,0.00,
Brian Branch,2569729,DB,DET,DAL,5.07,1.96,0.14,0.47,0.2,0.07,,0.07,,,,,,1.01,0.34,4.94,,13.85,1,67,0.00,-13.85
Christian Braswell,2569876,DB,JAX,IND,,,,,,,,,,,,,,,,,,0.00,274,68,0.00,0.0
Julius Brents,2569840,DB,MIA,@NYJ,,,,,,,,,,,,,,,,,,0.00,275,69,0.00,0.0
Trikweze Bridges,2574506,DB,DAL,@DET,,,,,,,,,,,,,,,,,,0.00,276,70,0.00,0.0
Jaquan Brisker,2567370,DB,CHI,@GB,3.55,1.44,0.08,0.22,0.06,0.06,0.06,,,,,,,0.22,0.22,,,7.82,52,71,0.00,-7.82
Kendell Brooks,2571050,DB,TEN,@CLE,0.74,0.4,,,,,,,,,,,,,,,,1.35,192,72,0.00,-1.35
Nate Brooks,2562843,DB,FA,Bye,,,,,,,,,,,,,,,,,,,277,73,0.00,
Natrone Brooks,2571422,DB,ATL,SEA,0.12,0.24,,,0.06,,,,,,,,,0.12,,,,0.83,214,74,0.00,-0.83
Will Brooks,2574666,DB,FA,Bye,,,,,,,,,,,,,,,,,,,278,75,0.00,
JaTravis Broughton,2573976,DB,FA,Bye,,,,,,,,,,,,,,,,,,,279,76,0.00,
Ji'Ayir Brown,2570287,DB,SF,Bye,,,,,,,,,,,,,,,,,,,280,77,0.00,
Kahzir Brown,2574127,DB,FA,Bye,,,,,,,,,,,,,,,,,,,281,78,0.00,
Mike Brown,2569050,DB,TEN,@CLE,,,,,,,,,,,,,,,,,,0.00,282,79,0.00,0.0
Montaric Brown,2567727,DB,JAX,IND,1.18,0.52,,,0.1,,,,,,,,,0.41,,0.62,,3.48,149,80,0.00,-3.48
