PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Nate Adkins,2570930,TE,DEN,JAX,,,,,,,,,,,,,0.00,86,1,0.00,0.0
Mo Alie-Cox,2558832,TE,IND,SF,,,,,,0.27,2.73,,,,,,0.41,79,2,0.00,-0.41
Erick All,2571916,TE,CIN,@MIA,,,,,,,,,,,,,0.00,87,3,0.00,0.0
Davis Allen,2570017,TE,LAR,@SEA,,,,,,0.9,9.11,0.07,,,,0.01,1.76,49,4,0.00,-1.76
Mark Andrews,2560957,TE,BAL,NE,,,,0.38,,2.82,35.7,0.34,,,,0.05,6.96,15,5,0.00,-6.96
Elijah Arroyo,2574554,TE,SEA,LAR,,,,,,1.36,15.13,0.09,,,,0.02,2.69,39,6,0.00,-2.69
AJ Barner,2572513,TE,SEA,LAR,,,,,,2.11,21.17,0.15,,,,0.03,4.01,33,7,0.00,-4.01
Gavin Bartholomew,2574337,TE,MIN,@NYG,,,,,,,,,,,,,0.00,88,8,0.00,0.0
Brenden Bates,2572953,TE,HOU,LV,,,,,,,,,,,,,0.00,89,9,0.00,0.0
John Bates,2566580,TE,WAS,PHI,,,,,,0.44,4.04,0.05,,,,,0.92,62,10,0.00,-0.92
Jaheim Bell,2572288,TE,FA,Bye,,,,,,,,,,,,,,90,11,0.00,
Daniel Bellinger,2567985,TE,NYG,MIN,,,,,,0.85,7.87,0.04,,,,0.01,1.43,54,12,0.00,-1.43
Brock Bowers,2572219,TE,LV,@HOU,,,,0.97,0.01,5.68,61.71,0.28,,,,0.06,10.73,3,13,0.00,-10.73
Shawn Bowman,2573689,TE,FA,Bye,,,,,,,,,,,,,,91,14,0.00,
Jake Briningstool,2574240,TE,KC,@TEN,,,,,,,,,,,,,0.00,92,15,0.00,0.0
Pharaoh Brown,2559018,TE,FA,Bye,,,,,,,,,,,,,,93,16,0.00,
Harrison Bryant,2563767,TE,HOU,LV,,,,,,,,,,,,,0.00,94,17,0.00,0.0
Lawrence Cager,2565492,TE,WAS,PHI,,,,,,,,,,,,,0.00,95,18,0.00,0.0
Grant Calcaterra,2568063,TE,PHI,@WAS,,,,,,0.66,6.6,0.06,,,,,1.35,55,19,0.00,-1.35
Sal Cannella,2567197,TE,CLE,BUF,,,,,,,,,,,,,0.00,96,20,0.00,0.0
Oscar Cardenas,2574479,TE,FA,Bye,,,,,,,,,,,,,,97,21,0.00,
Stephen Carlson,2563044,TE,CHI,GB,,,,,,,,,,,,,0.00,98,22,0.00,0.0
McCallan Castles,2572732,TE,FA,Bye,,,,,,,,,,,,,,99,23,0.00,
Tyler Conklin,2561027,TE,LAC,@DAL,,,,,,0.52,5.3,0.03,,,,0.01,0.95,61,24,0.00,-0.95
Tanner Conner,2569017,TE,MIA,CIN,,,,,,,,,,,,,0.00,100,25,0.00,0.0
Pat Conroy,2574289,TE,FA,Bye,,,,,,,,,,,,,,101,26,0.00,
Jalin Conyers,2574320,TE,MIA,CIN,,,,,,,,,,,,,0.00,102,27,0.00,0.0
John Copenhaver,2574212,TE,FA,Bye,,,,,,,,,,,,,,103,28,0.00,
Devin Culp,2572543,TE,TB,@CAR,,,,,,0.05,0.55,,,,,,0.08,85,29,0.00,-0.08
Baylor Cupp,2572820,TE,FA,Bye,,,,,,,,,,,,,,104,30,0.00,
Drake Dabney,2574146,TE,FA,Bye,,,,,,,,,,,,,,105,31,0.00,
Dominique Dafney,2565540,TE,FA,Bye,,,,,,,,,,,,,,106,32,0.00,
Zach Davidson,2566301,TE,FA,Bye,,,,,,,,,,,,,,107,33,0.00,
Tyler Davis,2564178,TE,FA,Bye,,,,,,,,,,,,,,108,34,0.00,
Luke Deal,2574107,TE,FA,Bye,,,,,,,,,,,,,,109,35,0.00,
Josiah Deguara,2563980,TE,ARI,ATL,,,,,,,,,,,,,0.00,110,36,0.00,0.0
CJ Dippre,2574372,TE,NE,@BAL,,,,,,,,,,,,,0.00,111,37,0.00,0.0
Will Dissly,2561046,TE,LAC,@DAL,,,,,,1.13,11.98,0.07,,,,0.01,2.16,45,38,0.00,-2.16
Greg Dulcich,2567520,TE,MIA,CIN,,,,,,,,,,,,,0.00,112,39,0.00,0.0
Payne Durham,2570353,TE,TB,@CAR,,,,,,0.45,4.42,0.03,,,,,0.85,66,40,0.00,-0.85
