PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Nate Landman,2568519,LB,LAR,SF,8,6,,1,,,,,,,,,,3,,,,1,24.60
Nick Bolton,2566175,LB,KC,@JAX,7,5,,1,,1,,,,,,,,1,,,,2,21.00
Demario Davis,2533008,LB,NO,NYG,7,3,,,,1,,,,,,,,1,,,,3,18.30
Zack Baun,2564664,LB,PHI,DEN,7,5,1,1,,,,,,,,,,,2,,,4,18.00
Teddye Buchanan,2573925,LB,BAL,HOU,8,7,,1,,,,,,,,,,,,,,5,17.70
Lavonte David,2532828,LB,TB,@SEA,5,4,,1,1,,,,,,,,,1,,3,,6,17.50
Troy Dye,2564535,LB,LAC,WAS,7,4,,3,,,,,,,,,,,,,,7,17.40
Derrick Barnes,2566055,LB,DET,@CIN,5,3,1,1,,,,,,,1,,,,1,,,8,17.30
Devin Lloyd,2567751,LB,JAX,KC,2,,,,1,,,1,,,,,,1,1,99,,9,16.80
Alex Anzalone,2558163,LB,DET,@CIN,2,1,,1,1,,,,,,,,,3,,14,,10,16.57
Shemar James,2574077,LB,DAL,@NYJ,8,7,,,,,,,,,,,,,,,,11,16.20
Bobby Wagner,2532966,LB,WAS,@LAC,8,6,,,,,,,,,,,,,1,,,12,16.10
Josh Sweat,2560889,LB,ARI,TEN,3,1,2,2,,,,,,,,,,1,2,,,13,15.60
Foye Oluokun,2561132,LB,JAX,KC,7,7,,,,,,,,,,,,,,,,14,14.70
Nik Bonitto,2567517,LB,DEN,@PHI,3,1,2.5,2,,,,,,,,,,,3,,,15,14.60
Jack Campbell,2569741,LB,DET,@CIN,3,8,,1,,1,,,,,,,,,,,,16,14.30
Cedric Gray,2572063,LB,TEN,@ARI,6,6,,1,,,,,,,,,,,,,,17,14.10
Shaq Thompson,2552447,LB,BUF,NE,4,1,1,1,,1,,,,,,,,,1,,,18,14.10
Trenton Simpson,2569564,LB,BAL,HOU,4,6,1,1,,,,,,,,,,,1,,,19,13.60
Jihaad Campbell,2574455,LB,PHI,DEN,6,5,,1,,,,,,,,,,,,,,20,13.50
Fred Warner,2560917,LB,SF,@LAR,7,5,,,,,,,,,,,,,,,,21,13.50
Jordyn Brooks,2565135,LB,MIA,@CAR,4,9,0.5,,,,,,,,,,,,1,,,22,12.90
Robert Spillane,2561596,LB,NE,@BUF,5,3,,,,1,,,,,,,,,,,,23,12.80
Darius Muasau,2572339,LB,NYG,@NO,6,3,,1,,,,,,,,,,,,,,24,12.30
Pete Werner,2566358,LB,NO,NYG,5,6,,,,,,,,,,,,,1,,,25,11.60
Terrel Bernard,2567325,LB,BUF,NE,6,,,1,,,1,,,,,,,,,,,26,11.50
Christian Rozeboom,2564394,LB,CAR,MIA,5,4,,1,,,,,,,,,,,,,,27,11.40
Jonathan Greenard,2564070,LB,MIN,@CLE,2,2,,1,,,,,,,,,,2,1,,,28,11.20
Jared Verse,2572213,LB,LAR,SF,4,2,,1,,,,,,,,,,,5,,,29,11.20
Zaire Franklin,2561155,LB,IND,LV,3,4,1,1,,,,,,,,,,,1,,,30,10.90
Alex Singleton,2553739,LB,DEN,@PHI,4,2,1,1,,,,,,,,,,,,,,31,10.70
Bradley Chubb,2561020,LB,MIA,@CAR,1,1,1,1,,1,1,,,,,,,,1,,2,32,10.67
Samson Ebukam,2558830,LB,IND,LV,4,1,1,1,,,,,,,,,,,1,,,33,10.60
