PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Aubrey,2571750,K,DAL,@NYJ,2.38,0.06,,0.44,0.5,0.56,0.56,,,0.06,9.94,1,1,0.00,-9.94
Tyler Bass,2563596,K,BUF,NE,3,0.13,,0.38,0.5,0.5,0.25,,,0.06,8.31,8,2,0.00,-8.31
Jake Bates,2571759,K,DET,@CIN,2.94,0.13,,0.31,0.5,0.5,0.38,,,0.06,8.69,4,3,0.00,-8.69
Andy Borregales,2574365,K,NE,@BUF,1.97,0.11,,0.34,0.45,0.45,0.17,,,0.06,6.49,27,4,0.00,-6.49
Chris Boswell,2550545,K,PIT,Bye,,,,,,,,,,,,28,5,0.00,
Harrison Butker,2558245,K,KC,@JAX,2.69,0.13,0.06,0.38,0.5,0.44,0.38,,,,8.65,5,6,0.00,-8.65
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,29,7,0.00,
Daniel Carlson,2560993,K,LV,@IND,2.23,0.07,,0.46,0.46,0.53,0.46,,,,9.07,3,8,0.00,-9.07
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,30,9,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,31,10,0.00,
Cameron Dicker,2568435,K,LAC,WAS,2.44,0.13,0.06,0.38,0.56,0.56,0.38,,,,9.13,2,11,0.00,-9.13
Jake Elliott,2558172,K,PHI,DEN,2.75,0.13,,0.44,0.5,0.5,0.25,,,0.06,8.24,13,12,0.00,-8.24
Ka'imi Fairbairn,2556521,K,HOU,@BAL,2.31,0.13,,0.44,0.56,0.5,0.38,,,0.06,8.63,7,13,0.00,-8.63
Ryan Fitzgerald,2573979,K,CAR,MIA,2,0.06,,0.38,0.56,0.5,0.19,,,0.06,7.40,21,14,0.00,-7.4
Nick Folk,2507225,K,NYJ,DAL,1.96,0.06,,0.36,0.53,0.48,0.18,,,0.06,7.09,24,15,0.00,-7.09
Graham Gano,71309,K,NYG,@NO,1.81,0.13,,0.38,0.5,0.44,0.25,,,0.06,6.88,26,16,0.00,-6.88
Matt Gay,2562271,K,WAS,@LAC,2.75,0.13,,0.44,0.5,0.44,0.31,,,0.06,8.30,9,17,0.00,-8.3
Zane Gonzalez,2558178,K,FA,Bye,,,,,,,,,,,,32,18,0.00,
Blake Grupe,2571234,K,NO,NYG,1.94,0.13,,0.38,0.5,0.44,0.31,,,,7.37,22,19,0.00,-7.37
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,,33,20,0.00,
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,,34,21,0.00,
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,,35,22,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,36,23,0.00,
Joshua Karty,2572201,K,LAR,SF,2.13,0.13,,0.44,0.5,0.5,0.31,,,0.06,7.92,16,24,0.00,-7.92
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,,37,25,0.00,
Younghoe Koo,2559205,K,ATL,Bye,,,,,,,,,,,,38,26,0.00,
Lenny Krieg,2573911,K,ATL,Bye,,,,,,,,,,,,39,27,0.00,
Cam Little,2572147,K,JAX,KC,2.43,0.13,,0.46,0.53,0.46,0.33,,,0.07,8.30,10,28,0.00,-8.3
Tyler Loop,2573940,K,BAL,HOU,2.81,0.19,,0.31,0.5,0.56,0.25,,,0.06,7.97,15,29,0.00,-7.97
Wil Lutz,2556601,K,DEN,@PHI,2.25,0.13,,0.44,0.5,0.44,0.38,,,0.06,8.15,14,30,0.00,-8.15
Jude McAtamney,2573503,K,NYG,@NO,,,,,,,,,,,0.00,40,31,0.00,0.0
Chase McLaughlin,2563203,K,TB,@SEA,2.63,0.13,,0.38,0.5,0.5,0.38,,,,8.65,6,32,0.00,-8.65
Brandon McManus,2541556,K,GB,Bye,,,,,,,,,,,,41,33,0.00,
Mark McNamee,2574637,K,GB,Bye,,,,,,,,,,,,42,34,0.00,
Evan McPherson,2565953,K,CIN,DET,2.69,0.13,,0.38,0.5,0.5,0.31,,,0.06,8.30,11,35,0.00,-8.3
Harrison Mevis,2572932,K,NYJ,DAL,,,,,,,,,,,0.00,43,36,0.00,0.0
Jake Moody,2570308,K,SF,@LAR,2.61,0.12,,0.3,0.53,0.48,0.24,,,0.06,7.68,19,37,0.00,-7.68
Jason Myers,2553112,K,SEA,TB,2.06,0.13,,0.44,0.5,0.5,0.25,,,0.06,7.55,20,38,0.00,-7.55
Riley Patterson,2567013,K,MIA,@CAR,,,,,,,,,,,0.00,44,39,0.00,0.0
Eddy Pineiro,2560842,K,FA,Bye,,,,,,,,,,,,45,40,0.00,
Matt Prater,2506677,K,BUF,NE,,,,,,,,,,,0.00,46,41,0.00,0.0
