PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
George Pickens,2568159,WR,DAL,@CAR,,,,,,9,168,1,,,,,33.00,,9,9,9,11,82,,,,1,27.30
Drake London,2567250,WR,ATL,BUF,,,,,,10,158,1,,,,,30.40,,10,10,10,16,63,2,,1,2,26.80
Jaxon Smith-Njigba,2570341,WR,SEA,@JAX,,,,,,8,162,1,,,,,37.20,,8,8,8,13,62,,,,3,26.20
Kayshon Boutte,2570092,WR,NE,@NO,,,,,,5,93,2,,,,,46.50,,5,5,5,5,100,,,,4,23.80
Ja'Marr Chase,2565941,WR,CIN,@GB,,,,-3,,10,94,1,,,,,29.80,1,10,11,10,12,83,2,,,5,20.10
Ladd McConkey,2572477,WR,LAC,@MIA,,,,,,7,100,1,,,,,30.00,,7,7,7,9,78,3,1,1,6,19.50
Brian Thomas Jr.,2572162,WR,JAX,SEA,,,,,,8,90,1,,,,,39.50,,8,8,8,10,80,,,,7,19.00
Marquise Brown,2562379,WR,KC,DET,,,,,,4,45,2,,,,,36.80,,4,4,4,4,100,2,,2,8,18.50
DK Metcalf,2562685,WR,PIT,CLE,,,,,,4,95,1,,,,,19.80,,4,4,4,9,44,,,,9,17.50
Wan'Dale Robinson,2568012,WR,NYG,PHI,,,,,,6,84,1,,,,,28.10,,6,6,6,7,86,,,,10,17.40
Kendrick Bourne,2558914,WR,SF,@TB,,,,,,5,142,,,,,,26.50,,5,5,5,9,56,,,,11,16.70
Tetairoa McMillan,2573992,WR,CAR,DAL,,,,,,3,29,2,,,,,24.40,,3,3,3,5,60,3,,1,12,16.40
Jameson Williams,2567565,WR,DET,@KC,,,,,,6,66,1,,,,,22.80,,6,6,6,7,86,,,,13,15.60
DeMario Douglas,2570119,WR,NE,@NO,,,,,,3,71,1,,,,,46.50,,3,3,3,4,75,,,,14,14.60
Kameron Johnson,2573572,WR,TB,SF,,,,,,4,64,1,,,,,36.40,,4,4,4,4,100,,,,15,14.40
Jaylen Waddle,2566292,WR,MIA,LAC,8,,,,,6,95,,,,,,18.32,,6,6,6,8,75,,,,16,13.42
Josh Downs,2569861,WR,IND,ARI,,,,,,6,42,1,,,,,22.00,,6,6,6,7,86,4,2,1,17,13.20
Chris Olave,2567973,WR,NO,NE,,,,,,6,98,,,,,,20.20,,6,6,6,10,60,,,,18,12.80
Chris Moore,2555209,WR,WAS,CHI,,,,,,3,46,1,,,,,30.80,,3,3,3,5,60,,,,19,12.10
Matthew Golden,2574130,WR,GB,CIN,,,,16,,3,86,,,,,,23.40,2,3,5,3,5,60,,,,20,11.70
A.J. Brown,2562238,WR,PHI,@NYG,,,,,,6,80,,,,,,20.10,,6,6,6,9,67,,,,21,11.00
Tez Johnson,2574589,WR,TB,SF,,,,,,1,45,1,,,,,36.40,,1,1,1,3,33,,,,22,11.00
Cooper Kupp,2557898,WR,SEA,@JAX,,,,,,2,40,1,,,,,37.20,,2,2,2,3,67,1,,,23,11.00
Zay Jones,2557863,WR,ARI,@IND,,,,,,5,79,,,,,,30.90,,5,5,5,8,63,,,,24,10.40
Luke McCaffrey,2572576,WR,WAS,CHI,,,,,,1,33,1,,,,,30.80,,1,1,1,1,100,,,,25,10.40
Xavier Worthy,2572186,WR,KC,DET,,,,6,,2,20,1,,,,,36.80,1,2,3,2,4,50,2,,,26,9.60
Van Jefferson,2564358,WR,TEN,@LV,,,,,,4,75,,,,,,18.30,,4,4,4,6,67,,,,27,9.50
Tre Tucker,2570059,WR,LV,TEN,,,,,,5,70,,,,,,16.00,,5,5,5,5,100,,,,28,9.50
Tim Patrick,2558985,WR,JAX,SEA,,,,,,1,26,1,,,,,39.50,,1,1,1,1,100,,,,29,9.10
Tee Higgins,2563731,WR,CIN,@GB,,,,,,5,62,,,,,,29.80,,5,5,5,8,63,,,,30,8.70
Greg Dortch,2562645,WR,ARI,@IND,,,,,,3,9,1,,,,,30.90,,3,3,3,3,100,2,1,,31,8.40
Romeo Doubs,2567586,WR,GB,CIN,,,,,,5,55,,,,,,23.40,,5,5,5,9,56,,,,32,8.00
Lil'Jordan Humphrey,2562668,WR,NYG,PHI,,,,,,4,55,,,,,,28.10,,4,4,4,8,50,,,,33,7.50
JuJu Smith-Schuster,2558149,WR,KC,DET,,,,,,3,57,,,,,,36.80,,3,3,3,3,100,,,,34,7.20
Amon-Ra St. Brown,2566073,WR,DET,@KC,,,,2,,9,45,,,,,1,22.80,1,9,10,9,10,90,,,,35,7.20
Luther Burden III,2574004,WR,CHI,@WAS,,,,,,4,51,,,,,,21.80,,4,4,4,4,100,,,,36,7.10
Zay Flowers,2569573,WR,BAL,LAR,,,,,,6,46,,,,,1,11.40,,6,6,6,10,60,,,,37,7.10
Josh Palmer,2566502,WR,BUF,@ATL,,,,,,2,60,,,,,,21.07,,2,2,2,2,100,,,,38,7.00
DeVonta Smith,2566409,WR,PHI,@NYG,,,,,,4,49,,,,,,20.10,,4,4,4,5,80,,,,39,6.90
Jerry Jeudy,2563896,WR,CLE,@PIT,,,,,,5,43,,,,,,14.20,,5,5,5,13,38,,,,40,6.80
DJ Moore,2560813,WR,CHI,@WAS,,,,10,,3,42,,,,,,21.80,2,3,5,3,5,60,,,,41,6.70
Travis Hunter,2574217,WR,JAX,SEA,,,,,,4,15,,,,,,39.50,,4,4,4,7,57,,,,42,6.50
Michael Wilson,2570224,WR,ARI,@IND,,,,,,4,44,,,,,,30.90,,4,4,4,5,80,,,,43,6.40
Khalil Shakir,2567334,WR,BUF,@ATL,,,,,,3,33,,,,,,21.07,,3,3,3,5,60,,,,44,6.30
Sterling Shepard,2555295,WR,TB,SF,,,,,,2,51,,,,,,36.40,,2,2,2,3,67,,,,45,6.10
Davante Adams,2543495,WR,LAR,@BAL,,,,,,4,39,,,,,,15.70,,4,4,4,9,44,,,,46,5.90
Jakobi Meyers,2562492,WR,LV,TEN,,,,,,4,39,,,,,,16.00,,4,4,4,4,100,,,,47,5.90
Alec Pierce,2567715,WR,IND,ARI,,,,,,2,48,,,,,,22.00,,2,2,2,4,50,,,,48,5.80
Jimmy Horn Jr.,2573985,WR,CAR,DAL,,,,11,,2,36,,,,,,24.40,1,2,3,2,2,100,,,,49,5.70
Demarcus Robinson,2555478,WR,SF,@TB,,,,,,2,44,,,,,,26.50,,2,2,2,3,67,,,,50,5.40
Keenan Allen,2540154,WR,LAC,@MIA,,,,,,4,27,,,,,1,30.00,,4,4,4,7,57,,,,51,5.20
Jaylin Lane,2574612,WR,WAS,CHI,,,,7,,1,37,,,,,,30.80,1,1,2,1,2,50,,,,52,4.90
Ryan Flournoy,2571970,WR,DAL,@CAR,,,,3,,3,30,,,,,,33.00,1,3,4,3,6,50,,,,53,4.80
Rashid Shaheed,2569110,WR,NO,NE,,,,,,4,28,,,,,,20.20,,4,4,4,6,67,,,,54,4.80
Jordan Whittington,2572216,WR,LAR,@BAL,,,,,,3,23,,,,,,15.70,,3,3,3,4,75,,,,55,4.80
Tre Harris,2574515,WR,LAC,@MIA,,,,,,4,27,,,,,,30.00,,4,4,4,5,80,,,,56,4.70
Stefon Diggs,2552608,WR,NE,@NO,,,,,,3,28,,,,,,46.50,,3,3,3,3,100,,,,57,4.30
Malik Washington,2572255,WR,MIA,LAC,,,,1,,4,22,,,,,,18.32,1,4,5,4,5,80,,,,58,4.30
Elic Ayomanor,2574142,WR,TEN,@LV,,,,,,3,27,,,,,,18.30,,3,3,3,5,60,,,,59,4.20
Marvin Harrison Jr.,2572411,WR,ARI,@IND,,,,,,2,32,,,,,,30.90,,2,2,2,2,100,,,,60,4.20
Rome Odunze,2571907,WR,CHI,@WAS,,,,,,2,32,,,,,,21.80,,2,2,2,5,40,,,,61,4.20
Tyrell Shavers,2571425,WR,BUF,@ATL,,,,,,3,27,,,,,,21.07,,3,3,3,5,60,,,,62,4.20
Josh Reynolds,2558194,WR,NYJ,DEN,,,,,,3,25,,,,,,6.80,,3,3,3,3,100,,,,63,4.00
Mack Hollins,2558262,WR,NE,@NO,,,,,,2,28,,,,,,46.50,,2,2,2,3,67,,,,64,3.80
Puka Nacua,2570026,WR,LAR,@BAL,,,,,,2,28,,,,,,15.70,,2,2,2,3,67,,,,65,3.80
Olamide Zaccheaus,2562808,WR,CHI,@WAS,,,,4,,2,24,,,,,,21.80,1,2,3,2,6,33,,,,66,3.80
KhaDarel Hodge,2561653,WR,ATL,BUF,,,,,,,,,,,,,30.40,,,,,,,,,,67,3.60
Emeka Egbuka,2574585,WR,TB,SF,,,,,,2,24,,,,,,36.40,,2,2,2,4,50,,,,68,3.40
Deebo Samuel Sr.,2562721,WR,WAS,CHI,,,,-1,,4,15,,,,,,30.80,1,4,5,4,5,80,,,,69,3.40
Pat Bryant,2574086,WR,DEN,@NYJ,,,,,,2,22,,,,,,9.80,,2,2,2,2,100,,,,70,3.20
Jalin Hyatt,2570152,WR,NYG,PHI,,,,,,3,17,,,,,,28.10,,3,3,3,5,60,,,,71,3.20
Gage Larvadain,2574054,WR,CLE,@PIT,,,,,,2,22,,,,,,14.20,,2,2,2,4,50,,,,72,3.20
Marquez Valdes-Scantling,2560907,WR,SF,@TB,,,,,,2,22,,,,,,26.50,,2,2,2,3,67,,,,73,3.20
Dyami Brown,2566586,WR,JAX,SEA,,,,7,,2,13,,,,,,39.50,1,2,3,2,5,40,,,,74,3.00
DeAndre Hopkins,2540165,WR,BAL,LAR,,,,,,2,20,,,,,,11.40,,2,2,2,4,50,,,,75,3.00
Michael Pittman,2564136,WR,IND,ARI,,,,,,2,20,,,,,,22.00,,2,2,2,3,67,,,,76,3.00
Marvin Mims Jr.,2569717,WR,DEN,@NYJ,,,,-2,,2,30,,,,,1,9.80,1,2,3,2,3,67,,,,77,2.80
