PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Yasir Abdullah,2569891,LB,JAX,SEA,,,,,,,,,,,,,,,,,,0.00,104,1,0.00,0.0
Mitchell Agude,2571111,LB,FA,Bye,,,,,,,,,,,,,,,,,,,105,2,0.00,
Austin Ajiake,2571766,LB,IND,ARI,,,,,,,,,,,,,,,,,,0.00,106,3,0.00,0.0
Azeez Al-Shaair,2562462,LB,HOU,Bye,,,,,,,,,,,,,,,,,,,107,4,0.00,
Troy Andersen,2567235,LB,ATL,BUF,1.29,1.16,,0.04,,,,,,,,,,,,,,2.69,97,5,0.00,-2.69
Liam Anderson,2570521,LB,FA,Bye,,,,,,,,,,,,,,,,,,,108,6,0.00,
Joe Andreessen,2573632,LB,BUF,@ATL,,,,,,,,,,,,,,,,,,0.00,109,7,0.00,0.0
Alex Anzalone,2558163,LB,DET,@KC,3.9,2.04,0.12,0.36,0.06,,0.06,,,,,,,0.36,0.48,,,9.26,29,8,0.00,-9.26
Kam Arnold,2574604,LB,FA,Bye,,,,,,,,,,,,,,,,,,,110,9,0.00,
Brian Asamoah II,2567901,LB,LV,TEN,,,,,,,,,,,,,,,,,,0.00,111,10,0.00,0.0
Eugene Asante,2574317,LB,FA,Bye,,,,,,,,,,,,,,,,,,,112,11,0.00,
Joe Bachie,2564661,LB,IND,ARI,,,,,,,,,,,,,,,,,,0.00,113,12,0.00,0.0
Levelle Bailey,2573079,LB,DEN,@NYJ,,,,,,,,,,,,,,,,,,0.00,114,13,0.00,0.0
Jerome Baker,2560966,LB,CLE,@PIT,2.45,1.63,0.09,0.12,,0.06,,,,,,,,0.18,0.18,,,5.76,65,14,0.00,-5.76
Derrick Barnes,2566055,LB,DET,@KC,2.17,1.89,0.11,0.17,,,,,,,,,,0.06,0.29,,,5.16,71,15,0.00,-5.16
Krys Barnes,2563971,LB,CAR,DAL,,,,,,,,,,,,,,,,,,0.00,115,16,0.00,0.0
Zaire Barnes,2570185,LB,NYG,PHI,,,,,,,,,,,,,,,,,,0.00,116,17,0.00,0.0
Amare Barno,2567346,LB,FA,Bye,,,,,,,,,,,,,,,,,,,117,18,0.00,
Michael Barrett,2571880,LB,FA,Bye,,,,,,,,,,,,,,,,,,,118,19,0.00,
Justin Barron,2574067,LB,DAL,@CAR,,,,,,,,,,,,,,,,,,0.00,119,20,0.00,0.0
Jared Bartlett,2574432,LB,ARI,@IND,,,,,,,,,,,,,,,,,,0.00,120,21,0.00,0.0
Cody Barton,2562472,LB,TEN,@LV,3.84,3.42,0.06,0.18,0.06,0.06,0.06,,,,,,,0.24,0.18,1.38,,9.42,27,22,0.00,-9.42
Carlos Basham,2565863,LB,CAR,DAL,,,,,,,,,,,,,,,,,,0.00,121,23,0.00,0.0
Jeffrey Bassa,2574239,LB,KC,DET,,,,,,,,,,,,,,,,,,0.00,122,24,0.00,0.0
Tyler Batty,2574338,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,123,25,0.00,
Zack Baun,2564664,LB,PHI,@NYG,4.44,2.76,0.14,0.45,0.06,0.11,0.06,,,,,,,0.17,0.34,,,10.52,14,26,0.00,-10.52
Abraham Beauplan,2571180,LB,FA,Bye,,,,,,,,,,,,,,,,,,,124,27,0.00,
Quinton Bell,2562908,LB,MIA,LAC,,,,,,,,,,,,,,,,,,0.00,125,28,0.00,0.0
Nick Bellore,2495262,LB,WAS,CHI,,,,,,,,,,,,,,,,,,0.00,126,29,0.00,0.0
Terrel Bernard,2567325,LB,BUF,@ATL,3.77,2.8,0.11,0.34,0.11,,0.06,,,,,,,0.23,0.29,,,9.23,31,30,0.00,-9.23
JD Bertrand,2571799,LB,ATL,BUF,,,,,,,,,,,,,,,,,,0.00,127,31,0.00,0.0
Tatum Bethune,2572489,LB,SF,@TB,,,,,,,,,,,,,,,,,,0.00,128,32,0.00,0.0
Stone Blanton,2574536,LB,FA,Bye,,,,,,,,,,,,,,,,,,,129,33,0.00,
Chris Board,2561301,LB,NYG,PHI,,,,,,,,,,,,,,,,,,0.00,130,34,0.00,0.0
Nick Bolton,2566175,LB,KC,DET,4.44,2.1,0.15,0.6,0.06,0.06,0.06,,,,,,,0.3,0.42,0.42,,10.57,13,35,0.00,-10.57
Nik Bonitto,2567517,LB,DEN,@NYJ,2.87,1.24,0.62,0.79,0.06,0.11,0.06,,,,,,,0.34,1.24,1.86,,9.66,24,36,0.00,-9.66
Swayze Bozeman,2572811,LB,NYG,PHI,,,,,,,,,,,,,,,,,,0.00,131,37,0.00,0.0
Chris Braswell,2572540,LB,TB,SF,,,,,,,,,,,,,,,,,,0.00,132,38,0.00,0.0
K.J. Britt,2566559,LB,MIA,LAC,,,,,,,,,,,,,,,,,,0.00,133,39,0.00,0.0
Jordyn Brooks,2565135,LB,MIA,LAC,4.73,3.09,0.17,0.56,0.06,,0.06,,,,,,,0.28,0.34,0.62,,11.29,9,40,0.00,-11.29
Elliott Brown,2574475,LB,ARI,@IND,,,,,,,,,,,,,,,,,,0.00,134,41,0.00,0.0
J.B. Brown,2574085,LB,FA,Bye,,,,,,,,,,,,,,,,,,,135,42,0.00,
Baron Browning,2566025,LB,ARI,@IND,0.92,0.49,0.15,0.25,,,,,,,,,,0.06,0.31,,,2.65,98,43,0.00,-2.65
Carson Bruener,2574490,LB,PIT,CLE,,,,,,,,,,,,,,,,,,0.00,136,44,0.00,0.0
Teddye Buchanan,2573925,LB,BAL,LAR,,,,,,,,,,,,,,,,,,0.00,137,45,0.00,0.0
John Bullock,2574582,LB,TB,SF,,,,,,,,,,,,,,,,,,0.00,138,46,0.00,0.0
Jordan Burch,2574476,LB,ARI,@IND,,,,,,,,,,,,,,,,,,0.00,139,47,0.00,0.0
Oren Burks,2560984,LB,CIN,@GB,3.66,1.29,0.06,0.23,,0.06,,,,,,,,0.17,0.23,,,7.48,44,48,0.00,-7.48
Amari Burney,2570041,LB,FA,Bye,,,,,,,,,,,,,,,,,,,140,49,0.00,
Brian Burns,2562242,LB,NYG,PHI,2.08,1.58,0.45,0.9,0.06,0.06,,,,,,,,0.34,1.01,1.18,,8.13,37,50,0.00,-8.13
Devin Bush,2562243,LB,CLE,@PIT,,,,,,,,,,,,,,,,,,0.00,141,51,0.00,0.0
Chance Campbell,2567646,LB,PHI,@NYG,,,,,,,,,,,,,,,,,,0.00,142,52,0.00,0.0
Jack Campbell,2569741,LB,DET,@KC,4,3.12,0.15,0.29,0.06,0.06,,,,,,,,0.35,0.35,,,10.08,19,53,0.00,-10.08
Jihaad Campbell,2574455,LB,PHI,@NYG,1.43,1.03,0.05,0.13,,0.03,0.03,,,,,,,0.07,0.1,,,3.42,85,54,0.00,-3.42
Jaylon Carlies,2572114,LB,IND,ARI,3.31,1.49,0.06,0.23,,,,,,,,,,0.11,0.17,,,6.68,55,55,0.00,-6.68
Andre Carter II,2571207,LB,DET,@KC,,,,,,,,,,,,,,,,,,0.00,143,56,0.00,0.0
Barrett Carter,2574025,LB,CIN,@GB,,,,,,,,,,,,,,,,,,0.00,144,57,0.00,0.0
Lorenzo Carter,2561015,LB,FA,Bye,,,,,,,,,,,,,,,,,,,145,58,0.00,
Blake Cashman,2562496,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,146,59,0.00,
K'Lavon Chaisson,2564166,LB,NE,@NO,,,,,,,,,,,,,,,,,,0.00,147,60,0.00,0.0
Chaz Chambliss,2574342,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,148,61,0.00,
Jake Chaney,2574664,LB,FA,Bye,,,,,,,,,,,,,,,,,,,149,62,0.00,
Leo Chenal,2567784,LB,KC,DET,,,,,,,,,,,,,,,,,,0.00,150,63,0.00,0.0
Claudin Cherelus,2570617,LB,CAR,DAL,,,,,,,,,,,,,,,,,,0.00,151,64,0.00,0.0
Cole Christiansen,2565021,LB,KC,DET,,,,,,,,,,,,,,,,,,0.00,152,65,0.00,0.0
