PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Myles Garrett,2557965,DL,CLE,39,14,20,31,,3,,,,,,,,1,32,,,1,182.40
Maxx Crosby,2562439,DL,LV,39,24,9,25,1,2,,,,,,,,6,18,19,,2,163.53
Will Anderson Jr.,2569834,DL,HOU,27,16,10.5,16,,3,2,,1,,,,,3,20,,,3,129.10
Tuli Tuipulotu,2570266,DL,LAC,28,11,10,16,,2,,,,,,,,3,17,,,4,115.60
Montez Sweat,2562749,DL,CHI,27,11,8.5,12,,3,1,,,,,,,5,13,,,5,112.60
Danielle Hunter,2552603,DL,HOU,22,20,11,11,,2,1,,,,,,,3,19,,,6,108.50
Aidan Hutchinson,2567547,DL,DET,23,13,8.5,9,,4,1,,,,,,,2,25,,,7,105.30
Jeffery Simmons,2562733,DL,TEN,28,20,8,12,,1,,,,,,,,1,18,,,8,103.00
Jordan Davis,2568069,DL,PHI,27,28,4.5,7,,,,,,1,,,1,6,6,,,9,101.80
Jalen Redmond,2570792,DL,MIN,28,21,5,10,,1,1,,,,,,,3,6,,,10,94.60
Leonard Williams,2552486,DL,SEA,28,22,7,7,,,,,,,,,,1,19,,,11,91.70
Cameron Heyward,2508109,DL,PIT,25,32,1.5,5,,1,,,,,,,,6,5,,,12,88.20
George Karlaftis,2567796,DL,KC,22,20,6,9,,,1,,,,,,,2,22,,1,13,87.53
Laiatu Latu,2572123,DL,IND,19,16,5.5,7,3,,,,,,,,,4,14,9,,14,87.40
Derrick Brown,2563629,DL,CAR,21,24,4,4,,1,,,,,,,,7,9,,,15,85.40
Rashan Gary,2562376,DL,GB,22,19,7.5,7,,1,1,,,,,,,1,16,,,16,84.90
Carl Granderson,2562273,DL,NO,29,14,4.5,8,,,,,,,,,,3,6,,,17,83.40
DeMarcus Lawrence,2543490,DL,SEA,14,19,5,9,,2,2,,2,,,,,,17,,56,18,83.27
Joseph Ossai,2565956,DL,CIN,21,19,5,9,,2,,,,,,,1,,12,,,19,82.40
Quinnen Williams,2562599,DL,DAL,21,24,2.5,9,,3,,,,,,,,,11,,,20,80.40
Grover Stewart,2558766,DL,IND,21,25,0.5,5,1,1,,,,,,,1,4,5,3,,21,77.60
Zach Allen,2562219,DL,DEN,11,20,6,3,,,,,,,,,,6,34,,,22,77.00
DeForest Buckner,2555275,DL,IND,26,16,4,9,,,,,,,,,,,13,,,23,76.60
Joey Bosa,2555249,DL,BUF,15,11,5,8,,5,,,,,,,,,15,,,24,76.10
Byron Murphy II,2572531,DL,SEA,18,30,7,7,,,,,,,,,,,12,,,25,75.50
Cameron Jordan,2495184,DL,NO,20,11,6.5,9,,1,1,,,,,,,2,9,,,26,75.10
Daron Payne,2560834,DL,WAS,15,22,2,6,,1,,,,,1,,1,5,6,,,27,74.70
Calais Campbell,744,DL,ARI,20,15,5.5,8,,,,,,,,,,2,14,,,28,74.00
Will McDonald IV,2570191,DL,NYJ,15,10,7,9,,,,,,1,,,1,,16,,,29,71.00
Jalen Carter,2570203,DL,PHI,20,12,2,4,,,,,,,,,1,6,11,,,30,70.70
Greg Rousseau,2565875,DL,BUF,20,17,3,4,,1,,,,,,,1,2,12,,,31,69.70
Zach Sieler,2561129,DL,MIA,24,13,3.5,7,,,1,,,,,,,1,7,,5,32,68.47
Jonah Laulu,2572126,DL,LV,15,21,4,6,,,,,,,,,,5,7,,,33,68.10
Donovan Ezeiruaku,2574073,DL,DAL,19,15,2,9,,1,,,,,1,,,,11,,,34,68.00
Jalon Walker,2573920,DL,ATL,21,10,5,4,,2,1,,,,,,,1,7,,,35,67.50
Dre'Mont Jones,2562412,DL,BAL,16,17,6,6,,,1,,,,,,,1,16,,2,36,66.77
Jonathan Allen,2557844,DL,MIN,21,27,2.5,5,,,1,,,,,,,,10,,,37,66.20
A'Shawn Robinson,2555265,DL,CAR,19,27,2.5,3,,,,,,,,,,3,6,,,38,64.70
B.J. Hill,2560740,DL,CIN,22,27,3,4,,,,,,,,,,,6,,,39,64.20
Bryan Bresee,2570128,DL,NO,14,19,2.5,4,,1,,,,,,,1,4,8,,,40,63.90
Keeanu Benton,2570260,DL,PIT,17,21,4.5,5,,,,,,,,,,1,10,,,41,62.10
Al-Quadin Muhammad,2558131,DL,DET,13,9,9,7,,,,,,,,,,,16,,,42,61.40
Mason Graham,2574046,DL,CLE,21,13,0.5,6,,,,,,,,,,4,4,,,43,61.30
Justin Eboigbe,2572468,DL,LAC,24,9,4,5,,,,,,,,,,,8,,,44,60.90
Tommy Togiai,2565989,DL,HOU,17,24,1.5,5,,,,,,,,,,3,5,,,45,60.40
Maliek Collins,2555400,DL,CLE,15,10,6.5,7,,,1,,,,,,,,13,,,46,59.50
Bryce Huff,2565510,DL,SF,13,10,4,6,,2,,,,,,,,1,14,,,47,59.00
Travis Jones,2567277,DL,BAL,16,18,1.5,6,,1,1,,,,,,,2,5,,,48,58.80
Javon Hargrave,2555239,DL,MIN,16,27,3,4,,1,1,,,,,,,,4,,,49,58.70
Osa Odighizuwa,2566016,DL,DAL,14,21,3,6,,,,,,,,,,,20,,,50,58.60
Kobie Turner,2569954,DL,LAR,16,18,4.5,5,,,,,,,,,,1,9,,,51,58.30
David Onyemata,2556274,DL,ATL,22,23,1,5,,,,,,,,,,,2,,,52,57.30
James Houston,2567544,DL,DAL,14,12,5.5,6,,1,1,,,,,,,,8,,,53,56.70
Sebastian Joseph-Day,2561079,DL,TEN,20,17,2,6,,,1,,,,,,,,4,,,54,56.20
Mike Green,2573928,DL,BAL,16,21,2.5,6,,,,,,,,,,,11,,,55,56.10
Chris Jones,2556369,DL,KC,11,11,4,8,,,,,,,,,,2,16,,,56,56.10
Nathan Shepherd,2560873,DL,NO,18,21,2,3,,,,,,,,,1,,10,,,57,56.10
Alex Wright,2567484,DL,CLE,17,8,3,9,,1,,,,,,,,,4,,,58,55.30
Chase Young,2565294,DL,NO,11,9,5,5,,1,1,,,,,,,3,8,,-5,59,55.23
Devonte Wyatt,2567640,DL,GB,15,12,4,6,,,,,,,,,,2,7,,,60,55.20
Brandon Dorlus,2571802,DL,ATL,13,10,6,9,,,,,,,,,,,8,,,61,55.00
Vita Vea,2560909,DL,TB,13,14,4.5,6,,,1,,,,,,,1,11,,,62,54.90
Colby Wooden,2569783,DL,GB,21,18,,6,,,,,,,,,,1,2,,,63,54.80
Isaiah McGuire,2569669,DL,CLE,17,12,2,8,,1,,,,,,,,,5,,,64,54.70
James Pearce Jr.,2573916,DL,ATL,11,6,6,6,,1,1,,,,,,,1,11,,27,65,54.50
Sam Williams,2567514,DL,DAL,18,7,1,4,,1,1,,,,,,2,1,4,,,66,54.20
A.J. Epenesa,2563605,DL,BUF,13,12,2.5,2,2,,1,,,,,,,3,6,25,,67,54.03
Dorance Armstrong,2560959,DL,WAS,16,8,5.5,7,,,,,,,,,,,7,,,68,53.80
Chris Rumph II,2566508,DL,NO,22,16,1,1,,1,,,,,,,,1,3,,,69,53.60
Jermaine Johnson II,2568033,DL,NYJ,17,18,3,4,,,,,,,,,,1,5,,,70,53.30
Deone Walker,2573975,DL,BUF,15,17,1,7,,,1,,,,,,,2,3,,6,71,52.90
Arik Armstead,2552493,DL,JAX,11,13,5.5,7,,1,,,,,,,,,7,,,72,52.80
Nic Scourton,2573999,DL,CAR,15,18,3,5,,,,,,,,,,1,7,,,73,52.80
Milton Williams,2566418,DL,NE,14,13,3.5,7,,,,,,,,,,1,8,,,74,52.80
Harrison Phillips,2560840,DL,NYJ,15,28,0.5,4,,1,,,,,,,,1,,,,75,52.30
Kwity Paye,2565612,DL,IND,13,21,4,5,,,,,,,,,,,8,,,76,51.60
Jacob Martin,2561092,DL,WAS,14,17,4.5,3,,,,,,,,,,,13,,,77,51.20
Myles Murphy,2569663,DL,CIN,17,17,2.5,2,,,,,,,,,,2,5,,,78,51.20
Adam Butler,2558924,DL,LV,17,25,1,3,,,1,,,,,,,,5,,,79,50.50
Moro Ojomo,2570209,DL,PHI,14,15,4,4,,,,,,,,,,1,8,,,80,50.50
Sheldon Rankins,2555242,DL,HOU,13,15,2.5,5,,,1,,1,,,,,,6,,32,81,50.07
Jowon Briggs,2571946,DL,NYJ,13,13,3,6,,1,,,,,,,,,8,,,82,49.80
Zach Harrison,2569555,DL,ATL,9,13,4.5,5,,2,,,,,,,,1,5,,,83,49.80
Neville Gallimore,2563842,DL,IND,12,17,3.5,4,,,,,,,,,,2,6,,,84,49.20
Tyree Wilson,2570050,DL,LV,18,5,2,6,,,1,,,,,,,1,4,,,85,48.50
Levi Drake Rodriguez,2572276,DL,MIN,14,17,1,7,,,,,,,,,1,,3,,,86,48.20
Gervon Dexter Sr.,2569621,DL,CHI,13,16,4,4,,,2,,,,,,,,6,,,87,48.10
Sam Okuayinonu,2568831,DL,SF,17,14,2,3,,1,,,,,,,,,4,,,88,47.90
Teair Tart,2565474,DL,LAC,17,7,,3,,1,1,,,,,,,3,1,,,89,46.70
Poona Ford,2561195,DL,LAR,16,20,1,3,,,,,,,,,,1,2,,,90,46.00
Shelby Harris,2549926,DL,CLE,11,14,0.5,7,,,,,,,,,1,2,3,,,91,45.90
Abdul Carter,2574417,DL,NYG,17,14,1.5,1,,,1,,,,,,,,13,,-4,92,45.77
Thomas Booker,2567670,DL,LV,13,21,,,,1,1,,,,,,,3,3,,,93,45.60
Kenny Clark,2555282,DL,DAL,13,14,3,5,,,,,,,,,,,8,,,94,45.40
John Franklin-Myers,2560731,DL,DEN,10,12,5.5,5,,,,,,,,,,,9,,,95,45.20
Kris Jenkins,2571928,DL,CIN,17,16,1.5,2,,,,,,,,,,1,3,,,96,45.10
Tedarrell Slaton,2566094,DL,CIN,15,25,1,2,,,,,,,,,,,5,,,97,45.00
John Jenkins,2539231,DL,BAL,13,17,1,3,,1,1,,,,,,,1,1,,11,98,44.07
Tershawn Wharton,2564310,DL,CAR,12,25,2,2,,,,,,,,,,1,3,,,99,44.00
Tyler Davis,2572192,DL,LAR,13,24,1,1,,,1,,,,,,,2,1,,,100,43.90
Dexter Lawrence,2562301,DL,NYG,10,14,0.5,2,1,,,,,,,,,3,7,37,,101,43.13
Jer'Zhan Newton,2572579,DL,WAS,12,11,2,2,,1,,,,,,,1,1,4,,,102,42.60
Eyioma Uwazurike,2567535,DL,DEN,14,16,2.5,4,,,,,,,,,,,2,,,103,42.60
Kingsley Enagbare,2567589,DL,GB,12,18,2,4,,,,,,,,,,,7,,,104,42.30
Trey Hendrickson,2557943,DL,CIN,11,5,4,3,,1,,,,,,,,1,8,,,105,42.00
Malcolm Koonce,2566262,DL,LV,10,13,3,4,,1,,,,,,,,,6,,,106,41.30
Jack Sawyer,2574500,DL,PIT,10,13,1,2,1,,,,,,,,,3,4,4,,107,40.93
LaCale London,2565405,DL,ATL,13,7,3,4,,1,,,,,,,,,2,,,108,40.20
Arden Key,2560779,DL,TEN,7,10,4,5,,,,,,,,,1,,10,,,109,40.00
