PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Devin White,2562781,LB,LV,39,25,1,7,1,1,,,,,,,,2,3,,,1,99.50
Brian Burns,2562242,LB,NYG,23,11,9,12,,1,,,,,,,,4,13,,,2,97.10
Jordyn Brooks,2565135,LB,MIA,46,29,1.5,3,,,1,,,,,,,,2,,2,3,95.97
Jack Campbell,2569741,LB,DET,34,30,3,5,,2,1,,,,,,,1,2,,2,4,94.07
Ernest Jones,2566229,LB,SEA,30,29,0.5,3,3,,,,,,,,,5,1,59,,5,93.37
Nate Landman,2568519,LB,LAR,33,34,1.5,2,,1,2,,,,,,,4,3,,,6,92.90
Zack Baun,2564664,LB,PHI,35,23,2,3,1,1,,,,,,,,3,3,,,7,90.80
Jamien Sherwood,2565762,LB,NYJ,33,37,1,5,,,,,,,,,,3,4,,,8,90.70
Tremaine Edmunds,2560713,LB,CHI,30,31,1,2,3,,,,,,,,,4,1,10,,9,89.93
Byron Young,2570014,LB,LAR,24,15,9,9,,1,,,,,,,,,17,,,10,88.50
Foye Oluokun,2561132,LB,JAX,29,26,1,3,1,2,1,,,,,,,4,2,,,11,88.10
Bobby Wagner,2532966,LB,WAS,33,40,2,5,,,,,,,,,,,4,,,12,87.00
Cedric Gray,2572063,LB,TEN,37,33,,3,,,,,,,,,,2,1,,,13,85.30
Tyrel Dodson,2562560,LB,MIA,34,20,3,5,,1,,,,,,,,1,4,,,14,84.50
Mack Wilson,2562605,LB,ARI,31,22,,3,1,,,,,,,,,6,1,9,,15,83.50
SirVocea Dennis,2570347,LB,TB,37,15,1,6,,,,,,,,,,2,3,,,16,82.00
Demario Davis,2533008,LB,NO,33,28,,5,,1,1,,,,,,,1,1,,,17,81.30
Quay Walker,2567631,LB,GB,32,27,1.5,4,,,,,,,,,,2,5,,,18,80.70
Devin Bush,2562243,LB,CLE,31,21,1,4,,1,,,,,,,,3,2,,,19,79.10
Robert Spillane,2561596,LB,NE,30,23,1,1,1,1,,,,,,,,2,,37,,20,75.53
Nick Bolton,2566175,LB,KC,29,26,,4,,1,,,,,,,,2,2,,,21,74.60
Pete Werner,2566358,LB,NO,32,16,2,2,,,1,,,,,,,3,3,,,22,74.60
Fred Warner,2560917,LB,SF,28,23,,2,,2,1,,,,,,,3,,,,23,74.30
Daiyan Henley,2570281,LB,LAC,26,26,2,3,1,,,,,,,,,2,3,8,,24,73.37
Lavonte David,2532828,LB,TB,22,25,2.5,6,1,,,,,,,,,2,5,3,,25,73.10
Jared Verse,2572213,LB,LAR,18,12,4,7,,3,,,,,,,,,17,,,26,71.70
Eric Wilson,2559012,LB,MIN,25,26,1.5,4,,2,,,,,,,,,1,,,27,69.60
Dee Winters,2570296,LB,SF,33,10,,4,,,,,,,,,,3,1,,,28,69.50
Alex Singleton,2553739,LB,DEN,28,31,1,2,,,,,,,,,,1,2,,,29,69.10
Patrick Queen,2563575,LB,PIT,24,24,1,5,,,,,,,,,,3,3,,,30,68.90
Payton Wilson,2572456,LB,PIT,31,17,1,5,,,1,,,,,,,,3,,,31,68.70
Devin Lloyd,2567751,LB,JAX,16,12,,2,4,,1,1,,,,,,4,2,129,2,32,68.57
Bobby Okereke,2562416,LB,NYG,29,31,,,,,,,,,,,,2,1,,,33,67.60
Demetrius Knight Jr.,2574031,LB,CIN,29,21,,1,1,,,,,,,,,2,2,,,34,67.10
Akeem Davis-Gaither,2563728,LB,ARI,25,27,,1,,1,,,,,,,,3,1,,,35,66.70
Edgerrin Cooper,2572030,LB,GB,29,20,0.5,1,,,,,,,,,,3,2,,,36,66.50
Carson Schwesinger,2574064,LB,CLE,24,35,1,4,,,,,,,,,,,3,,,37,66.50
"Kenneth Murray, Jr.",2565063,LB,DAL,27,24,1,4,,,,,,,,,,1,1,,,38,65.90
Nik Bonitto,2567517,LB,DEN,16,9,8,7,,,,,,,,,,,17,,,39,64.40
Derrick Barnes,2566055,LB,DET,21,22,3,3,,,,,,,1,,,1,4,,,40,63.70
Kaden Elliss,2562901,LB,ATL,19,17,1.5,4,1,1,,,,,,,,2,6,16,,41,63.23
Alex Anzalone,2558163,LB,DET,22,17,1.5,1,1,,,,,,,,,4,3,14,,42,63.17
T.J. Watt,2558064,LB,PIT,10,15,4,5,1,1,1,,,,,,,4,10,13,,43,62.93
Jihaad Campbell,2574455,LB,PHI,25,18,,1,1,1,,,,,,,,2,1,,,44,62.30
Drake Thomas,2571105,LB,SEA,19,13,2,5,,,,,,,,,,5,3,,,45,61.80
Harold Landry III,2560784,LB,NE,15,12,5.5,7,,1,,,,,,,,,12,,,46,60.70
Zaire Franklin,2561155,LB,IND,21,21,1,1,,,,,,,,,,4,4,,,47,59.60
Cody Barton,2562472,LB,TEN,23,19,,1,2,,,,,,,,,2,,1,,48,59.43
Jonathan Greenard,2564070,LB,MIN,16,8,2,9,,1,,,,,,,,2,9,,,49,59.30
Azeez Al-Shaair,2562462,LB,HOU,21,17,,,,1,1,,,,,,,4,1,,,50,56.70
Roquan Smith,2560877,LB,BAL,24,10,,4,,,1,,1,,,,,,3,,63,51,56.60
Teddye Buchanan,2573925,LB,BAL,23,26,0.5,2,,,,,,,,,,,1,,,52,54.60
Frankie Luvu,2561366,LB,WAS,19,21,2,4,,,,,,,,,,1,2,,,53,54.60
Ivan Pace Jr.,2571210,LB,MIN,25,16,1,2,,,,,,,,,,,5,,,54,54.60
Nick Herbig,2570248,LB,PIT,9,5,4.5,6,1,1,,,,,,,,2,13,41,,55,54.37
Christian Rozeboom,2564394,LB,CAR,25,25,,1,,,,,,,,,,,,,,56,54.00
Christian Elliss,2567004,LB,NE,22,23,,,,1,,,,,,,,1,1,,,57,53.30
Yaya Diaby,2570344,LB,TB,15,7,4,7,,1,,,,,,,,,8,,,58,52.70
Josh Sweat,2560889,LB,ARI,11,4,5,7,,2,,,,,,,,1,7,,,59,52.40
Troy Dye,2564535,LB,LAC,20,23,1,4,,,,,,,,,,,1,,,60,52.30
Jonathon Cooper,2566028,LB,DEN,11,10,6,5,,,,,,,,,,2,9,,,61,51.50
Terrel Bernard,2567325,LB,BUF,21,9,,3,1,,2,,,,,,,1,2,24,,62,51.20
Logan Wilson,2563752,LB,CIN,17,24,,,,,1,,,,,,,4,,,,63,50.90
Justin Strnad,2563914,LB,DEN,10,20,3.5,3,1,,,,,,,,,2,6,21,,64,50.70
Shemar James,2574077,LB,DAL,19,21,1,1,,1,,,,,,,,,3,,,65,49.60
Germaine Pratt,2562702,LB,IND,20,20,,1,,,,,,,,,,2,,,,66,48.50
Drue Tranquill,2562765,LB,KC,17,14,2,4,,,1,,,,,,,1,2,,,67,48.40
Trevin Wallace,2571898,LB,CAR,19,13,,2,,,,,,,,,,3,1,,,68,47.30
Bradley Chubb,2561020,LB,MIA,13,7,4,5,,1,1,,,,,,,,7,,2,69,47.27
Henry To'oTo'o,2569831,LB,HOU,19,15,1,3,,,,,,,,,,1,1,,,70,47.00
Shaq Thompson,2552447,LB,BUF,16,8,1,3,,1,,,,,,,,2,1,,,71,44.30
Barrett Carter,2574025,LB,CIN,22,18,,,,,,,,,,,,,,,,72,43.80
Elandon Roberts,2556119,LB,LV,18,22,,2,,,,,,,,,,,,,,73,43.20
Noah Sewell,2569633,LB,CHI,19,13,,2,,1,,,,,,,,,,,,74,42.80
Micah Parsons,2566019,LB,GB,8,8,5.5,5,,,,,,,,,,,13,,,75,41.80
Trenton Simpson,2569564,LB,BAL,15,15,1.5,2,,,,,,,,,,1,2,,,76,41.00
Tyrice Knight,2572525,LB,SEA,21,10,,2,,,,,,,,,,,,,,77,40.50
K'Lavon Chaisson,2564166,LB,NE,7,5,4.5,5,,,1,,1,,,,,,8,,4,78,39.13
Leo Chenal,2567784,LB,KC,14,14,0.5,1,1,,,,,,,,,1,2,,,79,38.90
Jack Sanborn,2567424,LB,DAL,16,18,,1,,,,,,,,,,1,,,,80,38.80
Kayvon Thibodeaux,2568015,LB,NYG,11,5,2.5,5,,,,,,,,,,1,8,,,81,38.50
Zaven Collins,2566421,LB,ARI,10,7,1,4,,,1,,1,,,,,,8,,3,82,36.30
Uchenna Nwosu,2560826,LB,SEA,8,9,5,3,,,,,,,,,,,8,,,83,35.90
Divine Deablo,2566253,LB,ATL,8,16,0.5,1,,,1,,,,,,,4,1,,,84,35.60
Jack Gibbens,2568810,LB,NE,17,11,,2,,,,,,,,,,,,,,85,35.10
Josh Hines-Allen,2562619,LB,JAX,11,5,0.5,4,,,,,,,,,,1,11,,,86,34.50
Darius Muasau,2572339,LB,NYG,14,12,1,2,,,,,,,,,,,1,,,87,33.70
Dallas Turner,2572282,LB,MIN,10,15,1.5,3,,,,,,,,,,,4,,,88,33.50
Tavius Robinson,2569567,LB,BAL,9,8,2,2,,1,,,,,,,,1,4,,,89,33.30
Jalyx Hunt,2572378,LB,PHI,3,12,,2,1,1,,1,,,,,,1,7,42,,90,33.10
Jaelan Phillips,2566289,LB,MIA,11,8,2,2,,,1,,,,,,,,4,,4,91,31.43
